row_index,candidate_kind,candidate_class,visibility_tier,channel_readiness,source_rail_id,target_rail_id,source_carrier_set_id,target_carrier_set_id,source_kind,target_kind,family_pair,kind_pair,vertex_overlap,edge_overlap,admitted_as_channel,classification_reason,source_evidence
0,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_01_boundary_carrier,slot_00_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_01 endpoint_slot=00
1,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_01_boundary_carrier,slot_01_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_01 endpoint_slot=01
2,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_04_boundary_carrier,slot_00_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_04 endpoint_slot=00
3,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_04_boundary_carrier,slot_04_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_04 endpoint_slot=04
4,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_05_boundary_carrier,slot_00_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_05 endpoint_slot=00
5,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_05_boundary_carrier,slot_05_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_05 endpoint_slot=05
6,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_06_boundary_carrier,slot_00_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_06 endpoint_slot=00
7,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_00_06_boundary_carrier,slot_06_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=00_06 endpoint_slot=06
8,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_01_02_boundary_carrier,slot_01_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=01_02 endpoint_slot=01
9,boundary_to_slot_internal_incidence,endpoint_incidence_handle,structural_incidence,not_admitted_obvious_handle,slot_pair_01_02_boundary_carrier,slot_02_internal_carrier,slot_pair_boundary_carriers,slot_internal_carriers,slot_pair_boundary_carrier,slot_internal_carrier,slot_pair_boundary_carriers -> slot_internal_carriers,slot_pair_boundary_carrier -> slot_internal_carrier,0,0,False,boundary carrier explicitly names an endpoint slot carrier,slot_pair=01_02 endpoint_slot=02
