candidate_kind,source_rail_id,target_rail_id,reason,evidence,admitted_as_channel
boundary_to_slot_internal_incidence,slot_pair_00_01_boundary_carrier,slot_00_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_01 endpoint_slot=00,False
boundary_to_slot_internal_incidence,slot_pair_00_01_boundary_carrier,slot_01_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_01 endpoint_slot=01,False
boundary_to_slot_internal_incidence,slot_pair_00_04_boundary_carrier,slot_00_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_04 endpoint_slot=00,False
boundary_to_slot_internal_incidence,slot_pair_00_04_boundary_carrier,slot_04_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_04 endpoint_slot=04,False
boundary_to_slot_internal_incidence,slot_pair_00_05_boundary_carrier,slot_00_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_05 endpoint_slot=00,False
boundary_to_slot_internal_incidence,slot_pair_00_05_boundary_carrier,slot_05_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_05 endpoint_slot=05,False
boundary_to_slot_internal_incidence,slot_pair_00_06_boundary_carrier,slot_00_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_06 endpoint_slot=00,False
boundary_to_slot_internal_incidence,slot_pair_00_06_boundary_carrier,slot_06_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=00_06 endpoint_slot=06,False
boundary_to_slot_internal_incidence,slot_pair_01_02_boundary_carrier,slot_01_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=01_02 endpoint_slot=01,False
boundary_to_slot_internal_incidence,slot_pair_01_02_boundary_carrier,slot_02_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=01_02 endpoint_slot=02,False
boundary_to_slot_internal_incidence,slot_pair_01_06_boundary_carrier,slot_01_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=01_06 endpoint_slot=01,False
boundary_to_slot_internal_incidence,slot_pair_01_06_boundary_carrier,slot_06_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=01_06 endpoint_slot=06,False
boundary_to_slot_internal_incidence,slot_pair_01_07_boundary_carrier,slot_01_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=01_07 endpoint_slot=01,False
boundary_to_slot_internal_incidence,slot_pair_01_07_boundary_carrier,slot_07_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=01_07 endpoint_slot=07,False
boundary_to_slot_internal_incidence,slot_pair_02_03_boundary_carrier,slot_02_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=02_03 endpoint_slot=02,False
boundary_to_slot_internal_incidence,slot_pair_02_03_boundary_carrier,slot_03_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=02_03 endpoint_slot=03,False
boundary_to_slot_internal_incidence,slot_pair_02_07_boundary_carrier,slot_02_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=02_07 endpoint_slot=02,False
boundary_to_slot_internal_incidence,slot_pair_02_07_boundary_carrier,slot_07_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=02_07 endpoint_slot=07,False
boundary_to_slot_internal_incidence,slot_pair_02_08_boundary_carrier,slot_02_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=02_08 endpoint_slot=02,False
boundary_to_slot_internal_incidence,slot_pair_02_08_boundary_carrier,slot_08_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=02_08 endpoint_slot=08,False
boundary_to_slot_internal_incidence,slot_pair_03_04_boundary_carrier,slot_03_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=03_04 endpoint_slot=03,False
boundary_to_slot_internal_incidence,slot_pair_03_04_boundary_carrier,slot_04_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=03_04 endpoint_slot=04,False
