count_signature,class_size,class_kind,vertex_count,edge_count,edge_hit_count,max_edge_overlap,root_slot_count,root_slot_counts,primary_set_counts,primary_slot_counts,primary_root_slot_alignment_rate,carrier_set_hit_counts,carrier_set_edge_weight,total_hits,total_edge_overlap,sample_roots
"29,30,16,4",110,multi_slot_irregular,29,30,16,4,2,"{""11"": 50, ""12"": 60}","{""slot_internal_carriers"": 110}","{""9"": 110}",0.0,"{""slot_internal_carriers"": 440, ""slot_pair_boundary_carriers"": 1320}","{""slot_internal_carriers"": 1760, ""slot_pair_boundary_carriers"": 1540}",1760,3300,11:0 11:1 11:2 11:3 11:4 11:5 11:6 11:7 11:8 11:9 11:10 11:11 11:14 11:15 11:16 11:19 11:20 11:21 11:24 11:25
"29,30,9,10",70,multi_slot_irregular,29,30,9,10,6,"{""0"": 2, ""1"": 7, ""3"": 20, ""5"": 12, ""6"": 10, ""7"": 19}","{""slot_internal_carriers"": 70}","{""0"": 2, ""1"": 7, ""3"": 20, ""5"": 12, ""6"": 10, ""7"": 19}",1.0,"{""slot_internal_carriers"": 140, ""slot_pair_boundary_carriers"": 490}","{""slot_internal_carriers"": 980, ""slot_pair_boundary_carriers"": 1120}",630,2100,0:7 0:51 1:3 1:8 1:15 1:30 1:35 1:37 1:38 3:0 3:4 3:5 3:6 3:7 3:8 3:9 3:29 3:30 3:31 3:35
"25,30,12,7",60,full_single_slot_class,25,30,12,7,1,"{""9"": 60}","{""slot_internal_carriers"": 60}","{""9"": 60}",1.0,"{""slot_internal_carriers"": 180, ""slot_pair_boundary_carriers"": 540}","{""slot_internal_carriers"": 900, ""slot_pair_boundary_carriers"": 900}",720,1800,9:0 9:1 9:2 9:3 9:4 9:5 9:6 9:7 9:8 9:9 9:10 9:11 9:12 9:13 9:14 9:15 9:16 9:17 9:18 9:19
"25,30,13,7",60,full_single_slot_class,25,30,13,7,1,"{""10"": 60}","{""slot_internal_carriers"": 60}","{""10"": 60}",1.0,"{""slot_internal_carriers"": 180, ""slot_pair_boundary_carriers"": 600}","{""slot_internal_carriers"": 900, ""slot_pair_boundary_carriers"": 900}",780,1800,10:0 10:1 10:2 10:3 10:4 10:5 10:6 10:7 10:8 10:9 10:10 10:11 10:12 10:13 10:14 10:15 10:16 10:17 10:18 10:19
"27,30,16,4",60,full_single_slot_class,27,30,16,4,1,"{""13"": 60}","{""slot_internal_carriers"": 60}","{""6"": 60}",0.0,"{""slot_internal_carriers"": 240, ""slot_pair_boundary_carriers"": 720}","{""slot_internal_carriers"": 960, ""slot_pair_boundary_carriers"": 840}",960,1800,13:0 13:1 13:2 13:3 13:4 13:5 13:6 13:7 13:8 13:9 13:10 13:11 13:12 13:13 13:14 13:15 13:16 13:17 13:18 13:19
"29,30,18,4",60,full_single_slot_class,29,30,18,4,1,"{""14"": 60}","{""slot_internal_carriers"": 60}","{""5"": 60}",0.0,"{""slot_internal_carriers"": 240, ""slot_pair_boundary_carriers"": 840}","{""slot_internal_carriers"": 960, ""slot_pair_boundary_carriers"": 840}",1080,1800,14:0 14:1 14:2 14:3 14:4 14:5 14:6 14:7 14:8 14:9 14:10 14:11 14:12 14:13 14:14 14:15 14:16 14:17 14:18 14:19
"30,30,12,7",55,multi_slot_irregular,30,30,12,7,3,"{""5"": 13, ""7"": 6, ""8"": 36}","{""slot_internal_carriers"": 55}","{""5"": 13, ""7"": 6, ""8"": 36}",1.0,"{""slot_internal_carriers"": 165, ""slot_pair_boundary_carriers"": 495}","{""slot_internal_carriers"": 825, ""slot_pair_boundary_carriers"": 825}",660,1650,5:30 5:31 5:32 5:40 5:43 5:44 5:45 5:46 5:50 5:51 5:55 5:58 5:59 7:10 7:14 7:15 7:20 7:25 7:29 8:0
"28,30,9,10",50,multi_slot_irregular,28,30,9,10,7,"{""0"": 2, ""1"": 4, ""2"": 6, ""3"": 13, ""5"": 10, ""6"": 12, ""7"": 3}","{""slot_internal_carriers"": 50}","{""0"": 2, ""1"": 4, ""2"": 6, ""3"": 13, ""5"": 10, ""6"": 12, ""7"": 3}",1.0,"{""slot_internal_carriers"": 100, ""slot_pair_boundary_carriers"": 350}","{""slot_internal_carriers"": 700, ""slot_pair_boundary_carriers"": 800}",450,1500,0:50 0:52 1:20 1:24 1:25 1:26 2:10 2:15 2:20 2:24 2:25 2:26 3:10 3:13 3:15 3:16 3:20 3:21 3:24 3:25
"29,30,5,14",41,multi_slot_irregular,29,30,5,14,4,"{""0"": 1, ""1"": 1, ""2"": 38, ""6"": 1}","{""slot_internal_carriers"": 41}","{""0"": 1, ""1"": 1, ""2"": 38, ""6"": 1}",1.0,"{""slot_internal_carriers"": 41, ""slot_pair_boundary_carriers"": 164}","{""slot_internal_carriers"": 574, ""slot_pair_boundary_carriers"": 656}",205,1230,0:57 1:39 2:0 2:1 2:2 2:3 2:4 2:5 2:6 2:7 2:8 2:9 2:30 2:31 2:32 2:33 2:35 2:36 2:37 2:38
"27,30,9,10",37,multi_slot_irregular,27,30,9,10,7,"{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 10, ""5"": 4, ""6"": 10, ""7"": 6}","{""slot_internal_carriers"": 37}","{""0"": 1, ""1"": 2, ""2"": 4, ""3"": 10, ""5"": 4, ""6"": 10, ""7"": 6}",1.0,"{""slot_internal_carriers"": 74, ""slot_pair_boundary_carriers"": 259}","{""slot_internal_carriers"": 518, ""slot_pair_boundary_carriers"": 592}",333,1110,0:19 1:17 1:23 2:11 2:19 2:22 2:23 3:11 3:19 3:22 3:23 3:41 3:47 3:49 3:52 3:53 3:57 5:11 5:19 5:22
