pair_key,package_kind,full60_transitions,step_count,has_boundary_carrier,boundary_carrier_id,supported_delta_edge_count,unsupported_delta_edge_count,direct_boundary_delta_edge_count,internal_delta_edge_count,unsupported_rate,classification,channels_admitted
2/3,clean_reciprocal_pair_package,2 -> 3 | 2/3 -> 3 | 3 -> 2,180,True,slot_pair_02_03_boundary_carrier,180,0,0,180,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
2/8,clean_reciprocal_pair_package,2 -> 8 | 2/8 -> 8 | 8 -> 2,180,True,slot_pair_02_08_boundary_carrier,180,0,0,180,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
3/9,clean_reciprocal_pair_package,3 -> 9 | 3/9 -> 9 | 9 -> 3,180,True,slot_pair_03_09_boundary_carrier,180,0,0,180,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
5/10,clean_reciprocal_pair_package,10 -> 5 | 5 -> 10 | 5/10 -> 10,180,True,slot_pair_05_10_boundary_carrier,180,0,0,180,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
5/14,clean_reciprocal_pair_package,14 -> 5 | 5 -> 14 | 5/14 -> 14,180,True,slot_pair_05_14_boundary_carrier,180,0,0,180,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
6/13,clean_reciprocal_pair_package,13 -> 6 | 6 -> 13 | 6/13 -> 13,180,True,slot_pair_06_13_boundary_carrier,180,0,0,180,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
6/12,two_transition_pair_package,12 -> 6 | 6/12 -> 12,120,True,slot_pair_06_12_boundary_carrier,120,0,0,120,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
7/11,two_transition_pair_package,11 -> 7 | 7/11 -> 11,120,True,slot_pair_07_11_boundary_carrier,120,0,0,120,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
6/9,one_way_single_transition,6 -> 9,60,False,,0,60,0,0,1.0,full60_phase_package | boundary_absent_package | no_direct_boundary_delta_support_observed | fully_unsupported_package | unsupported_internal_phase_step,False
9/12,one_way_single_transition,9 -> 12,60,True,slot_pair_09_12_boundary_carrier,60,0,0,60,0.0,full60_phase_package | boundary_supported_package | no_direct_boundary_delta_support_observed | internally_supported_package,False
