pair_key,package_kind,full60_transition_count,full60_transitions,full60_transition_kinds,full60_root_slot_counts,has_boundary_carrier,boundary_carrier_id,boundary_vertex_count,boundary_edge_count,pair_total_transition_count,pair_total_root_count,pair_total_direction_counts,pair_total_transition_kind_counts,reciprocal_single_transition_count,sample_roots,channels_admitted
2/3,clean_reciprocal_pair_package,3,2 -> 3 | 2/3 -> 3 | 3 -> 2,"{""pair_to_single"": 1, ""single_to_single"": 2}","{""3"": 180}",True,slot_pair_02_03_boundary_carrier,120,60,180,60,"{""2 -> 3"": 60, ""2/3 -> 3"": 60, ""3 -> 2"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,3:0 3:1 3:10 3:11 3:12 3:13 3:14 3:15 3:16 3:17 3:18 3:19 3:2 3:20 3:21 3:22 3:23 3:3 3:4 3:5 3:6 3:7 3:8 3:9,False
2/8,clean_reciprocal_pair_package,3,2 -> 8 | 2/8 -> 8 | 8 -> 2,"{""pair_to_single"": 1, ""single_to_single"": 2}","{""8"": 180}",True,slot_pair_02_08_boundary_carrier,120,60,180,60,"{""2 -> 8"": 60, ""2/8 -> 8"": 60, ""8 -> 2"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,8:0 8:1 8:10 8:11 8:12 8:13 8:14 8:15 8:16 8:17 8:18 8:19 8:2 8:20 8:21 8:22 8:23 8:3 8:4 8:5 8:6 8:7 8:8 8:9,False
3/9,clean_reciprocal_pair_package,3,3 -> 9 | 3/9 -> 9 | 9 -> 3,"{""pair_to_single"": 1, ""single_to_single"": 2}","{""9"": 180}",True,slot_pair_03_09_boundary_carrier,120,60,180,60,"{""3 -> 9"": 60, ""3/9 -> 9"": 60, ""9 -> 3"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,9:0 9:1 9:10 9:11 9:12 9:13 9:14 9:15 9:16 9:17 9:18 9:19 9:2 9:20 9:21 9:22 9:23 9:3 9:4 9:5 9:6 9:7 9:8 9:9,False
5/10,clean_reciprocal_pair_package,3,10 -> 5 | 5 -> 10 | 5/10 -> 10,"{""pair_to_single"": 1, ""single_to_single"": 2}","{""10"": 180}",True,slot_pair_05_10_boundary_carrier,120,60,180,60,"{""10 -> 5"": 60, ""5 -> 10"": 60, ""5/10 -> 10"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,10:0 10:1 10:10 10:11 10:12 10:13 10:14 10:15 10:16 10:17 10:18 10:19 10:2 10:20 10:21 10:22 10:23 10:3 10:4 10:5 10:6 10:7 10:8 10:9,False
5/14,clean_reciprocal_pair_package,3,14 -> 5 | 5 -> 14 | 5/14 -> 14,"{""pair_to_single"": 1, ""single_to_single"": 2}","{""14"": 180}",True,slot_pair_05_14_boundary_carrier,120,60,180,60,"{""14 -> 5"": 60, ""5 -> 14"": 60, ""5/14 -> 14"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,14:0 14:1 14:10 14:11 14:12 14:13 14:14 14:15 14:16 14:17 14:18 14:19 14:2 14:20 14:21 14:22 14:23 14:3 14:4 14:5 14:6 14:7 14:8 14:9,False
6/13,clean_reciprocal_pair_package,3,13 -> 6 | 6 -> 13 | 6/13 -> 13,"{""pair_to_single"": 1, ""single_to_single"": 2}","{""13"": 180}",True,slot_pair_06_13_boundary_carrier,120,60,180,60,"{""13 -> 6"": 60, ""6 -> 13"": 60, ""6/13 -> 13"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,13:0 13:1 13:10 13:11 13:12 13:13 13:14 13:15 13:16 13:17 13:18 13:19 13:2 13:20 13:21 13:22 13:23 13:3 13:4 13:5 13:6 13:7 13:8 13:9,False
6/12,two_transition_pair_package,2,12 -> 6 | 6/12 -> 12,"{""pair_to_single"": 1, ""single_to_single"": 1}","{""12"": 120}",True,slot_pair_06_12_boundary_carrier,120,60,120,60,"{""12 -> 6"": 60, ""6/12 -> 12"": 60}","{""pair_to_single"": 60, ""single_to_single"": 60}",0,12:0 12:1 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:2 12:20 12:21 12:22 12:23 12:3 12:4 12:5 12:6 12:7 12:8 12:9,False
7/11,two_transition_pair_package,2,11 -> 7 | 7/11 -> 11,"{""pair_to_single"": 1, ""single_to_single"": 1}","{""11"": 120}",True,slot_pair_07_11_boundary_carrier,120,60,130,60,"{""11 -> 7"": 60, ""7 -> 11"": 10, ""7/11 -> 11"": 60}","{""pair_to_single"": 60, ""single_to_single"": 70}",10,11:0 11:1 11:10 11:11 11:12 11:13 11:14 11:15 11:16 11:17 11:18 11:19 11:2 11:20 11:21 11:22 11:23 11:3 11:4 11:5 11:6 11:7 11:8 11:9,False
6/9,one_way_single_transition,1,6 -> 9,"{""single_to_single"": 1}","{""12"": 60}",False,,,,60,60,"{""6 -> 9"": 60}","{""single_to_single"": 60}",0,12:0 12:1 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:2 12:20 12:21 12:22 12:23 12:3 12:4 12:5 12:6 12:7 12:8 12:9,False
9/12,one_way_single_transition,1,9 -> 12,"{""single_to_single"": 1}","{""12"": 60}",True,slot_pair_09_12_boundary_carrier,120,60,60,60,"{""9 -> 12"": 60}","{""single_to_single"": 60}",0,12:0 12:1 12:10 12:11 12:12 12:13 12:14 12:15 12:16 12:17 12:18 12:19 12:2 12:20 12:21 12:22 12:23 12:3 12:4 12:5 12:6 12:7 12:8 12:9,False
