pair_key,transition_count,root_count,root_slot_counts,direction_counts,transition_kind_counts,reciprocal_single_transition_count,sample_roots,channels_admitted
2/3,180,60,"{""3"": 180}","{""2 -> 3"": 60, ""2/3 -> 3"": 60, ""3 -> 2"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,3:0 3:1 3:2 3:3 3:4 3:5 3:6 3:7 3:8 3:9 3:10 3:11 3:12 3:13 3:14 3:15 3:16 3:17 3:18 3:19 3:20 3:21 3:22 3:23,False
2/8,180,60,"{""8"": 180}","{""2 -> 8"": 60, ""2/8 -> 8"": 60, ""8 -> 2"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,8:0 8:1 8:2 8:3 8:4 8:5 8:6 8:7 8:8 8:9 8:10 8:11 8:12 8:13 8:14 8:15 8:16 8:17 8:18 8:19 8:20 8:21 8:22 8:23,False
3/9,180,60,"{""9"": 180}","{""3 -> 9"": 60, ""3/9 -> 9"": 60, ""9 -> 3"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,9:0 9:1 9:2 9:3 9:4 9:5 9:6 9:7 9:8 9:9 9:10 9:11 9:12 9:13 9:14 9:15 9:16 9:17 9:18 9:19 9:20 9:21 9:22 9:23,False
5/10,180,60,"{""10"": 180}","{""10 -> 5"": 60, ""5 -> 10"": 60, ""5/10 -> 10"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,10:0 10:1 10:2 10:3 10:4 10:5 10:6 10:7 10:8 10:9 10:10 10:11 10:12 10:13 10:14 10:15 10:16 10:17 10:18 10:19 10:20 10:21 10:22 10:23,False
5/14,180,60,"{""14"": 180}","{""14 -> 5"": 60, ""5 -> 14"": 60, ""5/14 -> 14"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,14:0 14:1 14:2 14:3 14:4 14:5 14:6 14:7 14:8 14:9 14:10 14:11 14:12 14:13 14:14 14:15 14:16 14:17 14:18 14:19 14:20 14:21 14:22 14:23,False
6/13,180,60,"{""13"": 180}","{""13 -> 6"": 60, ""6 -> 13"": 60, ""6/13 -> 13"": 60}","{""pair_to_single"": 60, ""single_to_single"": 120}",60,13:0 13:1 13:2 13:3 13:4 13:5 13:6 13:7 13:8 13:9 13:10 13:11 13:12 13:13 13:14 13:15 13:16 13:17 13:18 13:19 13:20 13:21 13:22 13:23,False
0/1,148,62,"{""0"": 20, ""1"": 128}","{""0 -> 0/1"": 6, ""0 -> 1"": 40, ""0/1 -> 0"": 13, ""0/1 -> 1"": 49, ""1 -> 0"": 39, ""1 -> 0/1"": 1}","{""pair_to_single"": 62, ""single_to_pair"": 7, ""single_to_single"": 79}",39,0:10 0:11 0:12 0:13 0:14 0:15 0:18 0:19 0:20 0:21 0:22 0:28 0:29 1:0 1:1 1:2 1:3 1:4 1:5 1:6 1:7 1:8 1:9 1:10,False
0/4,146,59,"{""0"": 35, ""4"": 50, ""5"": 61}","{""0 -> 0/4"": 12, ""0 -> 4"": 58, ""0/4 -> 0"": 16, ""0/4 -> 4"": 19, ""4 -> 0"": 41}","{""pair_to_single"": 35, ""single_to_pair"": 12, ""single_to_single"": 99}",41,0:2 0:3 0:4 0:7 0:8 0:9 0:14 0:30 0:31 0:32 0:38 0:39 0:40 0:41 0:42 0:48 0:49 4:30 4:31 4:40 4:41 4:42 4:43 4:44,False
4/5,136,57,"{""5"": 136}","{""4 -> 5"": 57, ""4/5 -> 5"": 37, ""5 -> 4"": 42}","{""pair_to_single"": 37, ""single_to_single"": 99}",42,5:0 5:1 5:2 5:3 5:4 5:5 5:6 5:7 5:8 5:9 5:10 5:11 5:12 5:13 5:14 5:15 5:16 5:17 5:18 5:19 5:20 5:21 5:22 5:23,False
2/7,132,52,"{""7"": 132}","{""2 -> 7"": 52, ""2/7 -> 7"": 40, ""7 -> 2"": 40}","{""pair_to_single"": 40, ""single_to_single"": 92}",40,7:0 7:1 7:2 7:3 7:4 7:5 7:6 7:7 7:8 7:9 7:10 7:11 7:14 7:15 7:16 7:19 7:20 7:21 7:24 7:25 7:26 7:29 7:30 7:31,False
3/4,130,45,"{""4"": 130}","{""3 -> 4"": 44, ""3/4 -> 4"": 41, ""4 -> 3"": 45}","{""pair_to_single"": 41, ""single_to_single"": 89}",44,4:0 4:1 4:2 4:3 4:4 4:5 4:6 4:7 4:8 4:9 4:10 4:11 4:12 4:13 4:14 4:15 4:16 4:17 4:18 4:19 4:20 4:21 4:22 4:23,False
