exception_kind,root,root_slot,root_local,primary_slot_label,primary_rail_id,primary_edge_overlap,primary_vertex_overlap,count_signature,vertex_count,edge_count,edge_hit_count,max_edge_overlap,hit_signature,channels_admitted
slot_0_single_escape_to_4,0:14,0,14,4,slot_04_internal_carrier,4,6,"31,30,17,4",31,30,17,4,slot_04_internal_carrier:6:4;slot_05_internal_carrier:6:4;slot_00_internal_carrier:5:4;slot_01_internal_carrier:5:4;slot_pair_04_05_boundary_carrier:12:2;slot_pair_00_04_boundary_carrier:11:1;slot_pair_00_05_boundary_carrier:11:1;slot_pair_00_01_boundary_carrier:10:1;slot_pair_00_06_boundary_carrier:8:1;slot_pair_01_06_boundary_carrier:8:1;slot_pair_03_04_boundary_carrier:7:1;slot_pair_04_09_boundary_carrier:7:1;slot_pair_05_10_boundary_carrier:7:1;slot_pair_05_14_boundary_carrier:7:1;slot_pair_01_02_boundary_carrier:6:1;slot_pair_01_07_boundary_carrier:6:1;slot_06_internal_carrier:3:1,False
slot_1_left_escape_to_0,1:1,1,1,0,slot_00_internal_carrier,4,6,"31,30,16,4",31,30,16,4,slot_00_internal_carrier:6:4;slot_02_internal_carrier:6:4;slot_06_internal_carrier:6:4;slot_01_internal_carrier:5:4;slot_pair_00_06_boundary_carrier:12:2;slot_pair_02_07_boundary_carrier:8:2;slot_pair_00_01_boundary_carrier:11:1;slot_pair_01_02_boundary_carrier:11:1;slot_pair_01_06_boundary_carrier:11:1;slot_pair_00_04_boundary_carrier:7:1;slot_pair_00_05_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:7:1;slot_pair_02_03_boundary_carrier:7:1;slot_pair_02_08_boundary_carrier:7:1;slot_pair_06_12_boundary_carrier:7:1;slot_pair_06_13_boundary_carrier:7:1,False
slot_1_left_escape_to_0,1:6,1,6,0,slot_00_internal_carrier,4,6,"31,30,16,4",31,30,16,4,slot_00_internal_carrier:6:4;slot_02_internal_carrier:6:4;slot_06_internal_carrier:6:4;slot_01_internal_carrier:5:4;slot_pair_00_06_boundary_carrier:12:2;slot_pair_02_07_boundary_carrier:8:2;slot_pair_00_01_boundary_carrier:11:1;slot_pair_01_02_boundary_carrier:11:1;slot_pair_01_06_boundary_carrier:11:1;slot_pair_00_04_boundary_carrier:7:1;slot_pair_00_05_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:7:1;slot_pair_02_03_boundary_carrier:7:1;slot_pair_02_08_boundary_carrier:7:1;slot_pair_06_12_boundary_carrier:7:1;slot_pair_06_13_boundary_carrier:7:1,False
slot_1_right_escape_to_2,1:44,1,44,2,slot_02_internal_carrier,4,6,"31,30,17,4",31,30,17,4,slot_02_internal_carrier:6:4;slot_07_internal_carrier:6:4;slot_01_internal_carrier:5:4;slot_06_internal_carrier:5:4;slot_pair_02_07_boundary_carrier:12:2;slot_pair_01_02_boundary_carrier:11:1;slot_pair_01_07_boundary_carrier:11:1;slot_pair_01_06_boundary_carrier:10:1;slot_pair_00_01_boundary_carrier:7:1;slot_pair_00_06_boundary_carrier:7:1;slot_pair_02_03_boundary_carrier:7:1;slot_pair_02_08_boundary_carrier:7:1;slot_pair_07_10_boundary_carrier:7:1;slot_pair_07_11_boundary_carrier:7:1;slot_pair_06_12_boundary_carrier:6:1;slot_pair_06_13_boundary_carrier:6:1;slot_pair_00_04_boundary_carrier:3:1,False
slot_1_right_escape_to_2,1:59,1,59,2,slot_02_internal_carrier,4,6,"31,30,17,4",31,30,17,4,slot_02_internal_carrier:6:4;slot_07_internal_carrier:6:4;slot_01_internal_carrier:5:4;slot_06_internal_carrier:5:4;slot_pair_02_07_boundary_carrier:12:2;slot_pair_01_02_boundary_carrier:11:1;slot_pair_01_07_boundary_carrier:11:1;slot_pair_01_06_boundary_carrier:10:1;slot_pair_00_01_boundary_carrier:8:1;slot_pair_00_06_boundary_carrier:8:1;slot_pair_02_03_boundary_carrier:7:1;slot_pair_02_08_boundary_carrier:7:1;slot_pair_07_10_boundary_carrier:7:1;slot_pair_07_11_boundary_carrier:7:1;slot_pair_06_12_boundary_carrier:6:1;slot_pair_06_13_boundary_carrier:6:1;slot_00_internal_carrier:3:1,False
slot_11_minor_displaced_branch_to_7,11:12,11,12,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:13,11,13,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:17,11,17,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:18,11,18,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:22,11,22,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:23,11,23,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:27,11,27,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:28,11,28,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:48,11,48,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
slot_11_minor_displaced_branch_to_7,11:53,11,53,7,slot_07_internal_carrier,4,5,"28,30,16,4",28,30,16,4,slot_07_internal_carrier:5:4;slot_09_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_11_internal_carrier:5:4;slot_pair_07_11_boundary_carrier:10:2;slot_pair_09_11_boundary_carrier:10:2;slot_pair_07_10_boundary_carrier:10:1;slot_pair_10_11_boundary_carrier:10:1;slot_pair_09_12_boundary_carrier:7:1;slot_pair_11_12_boundary_carrier:7:1;slot_pair_01_07_boundary_carrier:6:1;slot_pair_02_07_boundary_carrier:6:1;slot_pair_03_09_boundary_carrier:6:1;slot_pair_04_09_boundary_carrier:6:1;slot_pair_05_10_boundary_carrier:6:1;slot_pair_10_14_boundary_carrier:6:1,False
