exception_kind,root,root_slot,root_local,baseline_primary_slot_label,exception_primary_slot_label,count_signature,primary_rail_id,primary_edge_overlap,primary_vertex_overlap,exception_label_counts_window_24_40,exception_label_stability_rate,baseline_label_rate,nearest_baseline_roots,nearest_baseline_distances,nearest_edge_jaccards_at_30,nearest_vertex_jaccards_at_30,channels_admitted
slot_0_single_escape_to_4,0:14,0,14,0,4,"31,30,17,4",slot_04_internal_carrier,4,6,"{""0"": 4, ""1"": 1, ""4"": 12}",0.7058823529411765,0.23529411764705882,0:13 0:15 0:12 0:16,1 1 2 2,0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.035714 0.092593,False
slot_1_left_escape_to_0,1:1,1,1,1,0,"31,30,16,4",slot_00_internal_carrier,4,6,"{""0"": 14, ""1"": 3}",0.8235294117647058,0.17647058823529413,1:0 1:2 1:3 1:4,1 1 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.034483 0.033898,False
slot_1_left_escape_to_0,1:6,1,6,1,0,"31,30,16,4",slot_00_internal_carrier,4,6,"{""0"": 11, ""1"": 3, ""6"": 3}",0.6470588235294118,0.17647058823529413,1:5 1:7 1:4 1:8,1 1 2 2,0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.016667 0.034483,False
slot_1_right_escape_to_2,1:44,1,44,1,2,"31,30,17,4",slot_02_internal_carrier,4,6,"{""0"": 2, ""1"": 3, ""2"": 12}",0.7058823529411765,0.17647058823529413,1:43 1:45 1:42 1:46,1 1 2 2,0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.017544 0.053571,False
slot_1_right_escape_to_2,1:59,1,59,1,2,"31,30,17,4",slot_02_internal_carrier,4,6,"{""0"": 3, ""1"": 3, ""2"": 11}",0.6470588235294118,0.17647058823529413,1:0 1:58 1:57 1:2,1 1 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.017544 0.016667,False
slot_11_minor_displaced_branch_to_7,11:12,11,12,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:11 11:10 11:14 11:9,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.075472 0.000000,False
slot_11_minor_displaced_branch_to_7,11:13,11,13,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:14 11:11 11:15 11:10,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.096154 0.075472,False
slot_11_minor_displaced_branch_to_7,11:17,11,17,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:16 11:15 11:19 11:14,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.075472 0.000000,False
slot_11_minor_displaced_branch_to_7,11:18,11,18,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:19 11:16 11:20 11:15,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.000000 0.075472,False
slot_11_minor_displaced_branch_to_7,11:22,11,22,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:21 11:20 11:24 11:19,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.075472 0.000000,False
slot_11_minor_displaced_branch_to_7,11:23,11,23,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:24 11:21 11:25 11:20,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.075472 0.075472,False
slot_11_minor_displaced_branch_to_7,11:27,11,27,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:26 11:25 11:29 11:24,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.075472 0.000000,False
slot_11_minor_displaced_branch_to_7,11:28,11,28,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:29 11:26 11:30 11:25,1 2 2 3,0.000000 0.000000 0.000000 0.000000,0.000000 0.075472 0.017857 0.075472,False
slot_11_minor_displaced_branch_to_7,11:48,11,48,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:47 11:49 11:46 11:50,1 1 2 2,0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.075472 0.000000,False
slot_11_minor_displaced_branch_to_7,11:53,11,53,9,7,"28,30,16,4",slot_07_internal_carrier,4,5,"{""11"": 9, ""7"": 8}",0.47058823529411764,0.0,11:52 11:54 11:51 11:55,1 1 2 2,0.000000 0.000000 0.000000 0.000000,0.000000 0.000000 0.075472 0.075472,False
