root,slot,local,vertex_count,edge_count,edge_hit_count,max_edge_overlap,max_vertex_overlap,count_signature,hit_signature,family_signature,channels_admitted
0:0,0,0,29,30,7,12,16,"29,30,7,12",slot_00_internal_carrier:11:12;slot_pair_00_04_boundary_carrier:16:4;slot_pair_00_01_boundary_carrier:15:4;slot_pair_00_05_boundary_carrier:15:4;slot_pair_00_06_boundary_carrier:15:4;slot_pair_03_04_boundary_carrier:6:1;slot_04_internal_carrier:5:1,slot_internal_carriers:11:12;slot_pair_boundary_carriers:16:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:6:1;slot_internal_carriers:5:1,False
0:1,0,1,30,30,9,9,17,"30,30,9,9",slot_00_internal_carrier:9:9;slot_pair_00_04_boundary_carrier:17:4;slot_pair_00_01_boundary_carrier:13:4;slot_04_internal_carrier:8:4;slot_pair_00_05_boundary_carrier:13:3;slot_pair_00_06_boundary_carrier:12:3;slot_pair_04_05_boundary_carrier:12:1;slot_pair_03_04_boundary_carrier:9:1;slot_pair_04_09_boundary_carrier:9:1,slot_internal_carriers:9:9;slot_pair_boundary_carriers:17:4;slot_pair_boundary_carriers:13:4;slot_internal_carriers:8:4;slot_pair_boundary_carriers:13:3;slot_pair_boundary_carriers:12:3;slot_pair_boundary_carriers:12:1;slot_pair_boundary_carriers:9:1;slot_pair_boundary_carriers:9:1,False
0:2,0,2,30,30,12,8,15,"30,30,12,8",slot_00_internal_carrier:8:8;slot_04_internal_carrier:7:4;slot_05_internal_carrier:7:4;slot_pair_00_04_boundary_carrier:15:2;slot_pair_00_05_boundary_carrier:15:2;slot_pair_04_05_boundary_carrier:14:2;slot_pair_00_01_boundary_carrier:10:2;slot_pair_00_06_boundary_carrier:10:2;slot_pair_03_04_boundary_carrier:8:1;slot_pair_04_09_boundary_carrier:8:1;slot_pair_05_10_boundary_carrier:8:1;slot_pair_05_14_boundary_carrier:8:1,slot_internal_carriers:8:8;slot_internal_carriers:7:4;slot_internal_carriers:7:4;slot_pair_boundary_carriers:15:2;slot_pair_boundary_carriers:15:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:10:2;slot_pair_boundary_carriers:10:2;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1,False
0:3,0,3,30,30,13,7,14,"30,30,13,7",slot_00_internal_carrier:7:7;slot_04_internal_carrier:7:4;slot_05_internal_carrier:7:4;slot_pair_00_04_boundary_carrier:14:2;slot_pair_00_05_boundary_carrier:14:2;slot_pair_04_05_boundary_carrier:14:2;slot_pair_00_06_boundary_carrier:10:2;slot_pair_00_01_boundary_carrier:9:2;slot_pair_03_04_boundary_carrier:8:1;slot_pair_04_09_boundary_carrier:8:1;slot_pair_05_10_boundary_carrier:8:1;slot_pair_05_14_boundary_carrier:8:1;slot_06_internal_carrier:3:1,slot_internal_carriers:7:7;slot_internal_carriers:7:4;slot_internal_carriers:7:4;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:10:2;slot_pair_boundary_carriers:9:2;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_internal_carriers:3:1,False
0:4,0,4,30,30,13,7,14,"30,30,13,7",slot_00_internal_carrier:7:7;slot_04_internal_carrier:7:4;slot_05_internal_carrier:7:4;slot_pair_00_04_boundary_carrier:14:2;slot_pair_00_05_boundary_carrier:14:2;slot_pair_04_05_boundary_carrier:14:2;slot_pair_00_06_boundary_carrier:10:2;slot_pair_00_01_boundary_carrier:9:2;slot_pair_03_04_boundary_carrier:8:1;slot_pair_04_09_boundary_carrier:8:1;slot_pair_05_10_boundary_carrier:8:1;slot_pair_05_14_boundary_carrier:8:1;slot_06_internal_carrier:3:1,slot_internal_carriers:7:7;slot_internal_carriers:7:4;slot_internal_carriers:7:4;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:10:2;slot_pair_boundary_carriers:9:2;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_internal_carriers:3:1,False
0:5,0,5,29,30,7,12,16,"29,30,7,12",slot_00_internal_carrier:11:12;slot_pair_00_04_boundary_carrier:16:4;slot_pair_00_01_boundary_carrier:15:4;slot_pair_00_05_boundary_carrier:15:4;slot_pair_00_06_boundary_carrier:15:4;slot_pair_03_04_boundary_carrier:6:1;slot_04_internal_carrier:5:1,slot_internal_carriers:11:12;slot_pair_boundary_carriers:16:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:6:1;slot_internal_carriers:5:1,False
0:6,0,6,29,30,7,12,16,"29,30,7,12",slot_00_internal_carrier:11:12;slot_pair_00_04_boundary_carrier:16:4;slot_pair_00_01_boundary_carrier:15:4;slot_pair_00_05_boundary_carrier:15:4;slot_pair_00_06_boundary_carrier:15:4;slot_pair_03_04_boundary_carrier:6:1;slot_04_internal_carrier:5:1,slot_internal_carriers:11:12;slot_pair_boundary_carriers:16:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:15:4;slot_pair_boundary_carriers:6:1;slot_internal_carriers:5:1,False
0:7,0,7,29,30,9,10,17,"29,30,9,10",slot_00_internal_carrier:9:10;slot_04_internal_carrier:8:4;slot_pair_00_04_boundary_carrier:17:3;slot_pair_00_05_boundary_carrier:13:3;slot_pair_00_01_boundary_carrier:12:3;slot_pair_00_06_boundary_carrier:12:3;slot_pair_04_05_boundary_carrier:12:2;slot_pair_03_04_boundary_carrier:9:1;slot_pair_04_09_boundary_carrier:9:1,slot_internal_carriers:9:10;slot_internal_carriers:8:4;slot_pair_boundary_carriers:17:3;slot_pair_boundary_carriers:13:3;slot_pair_boundary_carriers:12:3;slot_pair_boundary_carriers:12:3;slot_pair_boundary_carriers:12:2;slot_pair_boundary_carriers:9:1;slot_pair_boundary_carriers:9:1,False
0:8,0,8,30,30,13,7,14,"30,30,13,7",slot_00_internal_carrier:7:7;slot_04_internal_carrier:7:4;slot_05_internal_carrier:7:4;slot_pair_00_04_boundary_carrier:14:2;slot_pair_00_05_boundary_carrier:14:2;slot_pair_04_05_boundary_carrier:14:2;slot_pair_00_06_boundary_carrier:10:2;slot_pair_00_01_boundary_carrier:9:2;slot_pair_03_04_boundary_carrier:8:1;slot_pair_04_09_boundary_carrier:8:1;slot_pair_05_10_boundary_carrier:8:1;slot_pair_05_14_boundary_carrier:8:1;slot_06_internal_carrier:3:1,slot_internal_carriers:7:7;slot_internal_carriers:7:4;slot_internal_carriers:7:4;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:10:2;slot_pair_boundary_carriers:9:2;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_internal_carriers:3:1,False
0:9,0,9,30,30,13,7,14,"30,30,13,7",slot_00_internal_carrier:7:7;slot_04_internal_carrier:7:4;slot_05_internal_carrier:7:4;slot_pair_00_04_boundary_carrier:14:2;slot_pair_00_05_boundary_carrier:14:2;slot_pair_04_05_boundary_carrier:14:2;slot_pair_00_06_boundary_carrier:10:2;slot_pair_00_01_boundary_carrier:9:2;slot_pair_03_04_boundary_carrier:8:1;slot_pair_04_09_boundary_carrier:8:1;slot_pair_05_10_boundary_carrier:8:1;slot_pair_05_14_boundary_carrier:8:1;slot_06_internal_carrier:3:1,slot_internal_carriers:7:7;slot_internal_carriers:7:4;slot_internal_carriers:7:4;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:14:2;slot_pair_boundary_carriers:10:2;slot_pair_boundary_carriers:9:2;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_pair_boundary_carriers:8:1;slot_internal_carriers:3:1,False
