i,membership,source_file,json_path,artifact,artifact_family,key,pair_key,source_endpoints,source_pair,context_context_ladder,context_is_target_foundation_packet,source_root_slot,source_limit_transition,source_side_gap_signature,nonfoundation_packet_keys,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root
0,union_not_target,g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,$.extracted_rows[6],,,,,,,,,,,,,,,,,,
1,union_not_target,g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,$.extracted_rows[4],,,,,,,,,,,,,,,,,,
2,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[14],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_pair,,,,,,,,,,,,,,,
3,union_not_target,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[26].packet,,,,,"[6, 9]",,,,,,,,,,,,,
4,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[10],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
5,union_not_target,g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,$.extracted_rows[3],,,,,,,,,,,,,,,,,,
6,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[16],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_pair,,,,,,,,,,,,,,,
7,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[12],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
8,union_not_target,g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,$.extracted_rows[5],,,,,,,,,,,,,,,,,,
9,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[17],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
10,union_not_target,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[13].packet,,,,,,,,,,,,,,,,,,
11,union_not_target,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[10].packet,,,,,"[6, 9]",,,,,,,,,,,,,
12,union_not_target,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[16].packet,,,,,,,,,,,,,,,,,,
13,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[18],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
14,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[13],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
15,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[0],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
16,union_not_target,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[3].packet,,,,,,,,,,,,,,,,,,
17,union_not_target,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[2].packet,,,,,,,,,,,,,,,,,,
18,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[15],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
19,target_not_union,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[11],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
