i,side,branch,pair_id,row_class,is_orphan,source_file,json_path,artifact,artifact_family,key,pair_key,pair,source_endpoints,source_pair,source_limit_start,source_limit_transition,source_root_slot,source_side_gap,source_side_gap_signature,anchor,root,inside_moving_endpoint,outside_moving_endpoint,ladder,broken_ladder,phase_ladder_values
0,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_ladder_schema_microscope_003.v1.json,$.prior_row_summary[6],,,,,,,,,,,,,,,,,,,
1,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_ladder_schema_guided_source_derivation_audit_004.v1.json,$.normalized_rows[3],,,,,,,,,,,,,9,,,,,,
2,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_ladder_schema_microscope_003.v1.json,$.prior_row_summary[4],,,,,,,,,,,,,,,,,,,
3,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_ladder_schema_guided_source_derivation_audit_004.v1.json,$.normalized_rows[4],,,,,,,,,,,,,,,,,,,
4,union_only_pair_id,orphan_exclude,,source_geometry_inventory_005,False,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[4],g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,,,,,,,,23->24,12,,"9,11",9,,6,3,,"[3, 9, 6, 12]","[3, 6, 9, 12]"
5,union_only_pair_id,orphan_exclude,,foundation_context_contrast_010,True,g900_six_nine_foundation_packet_context_contrast_010.v1.json,$.contrast_rows_first_20[5].packet,,,,,,,,0,,,,,1,,,,,,
6,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_ladder_schema_guided_source_derivation_audit_004.v1.json,$.normalized_rows[6],,,,,,,,,,,,,,,,,,,
7,union_only_pair_id,orphan_exclude,,source_geometry_inventory_005,False,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[5],g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,,,,,,,,23->24,12,,"9,11",6,,9,3,,"[3, 9, 6, 12]","[3, 9, 6, 12]"
8,union_only_pair_id,orphan_exclude,,foundation_context_contrast_010,True,g900_six_nine_foundation_packet_context_contrast_010.v1.json,$.contrast_rows_first_20[12].packet,,,,,,,,,,,,,6,,,,,,
9,union_only_pair_id,orphan_exclude,,foundation_context_contrast_010,True,g900_six_nine_foundation_packet_context_contrast_010.v1.json,$.contrast_rows_first_20[11].packet,,,,,,,,0,,,,,1,,,,,,
10,union_only_pair_id,orphan_exclude,,foundation_context_contrast_010,True,g900_six_nine_foundation_packet_context_contrast_010.v1.json,$.contrast_rows_first_20[7].packet,,,,,,,,0,,,,,1,,,,,,
11,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_ladder_schema_guided_source_derivation_audit_004.v1.json,$.normalized_rows[5],,,,,,,,,,,,,6,,,,,,
12,union_only_pair_id,orphan_exclude,,foundation_context_contrast_010,True,g900_six_nine_foundation_packet_context_contrast_010.v1.json,$.contrast_rows_first_20[19].packet,,,,,,,,1,,,,,1,,,,,,
13,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_return_span_carrier_variable_scout_014.v1.json,$.span120_rows_first_20[0].packet,,,,,,,,0,,,,,1,,,,,,
14,union_only_pair_id,orphan_exclude,,foundation_broader_009,False,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[3].packet,,,,,,,,,,,,,6,,,,,,
15,union_only_pair_id,orphan_exclude,,foundation_broader_009,False,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[13].packet,,,,,,,,,,,,,9,,,,,,
16,union_only_pair_id,orphan_exclude,,foundation_broader_009,False,g900_six_nine_foundation_packet_broader_origin_selector_009.v1.json,$.contrast_rows_first_30[7].packet,,,,,,,,0,,,,,1,,,,,,
17,union_only_pair_id,orphan_exclude,,other,False,g900_six_nine_ladder_schema_microscope_003.v1.json,$.prior_row_summary[5],,,,,,,,,,,,,6,,,,,,
18,union_only_pair_id,orphan_exclude,,foundation_context_contrast_010,True,g900_six_nine_foundation_packet_context_contrast_010.v1.json,$.contrast_rows_first_20[4].packet,,,,,,,,,,,,,6,,,,,,
19,union_only_pair_id,orphan_exclude,,foundation_context_contrast_010,True,g900_six_nine_foundation_packet_context_contrast_010.v1.json,$.contrast_rows_first_20[18].packet,,,,,,,,0,,,,,1,,,,,,
