i,source_file,json_path,artifact,artifact_family,key,pair_key,source_endpoints,source_pair,context_context_ladder,context_is_target_foundation_packet,source_root_slot,source_limit_transition,source_side_gap_signature,nonfoundation_packet_keys,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root
0,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[0],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
1,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[1],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,source_pair,,,,,,,,,,,,,,,
2,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[2],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
3,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[3],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,source_pair,,,,,,,,,,,,,,,
4,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[4],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
5,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[5],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
6,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[6],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
7,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[7],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
8,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[8],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
9,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[9],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
10,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[10],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
11,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[11],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
12,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[12],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
13,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[13],g900_all_phase_ladder_spectrum_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
14,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[14],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_pair,,,,,,,,,,,,,,,
15,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[15],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
16,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[16],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_pair,,,,,,,,,,,,,,,
17,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[17],g900_distinct_ladder_nonanswer_comparison_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
18,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[18],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
19,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[19],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
20,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[20],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
21,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[21],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
22,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[22],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
23,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[23],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
24,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[24],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
25,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[25],g900_ladder_nearest_anchor_condition_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
26,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[26],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
27,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[27],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
28,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[28],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
29,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[29],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
30,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[30],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
31,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[31],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
32,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[32],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
33,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[33],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_endpoints,,,,,,,,,,,,,,,
34,g900_six_nine_endpoint_chord_scope_audit_031.v1.json,$.target_rows_first_50[34],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,source_pair,,,,,,,,,,,,,,,
