i,source_file,json_path,artifact,artifact_family,key,pair_key,source_endpoints,source_pair,source_root_slot,source_limit_transition,source_inside_failure_proxy,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root
0,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[0],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",9,3,9,
1,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[1],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",9,3,9,
2,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[2],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 9, 6, 12]",6,3,6,
3,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[3],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 9, 6, 12]",6,3,6,
4,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[4],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
5,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[5],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
6,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[6],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
7,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[7],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
8,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[8],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
9,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[9],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
