root,root_local,label_at_30,dominant_label,dominant_label_count,distinct_label_count,switch_count,compressed_sequence,has_12_to_6,has_6_to_9,has_9_to_12,has_6_12_to_12,has_core_triangle,transition_positions,direct_6_9_boundary_carrier_exists,flanking_6_12_boundary_carrier_exists,flanking_9_12_boundary_carrier_exists,channels_admitted
12:0,0,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:1,1,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:2,2,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:3,3,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:4,4,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:5,5,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:6,6,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:7,7,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:8,8,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:9,9,9,12,35,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 11, ""to_limit"": 12}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:10,10,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:11,11,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:12,12,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
