candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
1,0,1,2,3,4,00_01 01_02 03_02 03_04,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_262 tuple_edge_612,0:53 1:54 3:53 3:24,1:23 2:24 2:23 4:24,false,false
5,0,1,2,3,8,00_01 01_02 03_02 03_08,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_262 tuple_edge_766,0:53 1:54 3:53 3:54,1:23 2:24 2:23 8:24,false,false
6,0,1,2,3,9,00_01 01_02 03_02 03_09,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_262 tuple_edge_614,0:53 1:54 3:53 3:24,1:23 2:24 2:23 9:24,false,false
51,0,1,2,7,10,00_01 01_02 07_02 07_10,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_263 tuple_edge_1760,0:53 1:54 7:53 7:24,1:23 2:24 2:23 10:24,false,false
52,0,1,2,7,11,00_01 01_02 07_02 07_11,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_263 tuple_edge_1761,0:53 1:54 7:53 7:24,1:23 2:24 2:23 11:24,false,false
56,0,1,2,8,3,00_01 01_02 08_02 08_03,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_264 tuple_edge_613,0:53 1:54 8:53 8:54,1:23 2:24 2:23 3:24,false,false
65,0,1,2,8,13,00_01 01_02 08_02 08_13,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_264 tuple_edge_2040,0:53 1:54 8:53 8:24,1:23 2:24 2:23 13:24,false,false
66,0,1,2,8,14,00_01 01_02 08_02 08_14,23 24 23 24,tuple_edge_2175 tuple_edge_76 tuple_edge_264 tuple_edge_2041,0:53 1:54 8:53 8:24,1:23 2:24 2:23 14:24,false,false
634,0,1,6,12,9,00_01 01_06 12_06 12_09,23 24 23 24,tuple_edge_2175 tuple_edge_77 tuple_edge_1472 tuple_edge_2309,0:53 1:54 12:23 12:54,1:23 6:24 6:23 9:24,false,false
636,0,1,6,12,11,00_01 01_06 12_06 12_11,23 24 23 24,tuple_edge_2175 tuple_edge_77 tuple_edge_1472 tuple_edge_2844,0:53 1:54 12:23 12:54,1:23 6:24 6:23 11:24,false,false
637,0,1,6,12,13,00_01 01_06 12_06 12_13,23 24 23 24,tuple_edge_2175 tuple_edge_77 tuple_edge_1472 tuple_edge_3071,0:53 1:54 12:23 12:24,1:23 6:24 6:23 13:24,false,false
644,0,1,6,13,8,00_01 01_06 13_06 13_08,23 24 23 24,tuple_edge_2175 tuple_edge_77 tuple_edge_1473 tuple_edge_2040,0:53 1:54 13:23 13:24,1:23 6:24 6:23 8:24,false,false
648,0,1,6,13,12,00_01 01_06 13_06 13_12,23 24 23 24,tuple_edge_2175 tuple_edge_77 tuple_edge_1473 tuple_edge_3071,0:53 1:54 13:23 13:24,1:23 6:24 6:23 12:24,false,false
649,0,1,6,13,14,00_01 01_06 13_06 13_14,23 24 23 24,tuple_edge_2175 tuple_edge_77 tuple_edge_1473 tuple_edge_3292,0:53 1:54 13:23 13:24,1:23 6:24 6:23 14:24,false,false
661,0,1,7,2,3,00_01 01_07 02_07 02_03,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_416 tuple_edge_418,0:53 1:54 2:53 2:54,1:23 7:24 7:23 3:24,false,false
665,0,1,7,2,8,00_01 01_07 02_07 02_08,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_416 tuple_edge_420,0:53 1:54 2:53 2:54,1:23 7:24 7:23 8:24,false,false
741,0,1,7,10,5,00_01 01_07 10_07 10_05,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_1758 tuple_edge_1204,0:53 1:54 10:23 10:24,1:23 7:24 7:23 5:24,false,false
745,0,1,7,10,11,00_01 01_07 10_07 10_11,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_1758 tuple_edge_2586,0:53 1:54 10:23 10:24,1:23 7:24 7:23 11:24,false,false
748,0,1,7,10,14,00_01 01_07 10_07 10_14,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_1758 tuple_edge_2587,0:53 1:54 10:23 10:24,1:23 7:24 7:23 14:24,false,false
755,0,1,7,11,9,00_01 01_07 11_07 11_09,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_1759 tuple_edge_2308,0:53 1:54 11:23 11:54,1:23 7:24 7:23 9:24,false,false
756,0,1,7,11,10,00_01 01_07 11_07 11_10,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_1759 tuple_edge_2586,0:53 1:54 11:23 11:24,1:23 7:24 7:23 10:24,false,false
757,0,1,7,11,12,00_01 01_07 11_07 11_12,23 24 23 24,tuple_edge_2175 tuple_edge_78 tuple_edge_1759 tuple_edge_2945,0:53 1:54 11:23 11:54,1:23 7:24 7:23 12:24,false,false
5424,0,4,3,2,1,00_04 04_03 02_03 02_01,23 24 23 24,tuple_edge_2171 tuple_edge_612 tuple_edge_415 tuple_edge_3432,0:53 4:24 2:53 2:54,4:23 3:24 3:23 1:24,false,false
5427,0,4,3,2,7,00_04 04_03 02_03 02_07,23 24 23 24,tuple_edge_2171 tuple_edge_612 tuple_edge_415 tuple_edge_419,0:53 4:24 2:53 2:54,4:23 3:24 3:23 7:24,false,false
5428,0,4,3,2,8,00_04 04_03 02_03 02_08,23 24 23 24,tuple_edge_2171 tuple_edge_612 tuple_edge_415 tuple_edge_420,0:53 4:24 2:53 2:54,4:23 3:24 3:23 8:24,false,false
5469,0,4,3,8,2,00_04 04_03 08_03 08_02,23 24 23 24,tuple_edge_2171 tuple_edge_612 tuple_edge_610 tuple_edge_267,0:53 4:24 8:53 8:54,4:23 3:24 3:23 2:24,false,false
