candidate_index,A,B,C,D,E,role_pairs,unique_hits,miss_reasons
2,0,1,2,3,5,00_01 01_02 03_02 03_05,3,DE:missing_target_anchor_edge
3,0,1,2,3,6,00_01 01_02 03_02 03_06,3,DE:missing_target_anchor_edge
4,0,1,2,3,7,00_01 01_02 03_02 03_07,3,DE:missing_target_anchor_edge
7,0,1,2,3,10,00_01 01_02 03_02 03_10,3,DE:missing_target_anchor_edge
8,0,1,2,3,11,00_01 01_02 03_02 03_11,3,DE:missing_target_anchor_edge
9,0,1,2,3,12,00_01 01_02 03_02 03_12,3,DE:missing_target_anchor_edge
10,0,1,2,3,13,00_01 01_02 03_02 03_13,3,DE:missing_target_anchor_edge
11,0,1,2,3,14,00_01 01_02 03_02 03_14,3,DE:missing_target_anchor_edge
12,0,1,2,4,3,00_01 01_02 04_02 04_03,3,DC:missing_target_anchor_edge
13,0,1,2,4,5,00_01 01_02 04_02 04_05,3,DC:missing_target_anchor_edge
17,0,1,2,4,9,00_01 01_02 04_02 04_09,3,DC:missing_target_anchor_edge
24,0,1,2,5,4,00_01 01_02 05_02 05_04,3,DC:missing_target_anchor_edge
29,0,1,2,5,10,00_01 01_02 05_02 05_10,3,DC:missing_target_anchor_edge
33,0,1,2,5,14,00_01 01_02 05_02 05_14,3,DC:missing_target_anchor_edge
42,0,1,2,6,12,00_01 01_02 06_02 06_12,3,DC:missing_target_anchor_edge
43,0,1,2,6,13,00_01 01_02 06_02 06_13,3,DC:missing_target_anchor_edge
45,0,1,2,7,3,00_01 01_02 07_02 07_03,3,DE:missing_target_anchor_edge
46,0,1,2,7,4,00_01 01_02 07_02 07_04,3,DE:missing_target_anchor_edge
47,0,1,2,7,5,00_01 01_02 07_02 07_05,3,DE:missing_target_anchor_edge
48,0,1,2,7,6,00_01 01_02 07_02 07_06,3,DE:missing_target_anchor_edge
49,0,1,2,7,8,00_01 01_02 07_02 07_08,3,DE:missing_target_anchor_edge
50,0,1,2,7,9,00_01 01_02 07_02 07_09,3,DE:missing_target_anchor_edge
53,0,1,2,7,12,00_01 01_02 07_02 07_12,3,DE:missing_target_anchor_edge
54,0,1,2,7,13,00_01 01_02 07_02 07_13,3,DE:missing_target_anchor_edge
55,0,1,2,7,14,00_01 01_02 07_02 07_14,3,DE:missing_target_anchor_edge
57,0,1,2,8,4,00_01 01_02 08_02 08_04,3,DE:missing_target_anchor_edge
58,0,1,2,8,5,00_01 01_02 08_02 08_05,3,DE:missing_target_anchor_edge
59,0,1,2,8,6,00_01 01_02 08_02 08_06,3,DE:missing_target_anchor_edge
60,0,1,2,8,7,00_01 01_02 08_02 08_07,3,DE:missing_target_anchor_edge
61,0,1,2,8,9,00_01 01_02 08_02 08_09,3,DE:missing_target_anchor_edge
