source_family_id,source_family_key,row_count,sharpness_counts,blocker_counts,selector_sample,source_family_status
SF0001,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_edge_limit_phase_scan_001_rows.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv g900_transport_candidate_family_census_014_near_misses.v1.csv g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,45,"{""medium_bucket"": 12, ""razor_small"": 28, ""small_bucket"": 5}","{""blocked_as_razor_small_until_proven"": 28, ""blocked_by_null_or_marginal_stress"": 17}",B=4 | B=4 AND C=5 | C=5 | B=4 AND C=5 AND E=14 | B=4 AND D=10 AND E=14 | B=4 AND E=14 | C=5 AND D=10 AND E=14 | C=5 AND E=14 | B=4 AND C=5 AND E=11 | B=4 AND D=10 AND E=11,repeated_source_context_no_law
SF0002,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv g900_transport_candidate_family_census_014_near_misses.v1.csv g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv,45,"{""medium_bucket"": 8, ""razor_small"": 24, ""small_bucket"": 13}","{""blocked_as_razor_small_until_proven"": 24, ""blocked_by_null_or_marginal_stress"": 21}",C=11 AND D=10 AND E=14 | C=11 AND E=14 | A=10 AND B=11 AND C=12 | A=10 AND C=12 | A=3 AND D=10 AND E=14 | D=10 AND E=14 | A=10 AND B=11 | B=11 AND C=12 | C=11 AND D=10 | B=12 AND C=11 AND E=14,repeated_source_context_no_law
SF0003,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv g900_transport_candidate_family_census_014_near_misses.v1.csv g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv,31,"{""medium_bucket"": 9, ""razor_small"": 18, ""small_bucket"": 4}","{""blocked_as_razor_small_until_proven"": 18, ""blocked_by_null_or_marginal_stress"": 13}",B=3 AND C=8 AND E=14 | B=3 AND E=14 | C=8 AND E=14 | B=3 AND C=8 AND E=10 | B=3 AND C=8 AND E=12 | B=3 AND C=8 AND E=5 | B=3 AND D=14 AND E=10 | B=3 AND D=14 AND E=5 | B=3 AND E=10 | B=3 AND E=12,repeated_source_context_no_law
SF0004,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,29,"{""medium_bucket"": 4, ""razor_small"": 10, ""small_bucket"": 15}","{""blocked_as_razor_small_until_proven"": 10, ""blocked_by_null_or_marginal_stress"": 19}",C=12 AND D=6 | D=6 | A=6 | A=6 AND B=12 | A=3 AND B=9 AND E=14 | A=3 AND B=9 | B=9 AND C=12 | B=11 AND C=12 AND D=6 | B=11 AND D=6 | A=3 AND B=9 AND D=10,repeated_source_context_no_law
SF0005,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_edge_limit_phase_scan_001_rows.v1.csv g900_edge_overlap_candidate_inspection_001_rows.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv,25,"{""medium_bucket"": 1, ""razor_small"": 20, ""small_bucket"": 4}","{""blocked_as_razor_small_until_proven"": 20, ""blocked_by_null_or_marginal_stress"": 5}",A=10 AND D=3 | D=3 | B=11 AND C=9 AND D=3 | B=11 AND C=9 AND E=4 | B=11 AND D=3 | B=11 AND D=3 AND E=4 | B=11 AND E=4 | B=12 AND C=9 AND D=3 | B=12 AND C=9 AND E=4 | B=12 AND D=3,repeated_source_context_no_law
SF0006,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv g900_slot12_composite_triangle_anatomy_001_transition_steps.v1.csv g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv g900_transport_candidate_family_census_014_near_misses.v1.csv g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,23,"{""medium_bucket"": 3, ""razor_small"": 15, ""small_bucket"": 5}","{""blocked_as_razor_small_until_proven"": 15, ""blocked_by_null_or_marginal_stress"": 8}",B=9 AND C=11 AND E=14 | B=9 AND D=10 AND E=14 | A=4 AND B=9 AND D=10 | A=4 AND C=11 AND D=10 | A=4 AND D=10 | B=9 AND C=11 AND D=10 | B=9 AND D=10 | B=9 AND C=11 | B=9 AND C=11 AND E=5 | B=9 AND C=11 AND E=7,repeated_source_context_no_law
SF0007,g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_inventory_001_candidates.v1.csv g900_full60_package_support_audit_001_packages.v1.csv g900_full60_package_support_audit_001_steps.v1.csv g900_full60_phase_support_classification_001_packages.v1.csv g900_full60_transition_package_anatomy_001_packages.v1.csv g900_projection_exception_handles_001_rows.v1.csv g900_root_smoke_signature_census_001_rows.v1.csv,21,"{""medium_bucket"": 2, ""razor_small"": 12, ""small_bucket"": 7}","{""blocked_as_razor_small_until_proven"": 12, ""blocked_by_null_or_marginal_stress"": 9}",B=9 AND C=11 AND D=7 | B=9 AND C=11 AND E=10 | B=9 AND D=7 | B=9 AND D=7 AND E=10 | B=9 AND E=10 | A=7 AND B=11 AND C=12 | A=7 AND C=12 | C=11 AND D=7 | C=11 AND D=7 AND E=10 | C=11 AND E=10,repeated_source_context_no_law
SF0008,g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv g900_transport_candidate_family_census_014_near_misses.v1.csv g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv g900_transport_deferred_gate_frontier_worklist_018a.v1.csv g900_transport_permission_gate_family_filter_016_candidates.v1.csv,19,"{""razor_small"": 15, ""small_bucket"": 4}","{""blocked_as_razor_small_until_proven"": 15, ""blocked_by_null_or_marginal_stress"": 4}",A=10 AND B=5 | A=10 AND B=5 AND C=4 | A=10 AND C=4 | A=14 AND B=5 | A=14 AND B=5 AND C=4 | A=14 AND C=4 | B=5 AND C=4 AND D=9 | B=5 AND C=4 AND E=3 | B=5 AND D=9 | B=5 AND D=9 AND E=3,repeated_source_context_no_law
SF0009,g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv g900_transport_candidate_family_census_014_near_misses.v1.csv g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv g900_transport_deferred_gate_frontier_worklist_018a.v1.csv g900_transport_permission_gate_family_filter_016_candidates.v1.csv g900_transport_permission_sharpness_audit_021_closest_candidates.v1.csv,17,"{""medium_bucket"": 3, ""razor_small"": 8, ""small_bucket"": 6}","{""blocked_as_razor_small_until_proven"": 8, ""blocked_by_null_or_marginal_stress"": 9}",C=12 AND E=8 | A=14 AND B=8 | A=14 AND B=8 AND C=3 | A=14 AND C=3 | A=3 AND D=10 AND E=7 | A=3 AND E=7 | A=9 AND D=14 AND E=10 | A=9 AND E=10 | D=14 AND E=10 | D=10 AND E=7,repeated_source_context_no_law
SF0010,g900_return_cell_bounded_information_transport_admission_007_history.v1.csv g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv g900_return_cell_carrier_incidence_packet_scout_002_edges.v1.csv g900_return_cell_conserved_packet_scout_001_edges.v1.csv g900_return_cell_one_step_information_transport_support_audit_006_history.v1.csv g900_return_cell_packet_successor_rule_scout_003_rule_rows.v1.csv g900_return_cell_packet_successor_rule_scout_003_target_packet.v1.csv g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,13,"{""medium_bucket"": 2, ""razor_small"": 10, ""small_bucket"": 1}","{""blocked_as_razor_small_until_proven"": 10, ""blocked_by_null_or_marginal_stress"": 3}",E=4 | C=12 AND E=6 | B=8 AND C=3 AND D=9 | B=8 AND C=3 AND E=4 | B=8 AND D=9 | B=8 AND D=9 AND E=4 | B=8 AND E=4 | C=3 AND D=9 | C=3 AND D=9 AND E=4 | C=3 AND E=4,repeated_source_context_no_law
