stress_id,selector_expression,fields,values,bucket_size,sharpness,stress_blocker,frontier_indices,candidate_indices,common_role_token_count,common_q_edge_token_count,primary_token_count,construction_token_hit_count,selector_token_hit_count,other_token_hit_count,construction_cooccurrence_count,selector_cooccurrence_count,provenance_status,promoted_to_provenance_candidate,sample_tokens,sample_hit_paths
S0017,E=4,E,4,6,medium_bucket,blocked_by_null_or_marginal_stress,28 34 54 61 62 71,164113 186421 258625 326517 334129 350541,0,1,1,18,3,9,18,3,construction_context_covisible_no_promotion,false,tuple_edge_611,construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:tuple_edge_611 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv:tuple_edge_611 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_edges.v1.csv:tuple_edge_611 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_conserved_packet_scout_001_edges.v1.csv:tuple_edge_611 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_one_step_information_transport_support_audit_006_history.v1.csv:tuple_edge_611 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_rule_rows.v1.csv:tuple_edge_611 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_target_packet.v1.csv:tuple_edge_611 | construction_surface:labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv:tuple_edge_611
S0135,C=12 AND D=6,C D,12 | 6,3,small_bucket,blocked_by_null_or_marginal_stress,24 36 56,111209 186724 258796,2,2,4,194,19,73,17,3,construction_context_covisible_no_promotion,false,06_12 06_13 tuple_edge_1472 tuple_edge_1475,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:06_12 06_13 | other_surface:labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:06_12 06_13 tuple_edge_1...
S0003,D=6,D,6,3,small_bucket,blocked_by_null_or_marginal_stress,24 36 56,111209 186724 258796,2,2,4,194,19,73,17,3,construction_context_covisible_no_promotion,false,06_12 06_13 tuple_edge_1472 tuple_edge_1475,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:06_12 06_13 | other_surface:labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv:06_12 06_13 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:06_12 06_13 tuple_edge_1...
S0012,A=6,A,6,6,medium_bucket,blocked_by_null_or_marginal_stress,28 29 30 31 32 33,164113 164124 164415 164445 164446 164450,1,1,2,99,8,37,17,3,construction_context_covisible_no_promotion,false,06_12 tuple_edge_1472,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:06_12 | other_surface:labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:06_12 tuple_edge_1472
S0167,A=6 AND B=12,A B,6 | 12,6,medium_bucket,blocked_by_null_or_marginal_stress,28 29 30 31 32 33,164113 164124 164415 164445 164446 164450,1,1,2,99,8,37,17,3,construction_context_covisible_no_promotion,false,06_12 tuple_edge_1472,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:06_12 | other_surface:labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv:06_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:06_12 tuple_edge_1472
S0247,A=3 AND B=9 AND E=14,A B E,3 | 9 | 14,2,razor_small,blocked_as_razor_small_until_proven,10 13,87087 87241,1,1,2,106,13,53,15,3,construction_context_covisible_no_promotion,false,03_09 tuple_edge_611,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:03_09 | other_surface:labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:03_09 tuple_edge_611
S0187,A=3 AND B=9,A B,3 | 9,7,medium_bucket,blocked_by_null_or_marginal_stress,7 8 9 10 11 12 13,87062 87081 87083 87087 87236 87238 87241,1,1,2,106,13,53,15,3,construction_context_covisible_no_promotion,false,03_09 tuple_edge_611,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:03_09 | other_surface:labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:03_09 tuple_edge_611
S0049,A=10 AND D=3,A D,10 | 3,2,razor_small,blocked_as_razor_small_until_proven,52 54,249388 258625,2,0,2,105,12,57,15,2,construction_context_covisible_no_promotion,false,03_04 03_09,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:03_04 03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:03_04 03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv:03_04 | other_surface:labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv:03_04 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:03_09
S0014,D=3,D,3,6,medium_bucket,blocked_by_null_or_marginal_stress,28 34 52 54 62 68,164113 186421 249388 258625 334129 345484,2,0,2,105,12,57,15,2,construction_context_covisible_no_promotion,false,03_04 03_09,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:03_04 03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:03_04 03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv:03_04 | other_surface:labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv:03_04 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:03_09 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:03_09
S0188,B=9 AND C=12,B C,9 | 12,7,medium_bucket,blocked_by_null_or_marginal_stress,11 12 13 24 25 26 27,87236 87238 87241 111209 111260 111262 111265,1,1,2,100,7,37,15,3,construction_context_covisible_no_promotion,false,09_12 tuple_edge_2425,construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv:09_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv:09_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv:09_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv:09_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv:09_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv:09_12 | other_surface:labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv:09_12 | construction_surface:labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv:09_12 tuple_edge_2425
