slot,is_target_anchor,is_chamber_slot14,is_adjacent_to_slot14,slot14_incident_carrier,slot14_incident_global_row_count,slot14_incident_slot_presence_count,slot14_incident_dominant_value_pair,selected_by_slot14_global_ge_180_or_self,selected_by_slot14_presence_ge_3_or_self,selected_by_slot14_top3_incident_or_self,full_carrier_degree,incident_global_row_count_sum,incident_slot_presence_sum,neighbor_count_to_target_anchors_quarantined,source_role_050_quarantined,incident_carriers,promotion_status
00,false,false,false,,0,0,,false,false,false,4,1218,27,1,source_leaf,slot_pair_00_01_boundary_carrier slot_pair_00_04_boundary_carrier slot_pair_00_05_boundary_carrier slot_pair_00_06_boundary_carrier,endpoint_feature_profile_not_law
01,false,false,false,,0,0,,false,false,false,4,1185,28,0,omitted,slot_pair_00_01_boundary_carrier slot_pair_01_02_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_01_07_boundary_carrier,endpoint_feature_profile_not_law
02,false,false,false,,0,0,,false,false,false,4,1488,28,1,source_leaf,slot_pair_01_02_boundary_carrier slot_pair_02_03_boundary_carrier slot_pair_02_07_boundary_carrier slot_pair_02_08_boundary_carrier,endpoint_feature_profile_not_law
03,false,false,false,,0,0,,false,false,false,4,1447,25,1,source_leaf,slot_pair_02_03_boundary_carrier slot_pair_03_04_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_03_09_boundary_carrier,endpoint_feature_profile_not_law
04,false,false,false,,0,0,,false,false,false,4,1312,24,1,source_leaf,slot_pair_00_04_boundary_carrier slot_pair_03_04_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_04_09_boundary_carrier,endpoint_feature_profile_not_law
05,true,false,true,slot_pair_05_14_boundary_carrier,196,4,7:1,true,true,true,4,1109,22,2,anchor,slot_pair_00_05_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_05_10_boundary_carrier slot_pair_05_14_boundary_carrier,endpoint_feature_profile_not_law
06,false,false,false,,0,0,,false,false,false,4,1081,25,0,source_leaf,slot_pair_00_06_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_06_12_boundary_carrier slot_pair_06_13_boundary_carrier,endpoint_feature_profile_not_law
07,false,false,false,,0,0,,false,false,false,4,1164,24,1,source_leaf,slot_pair_01_07_boundary_carrier slot_pair_02_07_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_07_11_boundary_carrier,endpoint_feature_profile_not_law
08,true,false,true,slot_pair_08_14_boundary_carrier,180,3,9:2,true,true,true,4,1104,19,1,anchor,slot_pair_02_08_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_08_14_boundary_carrier,endpoint_feature_profile_not_law
09,false,false,false,,0,0,,false,false,false,4,1110,19,0,omitted,slot_pair_03_09_boundary_carrier slot_pair_04_09_boundary_carrier slot_pair_09_11_boundary_carrier slot_pair_09_12_boundary_carrier,endpoint_feature_profile_not_law
10,true,false,true,slot_pair_10_14_boundary_carrier,180,3,9:2,true,true,true,4,918,17,2,anchor,slot_pair_05_10_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_10_14_boundary_carrier,endpoint_feature_profile_not_law
11,false,false,false,,0,0,,false,false,false,4,842,15,1,source_leaf,slot_pair_07_11_boundary_carrier slot_pair_09_11_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_11_12_boundary_carrier,endpoint_feature_profile_not_law
12,false,false,false,,0,0,,false,false,false,4,794,15,0,source_leaf,slot_pair_06_12_boundary_carrier slot_pair_09_12_boundary_carrier slot_pair_11_12_boundary_carrier slot_pair_12_13_boundary_carrier,endpoint_feature_profile_not_law
13,false,false,true,slot_pair_13_14_boundary_carrier,120,2,6:1,false,false,false,4,734,14,2,source_return_hub,slot_pair_06_13_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_12_13_boundary_carrier slot_pair_13_14_boundary_carrier,endpoint_feature_profile_not_law
14,true,true,false,,0,0,,true,true,true,4,676,12,3,anchor,slot_pair_05_14_boundary_carrier slot_pair_08_14_boundary_carrier slot_pair_10_14_boundary_carrier slot_pair_13_14_boundary_carrier,endpoint_feature_profile_not_law
