feature,feature_kind,feature_name,denied_count,allowed_counts,denied_present,allowed_present_count,denied_only_presence,allowed_only_presence,present_all_allowed_absent_denied,count_distinguishes_denial,feature_status,promoted_to_source_law,promoted_to_admission
matched_field:missing_role_token,matched_field,missing_role_token,2,0 0 0 0 0,true,0,true,false,false,true,direct_denied_only_cause_candidate_not_law,false,false
permission_status:denied_visible_edge,permission_status,denied_visible_edge,50,0 0 0 0 0,true,0,true,false,false,true,direct_denied_only_cause_candidate_not_law,false,false
position_class:prefix_terminal_edge,position_class,prefix_terminal_edge,1,0 0 0 0 0,true,0,true,false,false,true,direct_denied_only_cause_candidate_not_law,false,false
permission_status:allowed_local_member,permission_status,allowed_local_member,0,3 3 54 39 238,false,5,false,true,true,true,allowed_only_contrast_candidate_not_law,false,false
context_keyword:boundary,context_keyword,boundary,14,0 0 17 12 29,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:boundary_carrier,context_keyword,boundary_carrier,13,0 0 16 11 29,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:carrier,context_keyword,carrier,14,0 0 17 12 36,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:token,context_keyword,token,3,0 0 4 1 4,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
matched_field:token,matched_field,token,2,0 0 1 1 1,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:construction_csv_row_hit_count,numeric,construction_csv_row_hit_count,1107,75 51 1298 1050 1457,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:construction_file_hit_count,numeric,construction_file_hit_count,17,1 1 19 16 73,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:csv_row_hit_count,numeric,csv_row_hit_count,1602,77 53 1711 1454 2133,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:other_file_hit_count,numeric,other_file_hit_count,5,0 0 7 4 98,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
numeric:source_file_hit_count,numeric,source_file_hit_count,50,3 3 54 39 238,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
source_bucket:projection_exception,source_bucket,projection_exception,3,0 0 2 2 2,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
source_class:construction_surface,source_class,construction_surface,17,1 1 19 16 73,true,5,false,false,false,true,count_fingerprint_not_cause,false,false
source_class:other_surface,source_class,other_surface,5,0 0 7 4 98,true,3,false,false,false,true,count_fingerprint_not_cause,false,false
context_keyword:endpoint_incidence,context_keyword,endpoint_incidence,1,0 0 1 1 1,true,3,false,false,false,false,not_distinguishing,false,false
