family_id,family_key,member_count,role_tokens,tuple_tokens,role_nodes,role_endpoints,var_order,value_order,path_forward,path_reverse,path_match,observed_subset_count,universe_subset_count,missing_var_sets,missing_value_sets,extra_var_sets,exact_one_missing,missing_var_pair,missing_value_pair,first_var_pair,first_value_pair,last_var_pair,last_value_pair,missing_role_token,missing_pair_is_role_edge,missing_pair_is_terminal_edge,missing_pair_is_prefix_pair,missing_pair_is_suffix_pair,omission_class,promoted_to_source_law,promoted_to_admission
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,9,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921,03 04 05 09,05 09,B C D E,05 04 03 09,true,true,true,9,10,B C,04 05,,true,B C,04 05,B C,04 05,D E,03 09,05_04,true,true,true,false,missing_prefix_terminal_edge,false,false
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,9,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922,03 04 08 09,08 09,B C D E,08 03 04 09,true,true,true,9,10,B C,03 08,,true,B C,03 08,B C,03 08,D E,04 09,08_03,true,true,true,false,missing_prefix_terminal_edge,false,false
F0003,roles=05_04 09_03 09_04 :: tuples=tuple_edge_614 tuple_edge_920 tuple_edge_921,9,05_04 09_03 09_04,tuple_edge_614 tuple_edge_920 tuple_edge_921,03 04 05 09,03 05,B C D E,05 04 09 03,true,true,true,9,10,B C,04 05,,true,B C,04 05,B C,04 05,D E,03 09,05_04,true,true,true,false,missing_prefix_terminal_edge,false,false
F0004,roles=08_03 09_03 09_04 :: tuples=tuple_edge_611 tuple_edge_613 tuple_edge_922,9,08_03 09_03 09_04,tuple_edge_611 tuple_edge_613 tuple_edge_922,03 04 08 09,04 08,B C D E,08 03 09 04,true,true,true,9,10,B C,03 08,,true,B C,03 08,B C,03 08,D E,04 09,08_03,true,true,true,false,missing_prefix_terminal_edge,false,false
F0005,roles=04_05 10_05 10_11 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,7,04_05 10_05 10_11,tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,04 05 10 11,04 11,B C D E,04 05 10 11,true,true,true,7,10,B C | B C D | B D | C D,04 05 | 04 05 10 | 04 10 | 05 10,E,false,,,B C,04 05,D E,10 11,,false,false,false,false,not_exact_one_missing,false,false
F0006,roles=03_08 14_05 14_08 :: tuples=tuple_edge_1205 tuple_edge_2039 tuple_edge_766,6,03_08 14_05 14_08,tuple_edge_1205 tuple_edge_2039 tuple_edge_766,03 05 08 14,03 05,B C D E,03 08 14 05,true,true,true,6,10,B C | B C D | B D | C D,03 08 | 03 08 14 | 03 14 | 08 14,,false,,,B C,03 08,D E,05 14,,false,false,false,false,not_exact_one_missing,false,false
F0007,roles=04_05 14_05 14_08 :: tuples=tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,6,04_05 14_05 14_08,tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,04 05 08 14,04 08,B C D E,04 05 14 08,true,true,true,6,10,B C | B C D | B D | C D,04 05 | 04 05 14 | 04 14 | 05 14,,false,,,B C,04 05,D E,08 14,,false,false,false,false,not_exact_one_missing,false,false
F0008,roles=03_04 03_09 11_09 :: tuples=tuple_edge_2308 tuple_edge_611 tuple_edge_612,5,03_04 03_09 11_09,tuple_edge_2308 tuple_edge_611 tuple_edge_612,03 04 09 11,04 11,B C D E,11 09 03 04,true,true,true,5,10,B C | C D | C D E | C E | D E,09 11 | 03 09 | 03 04 09 | 04 09 | 03 04,,false,,,B C,09 11,D E,03 04,,false,false,false,false,not_exact_one_missing,false,false
F0009,roles=03_04 03_09 12_09 :: tuples=tuple_edge_2309 tuple_edge_611 tuple_edge_612,5,03_04 03_09 12_09,tuple_edge_2309 tuple_edge_611 tuple_edge_612,03 04 09 12,04 12,B C D E,12 09 03 04,true,true,true,5,10,B C | C D | C D E | C E | D E,09 12 | 03 09 | 03 04 09 | 04 09 | 03 04,,false,,,B C,09 12,D E,03 04,,false,false,false,false,not_exact_one_missing,false,false
F0010,roles=03_08 14_08 14_10 :: tuples=tuple_edge_2039 tuple_edge_2587 tuple_edge_766,5,03_08 14_08 14_10,tuple_edge_2039 tuple_edge_2587 tuple_edge_766,03 08 10 14,03 10,B C D E,03 08 14 10,true,true,true,5,10,B C | B C D | B D | C D | D E,03 08 | 03 08 14 | 03 14 | 08 14 | 10 14,,false,,,B C,03 08,D E,10 14,,false,false,false,false,not_exact_one_missing,false,false
F0011,roles=04_03 04_09 11_09 :: tuples=tuple_edge_2308 tuple_edge_612 tuple_edge_920,5,04_03 04_09 11_09,tuple_edge_2308 tuple_edge_612 tuple_edge_920,03 04 09 11,03 11,B C D E,11 09 04 03,true,true,true,5,10,B C | C D | C D E | C E | D E,09 11 | 04 09 | 03 04 09 | 03 09 | 03 04,,false,,,B C,09 11,D E,03 04,,false,false,false,false,not_exact_one_missing,false,false
F0012,roles=04_03 04_09 12_09 :: tuples=tuple_edge_2309 tuple_edge_612 tuple_edge_920,5,04_03 04_09 12_09,tuple_edge_2309 tuple_edge_612 tuple_edge_920,03 04 09 12,03 12,B C D E,12 09 04 03,true,true,true,5,10,B C | C D | C D E | C E | D E,09 12 | 04 09 | 03 04 09 | 03 09 | 03 04,,false,,,B C,09 12,D E,03 04,,false,false,false,false,not_exact_one_missing,false,false
F0013,roles=04_05 10_05 10_07 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,5,04_05 10_05 10_07,tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,04 05 07 10,04 07,B C D E,04 05 10 07,true,true,true,5,10,B C | B C D | B D | C D | D E,04 05 | 04 05 10 | 04 10 | 05 10 | 07 10,,false,,,B C,04 05,D E,07 10,,false,false,false,false,not_exact_one_missing,false,false
F0014,roles=04_05 10_05 10_14 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,5,04_05 10_05 10_14,tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,04 05 10 14,04 14,B C D E,04 05 10 14,true,true,true,5,10,B C | B C D | B D | C D | D E,04 05 | 04 05 10 | 04 10 | 05 10 | 10 14,,false,,,B C,04 05,D E,10 14,,false,false,false,false,not_exact_one_missing,false,false
F0015,roles=04_05 14_05 14_10 :: tuples=tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,5,04_05 14_05 14_10,tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,04 05 10 14,04 10,B C D E,04 05 14 10,true,true,true,5,10,B C | B C D | B D | C D | D E,04 05 | 04 05 14 | 04 14 | 05 14 | 10 14,,false,,,B C,04 05,D E,10 14,,false,false,false,false,not_exact_one_missing,false,false
F0016,roles=07_10 07_11 09_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,5,07_10 07_11 09_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2424,07 09 10 11,09 10,B C D E,09 11 07 10,true,true,true,5,10,B C | C D | C D E | C E | D E,09 11 | 07 11 | 07 10 11 | 10 11 | 07 10,,false,,,B C,09 11,D E,07 10,,false,false,false,false,not_exact_one_missing,false,false
F0017,roles=07_10 07_11 12_11 :: tuples=tuple_edge_1759 tuple_edge_1760 tuple_edge_2844,5,07_10 07_11 12_11,tuple_edge_1759 tuple_edge_1760 tuple_edge_2844,07 10 11 12,10 12,B C D E,12 11 07 10,true,true,true,5,10,B C | C D | C D E | C E | D E,11 12 | 07 11 | 07 10 11 | 10 11 | 07 10,,false,,,B C,11 12,D E,07 10,,false,false,false,false,not_exact_one_missing,false,false
F0018,roles=07_10 07_11 :: tuples=tuple_edge_1759 tuple_edge_1760,5,07_10 07_11,tuple_edge_1759 tuple_edge_1760,07 10 11,10 11,C D E,11 07 10,true,true,true,5,4,,,D,false,,,C D,07 11,D E,07 10,,false,false,false,false,not_exact_one_missing,false,false
F0019,roles=03_04 03_09 :: tuples=tuple_edge_611 tuple_edge_612,4,03_04 03_09,tuple_edge_611 tuple_edge_612,03 04 09,04 09,C D E,09 03 04,true,true,true,4,4,,,,false,,,C D,03 09,D E,03 04,,false,false,false,false,not_exact_one_missing,false,false
F0020,roles=03_08 13_08 13_12 :: tuples=tuple_edge_2038 tuple_edge_3071 tuple_edge_766,4,03_08 13_08 13_12,tuple_edge_2038 tuple_edge_3071 tuple_edge_766,03 08 12 13,03 12,B C E,03 08 12,false,false,false,4,4,B C,03 08,E,false,,,B C,03 08,C E,08 12,,false,false,false,false,not_exact_one_missing,false,false
F0021,roles=04_03 04_09 :: tuples=tuple_edge_612 tuple_edge_920,4,04_03 04_09,tuple_edge_612 tuple_edge_920,03 04 09,03 09,C D E,09 04 03,true,true,true,4,4,,,,false,,,C D,04 09,D E,03 04,,false,false,false,false,not_exact_one_missing,false,false
F0022,roles=10_07 :: tuples=tuple_edge_1760,4,10_07,tuple_edge_1760,07 10,07 10,A D E,03 10 07,false,false,false,4,4,A D,03 10,E,false,,,A D,03 10,D E,07 10,,false,false,false,false,not_exact_one_missing,false,false
F0023,roles=03_04 04_05 14_05 :: tuples=tuple_edge_1041 tuple_edge_1203 tuple_edge_609,3,03_04 04_05 14_05,tuple_edge_1041 tuple_edge_1203 tuple_edge_609,03 04 05 14,03 14,A B C D,03 04 05 14,true,true,true,3,10,A B | A B C | A C | B C | B C D | B D | C D,03 04 | 03 04 05 | 03 05 | 04 05 | 04 05 14 | 04 14 | 05 14,,false,,,A B,03 04,C D,05 14,,false,false,false,false,not_exact_one_missing,false,false
F0024,roles=03_04 04_05 :: tuples=tuple_edge_1041 tuple_edge_609,3,03_04 04_05,tuple_edge_1041 tuple_edge_609,03 04 05,03 05,A B C,03 04 05,true,true,true,3,4,B C,04 05,,true,B C,04 05,A B,03 04,B C,04 05,04_05,true,true,false,true,missing_suffix_terminal_edge,false,false
F0025,roles=03_08 04_03 14_08 :: tuples=tuple_edge_2039 tuple_edge_609 tuple_edge_766,3,03_08 04_03 14_08,tuple_edge_2039 tuple_edge_609 tuple_edge_766,03 04 08 14,04 14,A B C D,04 03 08 14,true,true,true,3,10,A B | A B C | A C | B C | B C D | B D | C D,03 04 | 03 04 08 | 04 08 | 03 08 | 03 08 14 | 03 14 | 08 14,,false,,,A B,03 04,C D,08 14,,false,false,false,false,not_exact_one_missing,false,false
F0026,roles=03_08 04_03 :: tuples=tuple_edge_609 tuple_edge_766,3,03_08 04_03,tuple_edge_609 tuple_edge_766,03 04 08,04 08,A B C,04 03 08,true,true,true,3,4,B C,03 08,,true,B C,03 08,A B,03 04,B C,03 08,03_08,true,true,false,true,missing_suffix_terminal_edge,false,false
F0027,roles=03_08 09_03 :: tuples=tuple_edge_611 tuple_edge_766,3,03_08 09_03,tuple_edge_611 tuple_edge_766,03 08 09,08 09,A B C,09 03 08,true,true,true,3,4,B C,03 08,,true,B C,03 08,A B,03 09,B C,03 08,03_08,true,true,false,true,missing_suffix_terminal_edge,false,false
F0028,roles=03_08 13_06 13_08 :: tuples=tuple_edge_1475 tuple_edge_2038 tuple_edge_766,3,03_08 13_06 13_08,tuple_edge_1475 tuple_edge_2038 tuple_edge_766,03 06 08 13,03 06,B C E,03 08 06,false,false,false,3,4,B C,03 08,,true,B C,03 08,B C,03 08,C E,06 08,03_08,true,true,true,false,missing_prefix_terminal_edge,false,false
F0029,roles=03_08 13_08 13_14 :: tuples=tuple_edge_2038 tuple_edge_3292 tuple_edge_766,3,03_08 13_08 13_14,tuple_edge_2038 tuple_edge_3292 tuple_edge_766,03 08 13 14,03 14,B C E,03 08 14,false,false,false,3,4,B C,03 08,,true,B C,03 08,B C,03 08,C E,08 14,03_08,true,true,true,false,missing_prefix_terminal_edge,false,false
F0030,roles=03_08 14_08 :: tuples=tuple_edge_2039 tuple_edge_766,3,03_08 14_08,tuple_edge_2039 tuple_edge_766,03 08 14,03 14,B C D,03 08 14,true,true,true,3,4,B C,03 08,,true,B C,03 08,B C,03 08,C D,08 14,03_08,true,true,true,false,missing_prefix_terminal_edge,false,false
F0031,roles=03_08 :: tuples=tuple_edge_766,3,03_08,tuple_edge_766,03 08,03 08,B C,03 08,true,true,true,3,1,,,B | C,false,,,B C,03 08,B C,03 08,,false,false,false,false,not_exact_one_missing,false,false
F0032,roles=04_05 09_04 10_05 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_920,3,04_05 09_04 10_05,tuple_edge_1041 tuple_edge_1202 tuple_edge_920,04 05 09 10,09 10,A B C D,09 04 05 10,true,true,true,3,10,A B | A B C | A C | B C | B C D | B D | C D,04 09 | 04 05 09 | 05 09 | 04 05 | 04 05 10 | 04 10 | 05 10,,false,,,A B,04 09,C D,05 10,,false,false,false,false,not_exact_one_missing,false,false
F0033,roles=04_05 09_04 :: tuples=tuple_edge_1041 tuple_edge_920,3,04_05 09_04,tuple_edge_1041 tuple_edge_920,04 05 09,05 09,A B C,09 04 05,true,true,true,3,4,B C,04 05,,true,B C,04 05,A B,04 09,B C,04 05,04_05,true,true,false,true,missing_suffix_terminal_edge,false,false
F0034,roles=04_05 10_05 :: tuples=tuple_edge_1041 tuple_edge_1202,3,04_05 10_05,tuple_edge_1041 tuple_edge_1202,04 05 10,04 10,B C D,04 05 10,true,true,true,3,4,B C,04 05,,true,B C,04 05,B C,04 05,C D,05 10,04_05,true,true,true,false,missing_prefix_terminal_edge,false,false
