carrier,is_target_seam,left_slot_eval_only,right_slot_eval_only,global_row_count,slot_presence_count,dominant_value_pair,selected_by_global_ge_180,selected_by_slot_presence_ge_3,is_global_min_row_count,is_global_max_row_count,is_min_slot_presence,is_max_slot_presence,rank_pair_local_endpoints,weak_at_endpoint_count,top3_at_endpoint_count,endpoint_strength_profile_pair,endpoint_sum_pair,endpoint_min_pair,endpoint_max_pair,endpoint_third_pair,endpoint_fourth_pair,endpoint_gap_pair,endpoint_unique_count_pair,candidate_feature_family,promotion_status
slot_pair_00_01_boundary_carrier,false,00,01,251,7,8:1,true,true,false,false,false,true,4:4,2,0,331-327-309-251 || 336-302-296-251,1185:1218,251:251,331:336,296:309,251:251,45:58,4:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_00_04_boundary_carrier,false,00,04,309,6,6:1,true,true,false,false,false,false,3:4,1,1,331-327-309-251 || 343-330-330-309,1218:1312,251:309,331:343,309:330,251:309,21:58,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_00_05_boundary_carrier,false,00,05,327,7,6:1,true,true,false,false,false,true,2:2,0,2,330-327-256-196 || 331-327-309-251,1109:1218,196:251,330:331,256:309,196:251,58:60,4:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_00_06_boundary_carrier,false,00,06,331,7,6:1,true,true,false,false,false,true,1:1,0,2,331-302-254-194 || 331-327-309-251,1081:1218,194:251,331:331,254:309,194:251,58:60,4:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_01_02_boundary_carrier,false,01,02,336,7,9:1,true,true,false,false,false,true,1:4,1,1,336-302-296-251 || 384-384-384-336,1185:1488,251:336,336:384,296:384,251:336,45:48,2:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_01_06_boundary_carrier,false,01,06,302,7,6:1,true,true,false,false,false,true,2:2,0,2,331-302-254-194 || 336-302-296-251,1081:1185,194:251,331:336,254:296,194:251,45:60,4:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_01_07_boundary_carrier,false,01,07,296,7,6:1,true,true,false,false,false,true,2:3,0,2,336-302-296-251 || 384-296-242-242,1164:1185,242:251,336:384,242:296,242:251,0:45,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_02_03_boundary_carrier,false,02,03,384,7,6:1,true,true,false,true,false,true,1:1,0,2,384-360-360-343 || 384-384-384-336,1447:1488,336:343,384:384,360:384,336:343,17:48,2:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_02_07_boundary_carrier,false,02,07,384,7,6:1,true,true,false,true,false,true,1:2,0,2,384-296-242-242 || 384-384-384-336,1164:1488,242:336,384:384,242:384,242:336,0:48,2:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_02_08_boundary_carrier,false,02,08,384,7,6:1,true,true,false,true,false,true,1:3,0,2,384-360-180-180 || 384-384-384-336,1104:1488,180:336,384:384,180:384,180:336,0:48,2:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_03_04_boundary_carrier,false,03,04,343,6,8:1,true,true,false,false,false,false,1:4,1,1,343-330-330-309 || 384-360-360-343,1312:1447,309:343,343:384,330:360,309:343,17:21,3:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_03_08_boundary_carrier,false,03,08,360,6,6:1,true,true,false,false,false,false,2:2,0,2,384-360-180-180 || 384-360-360-343,1104:1447,180:343,384:384,180:360,180:343,0:17,3:3,pre_role_profile_only,feature_profile_not_source_law
slot_pair_03_09_boundary_carrier,false,03,09,360,6,7:1,true,true,false,false,false,false,1:3,0,2,360-330-240-180 || 384-360-360-343,1110:1447,180:343,360:384,240:360,180:343,17:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_04_05_boundary_carrier,false,04,05,330,6,6:1,true,true,false,false,false,false,1:2,0,2,330-327-256-196 || 343-330-330-309,1109:1312,196:309,330:343,256:330,196:309,21:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_04_09_boundary_carrier,false,04,09,330,6,7:1,true,true,false,false,false,false,2:3,0,2,343-330-330-309 || 360-330-240-180,1110:1312,180:309,343:360,240:330,180:309,21:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_05_10_boundary_carrier,false,05,10,256,5,12:3,true,true,false,false,false,false,1:3,0,2,256-242-240-180 || 330-327-256-196,918:1109,180:196,256:330,240:256,180:196,60:60,4:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_05_14_boundary_carrier,false,05,14,196,4,7:1,true,true,false,false,false,false,1:4,1,1,196-180-180-120 || 330-327-256-196,676:1109,120:196,196:330,180:256,120:196,60:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_06_12_boundary_carrier,false,06,12,194,5,10:2,true,true,false,false,false,false,2:4,1,1,240-194-180-180 || 331-302-254-194,794:1081,180:194,240:331,180:254,180:194,0:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_06_13_boundary_carrier,false,06,13,254,6,6:1,true,true,false,false,false,false,1:3,0,2,254-180-180-120 || 331-302-254-194,734:1081,120:194,254:331,180:254,120:194,60:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_07_10_boundary_carrier,false,07,10,242,5,12:2,true,true,false,false,false,false,2:3,0,2,256-242-240-180 || 384-296-242-242,918:1164,180:242,256:384,240:242,180:242,0:60,3:4,pre_role_profile_only,feature_profile_not_source_law
slot_pair_07_11_boundary_carrier,false,07,11,242,5,7:1,true,true,false,false,false,false,1:4,1,1,242-240-180-180 || 384-296-242-242,842:1164,180:242,242:384,180:242,180:242,0:0,3:3,pre_role_profile_only,feature_profile_not_source_law
