selector_fields,selector_values,selector_depth,selected_count,true_positive_count,false_positive_count,false_negative_count,true_negative_count,exact_for_044_surface,candidate_status,promoted_to_source_law,promoted_to_admission
edge_count + edge_hit_count,30 | 18,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
edge_count + parsed:first_token_left,30 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
edge_count + parsed:second_token,30 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
edge_count + slot,30 | 14,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
edge_hit_count + max_edge_overlap,18 | 4,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
edge_hit_count + max_vertex_overlap,18 | 10,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
edge_hit_count + parsed:fifth_token,18 | 30,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
edge_hit_count + parsed:first_token_left,18 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
edge_hit_count + parsed:fourth_token,18 | 29,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
edge_hit_count + parsed:second_token,18 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
edge_hit_count + slot,18 | 14,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
edge_hit_count + vertex_count,18 | 29,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
max_edge_overlap + parsed:first_token_left,4 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
max_edge_overlap + parsed:second_token,4 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
max_edge_overlap + slot,4 | 14,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
max_vertex_overlap + parsed:first_token_left,10 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
max_vertex_overlap + parsed:fourth_token,10 | 29,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
max_vertex_overlap + parsed:second_token,10 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
max_vertex_overlap + slot,10 | 14,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
max_vertex_overlap + vertex_count,10 | 29,2_field_combo,60,60,0,0,840,true,exact_source_field_selector_not_law,false,false
parsed:fifth_token + parsed:first_token_left,30 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
parsed:fifth_token + parsed:second_token,30 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
parsed:fifth_token + slot,30 | 14,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
parsed:first_token_left + parsed:fourth_token,14 | 29,2_field_combo,60,60,0,0,840,true,exact_parsed_source_field_selector_not_law,false,false
