field_name,target_present_count,outside_present_count,target_unique_values,outside_unique_values,target_top_values,outside_top_values,quarantine_status,promotion_status
edge_count,60,840,1,1,30:60,30:840,not_quarantined,profile_only_not_rule
edge_hit_count,60,840,1,11,18:60,9:282 | 16:184 | 12:165 | 13:115 | 5:62 | 7:11 | 6:11 | 10:4,not_quarantined,profile_only_not_rule
local,60,840,60,60,0:1 | 1:1 | 2:1 | 3:1 | 4:1 | 5:1 | 6:1 | 7:1,0:14 | 1:14 | 2:14 | 3:14 | 4:14 | 5:14 | 6:14 | 7:14,not_quarantined,profile_only_not_rule
max_edge_overlap,60,840,1,10,4:60,7:278 | 10:250 | 4:185 | 14:41 | 12:26 | 11:21 | 13:17 | 9:16,not_quarantined,profile_only_not_rule
max_vertex_overlap,60,840,1,9,10:60,12:189 | 17:126 | 15:123 | 14:104 | 16:95 | 10:70 | 13:52 | 11:50,not_quarantined,profile_only_not_rule
parsed:fifth_token,60,840,1,1,30:60,30:840,not_quarantined,profile_only_not_rule
parsed:first_token,60,840,60,840,14:0:1 | 14:1:1 | 14:2:1 | 14:3:1 | 14:4:1 | 14:5:1 | 14:6:1 | 14:7:1,0:0:1 | 0:1:1 | 0:2:1 | 0:3:1 | 0:4:1 | 0:5:1 | 0:6:1 | 0:7:1,not_quarantined,profile_only_not_rule
parsed:first_token_left,60,840,1,14,14:60,0:60 | 1:60 | 2:60 | 3:60 | 4:60 | 5:60 | 6:60 | 7:60,not_quarantined,profile_only_not_rule
parsed:first_token_right,60,840,60,60,0:1 | 1:1 | 2:1 | 3:1 | 4:1 | 5:1 | 6:1 | 7:1,0:14 | 1:14 | 2:14 | 3:14 | 4:14 | 5:14 | 6:14 | 7:14,not_quarantined,profile_only_not_rule
parsed:fourth_token,60,840,1,7,29:60,29:289 | 25:144 | 27:141 | 30:124 | 28:96 | 26:39 | 31:7,not_quarantined,profile_only_not_rule
parsed:second_token,60,840,1,14,14:60,0:60 | 1:60 | 2:60 | 3:60 | 4:60 | 5:60 | 6:60 | 7:60,not_quarantined,profile_only_not_rule
parsed:third_token,60,840,60,60,0:1 | 1:1 | 2:1 | 3:1 | 4:1 | 5:1 | 6:1 | 7:1,0:14 | 1:14 | 2:14 | 3:14 | 4:14 | 5:14 | 6:14 | 7:14,not_quarantined,profile_only_not_rule
root,60,840,60,840,14:0:1 | 14:1:1 | 14:2:1 | 14:3:1 | 14:4:1 | 14:5:1 | 14:6:1 | 14:7:1,0:0:1 | 0:1:1 | 0:2:1 | 0:3:1 | 0:4:1 | 0:5:1 | 0:6:1 | 0:7:1,not_quarantined,profile_only_not_rule
slot,60,840,1,14,14:60,0:60 | 1:60 | 2:60 | 3:60 | 4:60 | 5:60 | 6:60 | 7:60,not_quarantined,profile_only_not_rule
vertex_count,60,840,1,7,29:60,29:289 | 25:144 | 27:141 | 30:124 | 28:96 | 26:39 | 31:7,not_quarantined,profile_only_not_rule
