row_index,slot,local,root,edge_count,vertex_count,edge_hit_count,max_edge_overlap,max_vertex_overlap,entry_count,internal_entry_count,boundary_entry_count,max_pair,all_target_internal_5_4,all_cluster_carriers_present,slot_05_internal_carrier,slot_08_internal_carrier,slot_10_internal_carrier,slot_14_internal_carrier,slot_pair_04_05_boundary_carrier,slot_pair_05_10_boundary_carrier,slot_pair_05_14_boundary_carrier,is_target_surface,hit_signature_prefix_120,promoted_to_source_law,promoted_to_admission
841,14,0,14:0,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
842,14,1,14:1,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
843,14,2,14:2,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
844,14,3,14:3,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
845,14,4,14:4,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
846,14,5,14:5,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
847,14,6,14:6,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
848,14,7,14:7,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
849,14,8,14:8,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
850,14,9,14:9,30,29,18,4,10,18,4,14,10:4,true,true,5:4,5:4,5:4,5:4,6:1,10:1,10:1,true,slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carrier:5:4;slot_14_internal_carrier:5:4;slot,false,false
