slot,row_count,target_surface_count,local_count,edge_hit_count_profile,max_edge_overlap_profile,max_vertex_overlap_profile,vertex_count_profile,edge_count_profile,max_pair_profile,all_target_internal_5_4_count,all_cluster_carriers_present_count,boundary_04_05_present_count,boundary_05_10_present_count,boundary_05_14_present_count,unique_hit_signature_prefix_120_count,slot14_relation,promotion_status
0,60,0,60,13:18 | 7:11 | 9:11 | 5:8 | 10:3 | 6:3 | 12:2 | 16:2 | 17:1 | 11:1,12:18 | 7:16 | 10:6 | 9:5 | 8:4 | 11:4 | 13:3 | 5:2 | 4:1 | 14:1,16:15 | 15:14 | 14:12 | 17:9 | 13:7 | 12:3,29:20 | 30:16 | 28:12 | 27:9 | 31:3,30:60,16:12:13 | 14:7:10 | 13:7:6 | 15:12:5 | 15:11:4 | 17:9:3 | 17:13:3 | 15:8:2 | 17:10:2 | 15:10:2 | 12:5:2 | 16:10:2,0,0,30,16,16,23,outside_chamber,profile_only_not_rule
1,60,0,60,9:24 | 13:18 | 6:8 | 5:3 | 16:2 | 14:2 | 17:2 | 10:1,7:20 | 10:19 | 12:8 | 4:4 | 11:4 | 9:2 | 13:2 | 14:1,16:16 | 13:13 | 14:9 | 17:9 | 15:5 | 12:4 | 18:4,28:20 | 30:16 | 29:13 | 27:6 | 31:4 | 26:1,30:60,13:7:13 | 16:10:9 | 14:7:7 | 12:4:4 | 17:10:4 | 16:12:4 | 15:12:4 | 18:10:3 | 16:9:2 | 17:11:2 | 14:10:2 | 17:13:2,0,0,0,0,0,24,outside_chamber,profile_only_not_rule
2,60,0,60,5:40 | 9:20,14:38 | 10:14 | 11:6 | 13:2,17:41 | 16:10 | 15:4 | 14:4 | 18:1,29:41 | 28:10 | 27:4 | 26:4 | 30:1,30:60,17:14:38 | 16:10:6 | 15:10:4 | 14:10:4 | 16:11:4 | 17:13:2 | 18:11:1 | 17:11:1,0,0,0,0,0,10,outside_chamber,profile_only_not_rule
3,60,0,60,9:60,10:60,17:20 | 16:13 | 18:12 | 15:10 | 14:5,29:20 | 28:13 | 30:12 | 27:10 | 26:5,30:60,17:10:20 | 16:10:13 | 18:10:12 | 15:10:10 | 14:10:5,0,0,0,0,0,7,outside_chamber,profile_only_not_rule
4,60,0,60,9:41 | 13:19,10:39 | 7:19 | 9:2,14:32 | 13:16 | 15:10 | 12:2,25:24 | 26:19 | 27:16 | 28:1,30:60,14:10:29 | 13:7:16 | 15:10:10 | 14:9:2 | 12:7:2 | 14:7:1,0,0,60,0,0,8,outside_chamber,profile_only_not_rule
5,60,0,60,9:37 | 12:23,10:35 | 7:23 | 9:2,15:19 | 16:12 | 14:12 | 17:10 | 18:5 | 13:2,29:20 | 30:20 | 28:10 | 27:6 | 26:4,30:60,15:7:13 | 16:10:12 | 17:10:8 | 14:7:8 | 15:10:6 | 18:10:5 | 14:10:4 | 17:9:2 | 13:7:2,0,0,60,60,60,14,outside_chamber,profile_only_not_rule
6,60,0,60,9:49 | 5:11,10:42 | 13:10 | 11:7 | 14:1,17:22 | 16:17 | 15:13 | 14:5 | 18:3,29:26 | 28:13 | 27:10 | 30:6 | 26:5,30:60,16:10:16 | 15:10:13 | 17:13:10 | 17:10:6 | 17:11:5 | 14:10:5 | 18:10:2 | 16:11:1 | 17:14:1 | 18:11:1,0,0,0,0,0,22,outside_chamber,profile_only_not_rule
7,60,0,60,9:40 | 12:20,10:35 | 7:20 | 9:5,17:15 | 16:12 | 15:12 | 14:9 | 18:6 | 13:6,29:25 | 30:17 | 27:12 | 28:5 | 26:1,30:60,16:10:12 | 17:10:10 | 14:7:8 | 18:10:6 | 15:7:6 | 13:7:6 | 15:10:6 | 17:9:5 | 14:10:1,0,0,0,0,0,12,outside_chamber,profile_only_not_rule
8,60,0,60,12:60,7:60,15:36 | 14:16 | 13:8,30:36 | 29:14 | 27:8 | 28:2,30:60,15:7:36 | 14:7:16 | 13:7:8,0,0,0,0,0,4,outside_chamber,profile_only_not_rule
9,60,0,60,12:60,7:60,12:60,25:60,30:60,12:7:60,0,0,60,0,0,1,outside_chamber,profile_only_not_rule
10,60,0,60,13:60,7:60,12:60,25:60,30:60,12:7:60,0,0,60,60,60,1,outside_chamber,profile_only_not_rule
11,60,0,60,16:60,4:60,11:50 | 10:10,29:50 | 28:10,30:60,11:4:50 | 10:4:10,0,0,0,60,0,2,outside_chamber,profile_only_not_rule
12,60,0,60,16:60,4:60,12:60,29:60,30:60,12:4:60,0,0,0,0,0,1,outside_chamber,profile_only_not_rule
13,60,0,60,16:60,4:60,10:60,27:60,30:60,10:4:60,0,0,0,0,0,1,outside_chamber,profile_only_not_rule
14,60,60,60,18:60,4:60,10:60,29:60,30:60,10:4:60,60,60,60,60,60,1,target_chamber,profile_only_not_rule
