source_field_term,term_kind,term_name,full_cluster_count,full_cluster_total,full_cluster_rate,outside_cluster_count,outside_cluster_total,outside_cluster_rate,all_cluster_source_count,candidate_status,promoted_to_source_law,promoted_to_admission
source_field_value:hit_signature=slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carri,source_field_value,hit_signature=slot_05_internal_carrier:5:4;slot_08_internal_carrier:5:4;slot_10_internal_carri,60,60,1.000000,0,14532,0.000000,60,exact_full_cluster_source_field_candidate_not_law,false,false
handle:slot_internal_carriers,handle,slot_internal_carriers,60,60,1.000000,12971,14532,0.892582,13031,common_full_cluster_source_field_not_selective,false,false
handle:slot_pair_boundary_carriers,handle,slot_pair_boundary_carriers,60,60,1.000000,1067,14532,0.073424,1127,common_full_cluster_source_field_not_selective,false,false
matched_field:hit_signature,matched_field,hit_signature,60,60,1.000000,450,14532,0.030966,510,common_full_cluster_source_field_not_selective,false,false
row_kind:csv_row,row_kind,csv_row,60,60,1.000000,14525,14532,0.999518,14585,common_full_cluster_source_field_not_selective,false,false
source_field_name:hit_signature,source_field_name,hit_signature,60,60,1.000000,450,14532,0.030966,510,common_full_cluster_source_field_not_selective,false,false
source_field_name:max_edge_overlap,source_field_name,max_edge_overlap,60,60,1.000000,13487,14532,0.928090,13547,common_full_cluster_source_field_not_selective,false,false
source_field_name:max_vertex_overlap,source_field_name,max_vertex_overlap,60,60,1.000000,450,14532,0.030966,510,common_full_cluster_source_field_not_selective,false,false
source_field_value:family_signature=slot_internal_carriers:5:4;slot_internal_carriers:5:4;slot_internal_carriers:5:4,source_field_value,family_signature=slot_internal_carriers:5:4;slot_internal_carriers:5:4;slot_internal_carriers:5:4,60,60,1.000000,70,14532,0.004817,130,common_full_cluster_source_field_not_selective,false,false
source_field_value:max_edge_overlap=4,source_field_value,max_edge_overlap=4,60,60,1.000000,4005,14532,0.275599,4065,common_full_cluster_source_field_not_selective,false,false
source_field_value:max_vertex_overlap=10,source_field_value,max_vertex_overlap=10,60,60,1.000000,70,14532,0.004817,130,common_full_cluster_source_field_not_selective,false,false
source_file:g900_root_smoke_signature_census_001_rows.v1.csv,source_file,g900_root_smoke_signature_census_001_rows.v1.csv,60,60,1.000000,450,14532,0.030966,510,common_full_cluster_source_field_not_selective,false,false
field:edge_overlap:0,field,edge_overlap:0,0,60,0.000000,72,14532,0.004955,72,absent,false,false
field:endpoint_slot:04,field,endpoint_slot:04,0,60,0.000000,2,14532,0.000138,2,absent,false,false
field:endpoint_slot:05,field,endpoint_slot:05,0,60,0.000000,8,14532,0.000551,8,absent,false,false
field:endpoint_slot:08,field,endpoint_slot:08,0,60,0.000000,8,14532,0.000551,8,absent,false,false
field:endpoint_slot:10,field,endpoint_slot:10,0,60,0.000000,8,14532,0.000551,8,absent,false,false
field:endpoint_slot:14,field,endpoint_slot:14,0,60,0.000000,8,14532,0.000551,8,absent,false,false
field:root:0_0_2,field,root:0_0_2,0,60,0.000000,22,14532,0.001514,22,absent,false,false
field:target_kind:slot_internal_carrier,field,target_kind:slot_internal_carrier,0,60,0.000000,8,14532,0.000551,8,absent,false,false
field:target_kind:slot_pair_boundary_carrier,field,target_kind:slot_pair_boundary_carrier,0,60,0.000000,6,14532,0.000413,6,absent,false,false
field:target_set:slot_internal_carriers,field,target_set:slot_internal_carriers,0,60,0.000000,8,14532,0.000551,8,absent,false,false
field:target_set:slot_pair_boundary_carriers,field,target_set:slot_pair_boundary_carriers,0,60,0.000000,6,14532,0.000413,6,absent,false,false
field:vertex_overlap:4,field,vertex_overlap:4,0,60,0.000000,6,14532,0.000413,6,absent,false,false
field:vertex_overlap:60,field,vertex_overlap:60,0,60,0.000000,64,14532,0.004404,64,absent,false,false
field:vertex_overlap:9,field,vertex_overlap:9,0,60,0.000000,2,14532,0.000138,2,absent,false,false
handle:boundary_carrier_names_endpoint_slot,handle,boundary_carrier_names_endpoint_slot,0,60,0.000000,17,14532,0.001170,17,absent,false,false
