carrier,left_slot,right_slot,value_pair,anchor_hit_count,incidence_class,row_count,rate,promotion_status
slot_pair_00_05_boundary_carrier,00,05,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_02_08_boundary_carrier,02,08,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_03_08_boundary_carrier,03,08,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_04_05_boundary_carrier,04,05,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_07_10_boundary_carrier,07,10,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_08_13_boundary_carrier,08,13,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_10_11_boundary_carrier,10,11,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_13_14_boundary_carrier,13,14,6:1,1,anchor_spoke,60,1.000000,boundary_part_profile_not_law
slot_pair_05_10_boundary_carrier,05,10,10:1,2,inner_tie,60,1.000000,boundary_part_profile_not_law
slot_pair_05_14_boundary_carrier,05,14,10:1,2,inner_tie,60,1.000000,boundary_part_profile_not_law
slot_pair_08_14_boundary_carrier,08,14,10:1,2,inner_tie,60,1.000000,boundary_part_profile_not_law
slot_pair_10_14_boundary_carrier,10,14,10:1,2,inner_tie,60,1.000000,boundary_part_profile_not_law
slot_pair_06_13_boundary_carrier,06,13,2:1,0,outer_return,60,1.000000,boundary_part_profile_not_law
slot_pair_12_13_boundary_carrier,12,13,2:1,0,outer_return,60,1.000000,boundary_part_profile_not_law
