slot,row_count,target_surface_count,boundary_entry_count_profile,inner_tie_count_profile,anchor_spoke_count_profile,outer_return_count_profile,boundary_value_profile,boundary_incidence_profile,boundary_class_value_profile,slot_relation,promotion_status
0,60,0,7:13 | 5:11 | 10:11 | 4:11 | 9:9 | 12:3 | 8:2,1:26 | 4:9 | 3:8 | 2:8 | 0:8 | 6:1,4:21 | 6:20 | 8:9 | 5:7 | 3:3,0:55 | 1:5,6:1x1;15:4x3;16:4x1:9 | 8:1x4;9:2x1;10:2x1;14:2x3:7 | 6:1x2;9:1x1;13:3x2;14:3x1;15:3x1:4 | 15:4x2;16:5x2:4 | 6:1x2;7:1x2;8:1x1;9:2x1;10:2x2;12:2x1;13:2x1:3 | 15:4x4:3 | 16:4x3;17:5x1:3 | 5:1x1;8:1x4;9:2x1;10:2x1;14:2x3:3 | 8:1x4;10:2x2;14:2x1;15:2x2:2 | 9:1x2;12:2x1;12:3x2;13:3x1;17:3x1:2 | 6:1x2;7:1x2;8:1x1;9:1x1;10:2x2;12:2x1;13:3x1:2 | 6:1x2;7:1x5;8:1x1;11:1x1;12:1x2;12:2x1:2,inner_tie:1;anchor_spoke:4;outer_return:0:11 | inner_tie:1;anchor_spoke:6;outer_return:0:11 | inner_tie:0;anchor_spoke:4;outer_return:0:8 | inner_tie:4;anchor_spoke:5;outer_return:0:7 | inner_tie:2;anchor_spoke:8;outer_return:0:7 | inner_tie:3;anchor_spoke:6;outer_return:1:4 | inner_tie:1;anchor_spoke:3;outer_return:0:3 | inner_tie:3;anchor_spoke:6;outer_return:0:2 | inner_tie:4;anchor_spoke:8;outer_return:0:2 | inner_tie:3;anchor_spoke:4;outer_return:0:2 | inner_tie:6;anchor_spoke:6;outer_return:0:1 | inner_tie:1;anchor_spoke:6;outer_return:1:1,anchor_spoke=15:4x3;anchor_spoke=6:1x1;inner_tie=16:4x1:9 | anchor_spoke=8:1x4;anchor_spoke=9:2x1;inner_tie=10:2x1;inner_tie=14:2x3:7 | anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=15:3x1:4 | anchor_spoke=15:4x2;anchor_spoke=16:5x2:4 | anchor_spoke=10:2x2;anchor_spoke=6:1x2;anchor_spoke=7:1x2;anchor_spoke=8:1x1;anchor_spoke=9:2x1;inner_tie=12:2x1;inner_tie=13:2x1:3 | anchor_spoke=15:4x3;inner_tie=15:4x1:3 | anchor_spoke=16:4x3;anchor_spoke=17:5x1:3 | anchor_spoke=10:2x1;anchor_spoke=8:1x4;anchor_spoke=9:2x1;inner_tie=14:2x3;outer_return=5:1x1:3 | anchor_spoke=10:2x2;anchor_spoke=8:1x4;inner_tie=14:2x1;inner_tie=15:2x2:2 | anchor_spoke=12:2x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=9:1x2;inner_tie=17:3x1:2 | anchor_spoke=10:2x2;anchor_spoke=6:1x2;anchor_spoke=7:1x2;anchor_spoke=8:1x1;anchor_spoke=9:1x1;inner_tie=12:2x1;inner_tie=13:3x1:2 | anchor_spoke=6:1x2;anchor_spoke=7:1x5;anchor_spoke=8:1x1;inner_tie=11:1x1;inner_tie=12:1x2;inner_tie=12:2x1:2,outside_chamber,profile_only_not_law
1,60,0,7:25 | 10:20 | 4:11 | 12:3 | 13:1,1:32 | 2:19 | 4:5 | 0:3 | 6:1,6:27 | 8:21 | 3:8 | 4:3 | 5:1,0:59 | 1:1,6:1x2;7:1x2;8:1x1;9:2x1;10:2x2;12:2x1;13:2x1:11 | 7:1x2;8:1x2;9:1x1;10:2x3;13:2x1;14:2x1:7 | 8:1x2;11:1x1;12:3x1;13:3x1;13:4x1;16:3x1:4 | 15:4x3;16:4x1:4 | 15:4x4:4 | 9:1x2;12:1x1;12:3x2;13:3x1;17:4x1:3 | 9:1x2;12:1x1;13:3x2;14:3x1;18:4x1:3 | 7:1x7;8:2x1;11:1x3;12:2x1:2 | 8:1x2;12:1x1;12:3x1;13:4x1;14:4x1;16:3x1:2 | 7:1x4;9:1x1;10:1x1;10:2x1;11:2x1;13:2x2:2 | 8:1x2;11:1x1;13:3x2;14:3x1;17:3x1:2 | 8:1x2;11:1x1;12:3x2;13:3x1;16:4x1:2,inner_tie:1;anchor_spoke:6;outer_return:0:24 | inner_tie:2;anchor_spoke:8;outer_return:0:18 | inner_tie:1;anchor_spoke:3;outer_return:0:8 | inner_tie:0;anchor_spoke:4;outer_return:0:3 | inner_tie:4;anchor_spoke:8;outer_return:0:2 | inner_tie:4;anchor_spoke:6;outer_return:0:2 | inner_tie:2;anchor_spoke:5;outer_return:0:1 | inner_tie:4;anchor_spoke:8;outer_return:1:1 | inner_tie:6;anchor_spoke:6;outer_return:0:1,anchor_spoke=10:2x2;anchor_spoke=6:1x2;anchor_spoke=7:1x2;anchor_spoke=8:1x1;anchor_spoke=9:2x1;inner_tie=12:2x1;inner_tie=13:2x1:11 | anchor_spoke=10:2x3;anchor_spoke=7:1x2;anchor_spoke=8:1x2;anchor_spoke=9:1x1;inner_tie=13:2x1;inner_tie=14:2x1:7 | anchor_spoke=11:1x1;anchor_spoke=12:3x1;anchor_spoke=13:3x1;anchor_spoke=13:4x1;anchor_spoke=8:1x2;inner_tie=16:3x1:4 | anchor_spoke=15:4x3;inner_tie=16:4x1:4 | anchor_spoke=15:4x3;inner_tie=15:4x1:4 | anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=9:1x2;inner_tie=17:4x1:3 | anchor_spoke=12:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=9:1x2;inner_tie=18:4x1:3 | anchor_spoke=7:1x7;anchor_spoke=8:2x1;inner_tie=11:1x3;inner_tie=12:2x1:2 | anchor_spoke=12:1x1;anchor_spoke=12:3x1;anchor_spoke=13:4x1;anchor_spoke=14:4x1;anchor_spoke=8:1x2;inner_tie=16:3x1:2 | anchor_spoke=10:2x1;anchor_spoke=7:1x4;anchor_spoke=9:1x1;inner_tie=10:1x1;inner_tie=11:2x1;inner_tie=13:2x2:2 | anchor_spoke=11:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=8:1x2;inner_tie=17:3x1:2 | anchor_spoke=11:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=8:1x2;inner_tie=16:4x1:2,outside_chamber,profile_only_not_law
2,60,0,4:40 | 7:20,0:40 | 1:20,4:40 | 6:20,0:60,17:4x4:38 | 8:1x2;11:1x1;12:3x2;13:3x1;16:4x1:4 | 6:1x2;9:1x1;12:3x2;13:3x1;14:4x1:4 | 7:1x2;10:1x1;13:3x2;14:3x1;16:3x1:4 | 7:1x2;10:1x1;12:3x2;13:3x1;15:4x1:2 | 6:1x2;9:1x1;13:3x2;14:3x1;15:4x1:2 | 7:1x2;10:1x1;13:3x2;14:3x1;16:4x1:2 | 16:4x3;17:5x1:2 | 8:1x2;11:1x1;14:3x2;15:3x1;18:3x1:1 | 8:1x2;11:1x1;13:3x2;14:3x1;17:3x1:1,inner_tie:0;anchor_spoke:4;outer_return:0:40 | inner_tie:1;anchor_spoke:6;outer_return:0:20,anchor_spoke=17:4x4:38 | anchor_spoke=11:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=8:1x2;inner_tie=16:4x1:4 | anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=14:4x1:4 | anchor_spoke=10:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=7:1x2;inner_tie=16:3x1:4 | anchor_spoke=10:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=7:1x2;inner_tie=15:4x1:2 | anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=15:4x1:2 | anchor_spoke=10:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=7:1x2;inner_tie=16:4x1:2 | anchor_spoke=16:4x3;anchor_spoke=17:5x1:2 | anchor_spoke=11:1x1;anchor_spoke=14:3x2;anchor_spoke=15:3x1;anchor_spoke=8:1x2;inner_tie=18:3x1:1 | anchor_spoke=11:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=8:1x2;inner_tie=17:3x1:1,outside_chamber,profile_only_not_law
3,60,0,7:60,1:60,6:60,0:60,9:1x2;12:1x1;12:3x2;13:3x1;17:4x1:20 | 9:1x2;12:1x1;13:3x2;14:3x1;18:4x1:12 | 8:1x2;11:1x1;12:3x2;13:3x1;16:4x1:8 | 7:1x2;10:1x1;12:3x2;13:3x1;15:4x1:7 | 6:1x2;9:1x1;12:3x2;13:3x1;14:4x1:5 | 7:1x2;10:1x1;13:3x2;14:3x1;16:4x1:5 | 6:1x2;9:1x1;13:3x2;14:3x1;15:4x1:3,inner_tie:1;anchor_spoke:6;outer_return:0:60,anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=9:1x2;inner_tie=17:4x1:20 | anchor_spoke=12:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=9:1x2;inner_tie=18:4x1:12 | anchor_spoke=11:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=8:1x2;inner_tie=16:4x1:8 | anchor_spoke=10:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=7:1x2;inner_tie=15:4x1:7 | anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=14:4x1:5 | anchor_spoke=10:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=7:1x2;inner_tie=16:4x1:5 | anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=15:4x1:3,outside_chamber,profile_only_not_law
4,60,0,7:41 | 10:19,1:41 | 2:19,6:41 | 8:19,0:60,6:1x2;8:1x1;12:3x3;14:4x1:24 | 6:1x2;8:1x1;13:3x3;15:4x1:10 | 6:1x2;7:1x3;9:1x1;9:2x1;10:2x1;12:3x1;13:2x1:9 | 6:1x2;7:1x3;9:1x1;9:2x1;10:2x1;12:2x1;13:3x1:7 | 6:1x2;8:1x1;12:3x2;13:4x1;14:3x1:5 | 6:1x2;8:1x1;12:3x2;13:4x1;14:4x1:2 | 6:1x4;7:1x1;8:1x1;9:2x1;10:2x1;12:2x1;12:3x1:2 | 6:1x2;7:1x1;8:1x2;9:2x1;10:1x1;10:2x1;12:2x1;14:3x1:1,inner_tie:1;anchor_spoke:6;outer_return:0:41 | inner_tie:2;anchor_spoke:8;outer_return:0:19,anchor_spoke=12:3x3;anchor_spoke=6:1x2;anchor_spoke=8:1x1;inner_tie=14:4x1:24 | anchor_spoke=13:3x3;anchor_spoke=6:1x2;anchor_spoke=8:1x1;inner_tie=15:4x1:10 | anchor_spoke=10:2x1;anchor_spoke=6:1x2;anchor_spoke=7:1x3;anchor_spoke=9:1x1;anchor_spoke=9:2x1;inner_tie=12:3x1;inner_tie=13:2x1:9 | anchor_spoke=10:2x1;anchor_spoke=6:1x2;anchor_spoke=7:1x3;anchor_spoke=9:1x1;anchor_spoke=9:2x1;inner_tie=12:2x1;inner_tie=13:3x1:7 | anchor_spoke=12:3x2;anchor_spoke=13:4x1;anchor_spoke=6:1x2;anchor_spoke=8:1x1;inner_tie=14:3x1:5 | anchor_spoke=12:3x2;anchor_spoke=13:4x1;anchor_spoke=6:1x2;anchor_spoke=8:1x1;inner_tie=14:4x1:2 | anchor_spoke=10:2x1;anchor_spoke=6:1x4;anchor_spoke=7:1x1;anchor_spoke=8:1x1;anchor_spoke=9:2x1;inner_tie=12:2x1;inner_tie=12:3x1:2 | anchor_spoke=10:1x1;anchor_spoke=10:2x1;anchor_spoke=6:1x2;anchor_spoke=7:1x1;anchor_spoke=8:1x2;anchor_spoke=9:2x1;inner_tie=12:2x1;inner_tie=14:3x1:1,outside_chamber,profile_only_not_law
5,60,0,7:37 | 9:23,1:37 | 3:23,6:60,0:60,8:1x2;9:1x2;9:2x2;14:2x1;15:2x1;15:3x1:13 | 9:1x2;12:1x1;12:3x2;13:3x1;17:4x1:8 | 8:1x4;9:2x2;14:2x2;14:3x1:8 | 8:1x2;11:1x1;12:3x2;13:3x1;16:4x1:6 | 9:1x2;12:1x1;13:3x2;14:3x1;18:4x1:5 | 8:1x2;12:1x1;12:3x2;14:4x1;16:3x1:4 | 6:1x2;9:1x1;12:3x2;13:3x1;14:4x1:4 | 9:1x2;12:3x2;13:1x1;14:4x1;17:4x1:2 | 7:1x2;10:1x1;12:3x2;13:3x1;15:4x1:2 | 7:1x2;11:1x1;12:3x2;14:4x1;15:3x1:2 | 6:1x2;9:1x1;13:3x2;14:3x1;15:4x1:2 | 7:1x2;10:1x1;13:3x2;14:3x1;16:4x1:2,inner_tie:1;anchor_spoke:6;outer_return:0:37 | inner_tie:3;anchor_spoke:6;outer_return:0:23,anchor_spoke=8:1x2;anchor_spoke=9:1x2;anchor_spoke=9:2x2;inner_tie=14:2x1;inner_tie=15:2x1;inner_tie=15:3x1:13 | anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=9:1x2;inner_tie=17:4x1:8 | anchor_spoke=8:1x4;anchor_spoke=9:2x2;inner_tie=14:2x2;inner_tie=14:3x1:8 | anchor_spoke=11:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=8:1x2;inner_tie=16:4x1:6 | anchor_spoke=12:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=9:1x2;inner_tie=18:4x1:5 | anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=14:4x1;anchor_spoke=8:1x2;inner_tie=16:3x1:4 | anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=14:4x1:4 | anchor_spoke=12:3x2;anchor_spoke=13:1x1;anchor_spoke=14:4x1;anchor_spoke=9:1x2;inner_tie=17:4x1:2 | anchor_spoke=10:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=7:1x2;inner_tie=15:4x1:2 | anchor_spoke=11:1x1;anchor_spoke=12:3x2;anchor_spoke=14:4x1;anchor_spoke=7:1x2;inner_tie=15:3x1:2 | anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=15:4x1:2 | anchor_spoke=10:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=7:1x2;inner_tie=16:4x1:2,outside_chamber,profile_only_not_law
6,60,0,7:49 | 4:11,1:49 | 0:11,6:49 | 4:11,0:60,16:4x3;17:5x1:10 | 8:1x2;12:1x1;12:3x2;14:4x1;16:3x1:7 | 7:1x2;10:1x1;12:3x2;13:3x1;15:4x1:7 | 8:1x2;11:1x1;13:3x2;14:3x1;17:3x1:5 | 6:1x2;9:1x1;12:3x2;13:3x1;14:4x1:5 | 7:1x2;10:1x1;13:3x2;14:3x1;16:4x1:5 | 8:1x2;11:1x1;12:3x2;13:3x1;16:4x1:4 | 8:1x2;12:1x1;13:3x2;15:4x1;17:3x1:3 | 9:1x2;12:1x1;12:3x2;13:3x1;17:4x1:3 | 7:1x2;11:1x1;12:3x2;14:4x1;15:3x1:3 | 6:1x2;9:1x1;13:3x2;14:3x1;15:4x1:3 | 9:1x2;12:1x1;13:3x2;14:3x1;18:4x1:2,inner_tie:1;anchor_spoke:6;outer_return:0:49 | inner_tie:0;anchor_spoke:4;outer_return:0:11,anchor_spoke=16:4x3;anchor_spoke=17:5x1:10 | anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=14:4x1;anchor_spoke=8:1x2;inner_tie=16:3x1:7 | anchor_spoke=10:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=7:1x2;inner_tie=15:4x1:7 | anchor_spoke=11:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=8:1x2;inner_tie=17:3x1:5 | anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=14:4x1:5 | anchor_spoke=10:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=7:1x2;inner_tie=16:4x1:5 | anchor_spoke=11:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=8:1x2;inner_tie=16:4x1:4 | anchor_spoke=12:1x1;anchor_spoke=13:3x2;anchor_spoke=15:4x1;anchor_spoke=8:1x2;inner_tie=17:3x1:3 | anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=9:1x2;inner_tie=17:4x1:3 | anchor_spoke=11:1x1;anchor_spoke=12:3x2;anchor_spoke=14:4x1;anchor_spoke=7:1x2;inner_tie=15:3x1:3 | anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=15:4x1:3 | anchor_spoke=12:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=9:1x2;inner_tie=18:4x1:2,outside_chamber,profile_only_not_law
7,60,0,7:40 | 9:20,1:40 | 3:20,6:60,0:60,9:1x2;12:1x1;12:3x2;13:3x1;17:4x1:10 | 8:1x2;12:1x1;12:3x2;14:4x1;16:3x1:9 | 9:1x2;12:1x1;13:3x2;14:3x1;18:4x1:6 | 8:1x2;9:1x2;9:2x2;14:2x1;15:2x1;15:3x1:6 | 8:1x4;9:2x2;14:2x2;14:3x1:6 | 7:1x4;9:2x2;12:2x1;13:2x1;13:3x1:6 | 9:1x2;12:3x2;13:1x1;14:4x1;17:4x1:5 | 7:1x2;10:1x1;12:3x2;13:3x1;15:4x1:5 | 7:1x2;10:1x1;13:3x2;14:3x1;16:4x1:3 | 7:1x2;8:1x2;9:2x2;13:2x2;14:3x1:2 | 6:1x2;9:1x1;12:3x2;13:3x1;14:4x1:1 | 6:1x2;9:1x1;13:3x2;14:3x1;15:4x1:1,inner_tie:1;anchor_spoke:6;outer_return:0:40 | inner_tie:3;anchor_spoke:6;outer_return:0:20,anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=9:1x2;inner_tie=17:4x1:10 | anchor_spoke=12:1x1;anchor_spoke=12:3x2;anchor_spoke=14:4x1;anchor_spoke=8:1x2;inner_tie=16:3x1:9 | anchor_spoke=12:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=9:1x2;inner_tie=18:4x1:6 | anchor_spoke=8:1x2;anchor_spoke=9:1x2;anchor_spoke=9:2x2;inner_tie=14:2x1;inner_tie=15:2x1;inner_tie=15:3x1:6 | anchor_spoke=8:1x4;anchor_spoke=9:2x2;inner_tie=14:2x2;inner_tie=14:3x1:6 | anchor_spoke=7:1x4;anchor_spoke=9:2x2;inner_tie=12:2x1;inner_tie=13:2x1;inner_tie=13:3x1:6 | anchor_spoke=12:3x2;anchor_spoke=13:1x1;anchor_spoke=14:4x1;anchor_spoke=9:1x2;inner_tie=17:4x1:5 | anchor_spoke=10:1x1;anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=7:1x2;inner_tie=15:4x1:5 | anchor_spoke=10:1x1;anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=7:1x2;inner_tie=16:4x1:3 | anchor_spoke=7:1x2;anchor_spoke=8:1x2;anchor_spoke=9:2x2;inner_tie=13:2x2;inner_tie=14:3x1:2 | anchor_spoke=12:3x2;anchor_spoke=13:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=14:4x1:1 | anchor_spoke=13:3x2;anchor_spoke=14:3x1;anchor_spoke=6:1x2;anchor_spoke=9:1x1;inner_tie=15:4x1:1,outside_chamber,profile_only_not_law
8,60,0,9:60,3:60,6:60,0:60,8:1x2;9:1x2;9:2x2;14:2x1;15:2x1;15:3x1:36 | 8:1x4;9:2x2;14:2x2;14:3x1:14 | 7:1x4;9:2x2;12:2x1;13:2x1;13:3x1:8 | 7:1x2;8:1x2;9:2x2;13:2x2;14:3x1:2,inner_tie:3;anchor_spoke:6;outer_return:0:60,anchor_spoke=8:1x2;anchor_spoke=9:1x2;anchor_spoke=9:2x2;inner_tie=14:2x1;inner_tie=15:2x1;inner_tie=15:3x1:36 | anchor_spoke=8:1x4;anchor_spoke=9:2x2;inner_tie=14:2x2;inner_tie=14:3x1:14 | anchor_spoke=7:1x4;anchor_spoke=9:2x2;inner_tie=12:2x1;inner_tie=13:2x1;inner_tie=13:3x1:8 | anchor_spoke=7:1x2;anchor_spoke=8:1x2;anchor_spoke=9:2x2;inner_tie=13:2x2;inner_tie=14:3x1:2,outside_chamber,profile_only_not_law
9,60,0,9:60,3:60,6:60,0:60,6:1x4;9:2x2;10:1x1;12:3x2:60,inner_tie:3;anchor_spoke:6;outer_return:0:60,anchor_spoke=6:1x4;anchor_spoke=9:2x2;inner_tie=10:1x1;inner_tie=12:3x2:60,outside_chamber,profile_only_not_law
