carrier,left_slot,right_slot,is_target_carrier,target_value_pair,target_incidence_class,anchor_hit_count,anchor_relative_class,global_row_count,slot_presence_count,slot_presence_profile,dominant_value_pair,value_profile,target_surface_occurrence_count,slot14_occurrence_count,left_degree_in_target_graph,right_degree_in_target_graph,endpoint_degree_pair_in_target_graph,touches_return_hub,promotion_status
slot_pair_00_01_boundary_carrier,00,01,false,,,0,outer_or_other_candidate,251,7,0:60 | 1:60 | 6:49 | 5:23 | 2:20 | 7:20 | 4:19,8:1,8:1:42 | 7:1:35 | 15:4:28 | 11:1:15 | 12:1:15 | 10:2:14 | 10:1:14 | 9:1:9 | 14:2:8 | 16:4:8 | 16:3:8 | 6:1:8,0,0,1,0,1:0,false,profile_only_not_law
slot_pair_00_04_boundary_carrier,00,04,false,,,0,outer_or_other_candidate,309,6,0:60 | 4:60 | 5:60 | 9:60 | 1:40 | 6:29,6:1,6:1:65 | 8:1:34 | 12:3:28 | 13:3:24 | 14:2:19 | 12:1:19 | 7:1:18 | 9:1:17 | 15:2:15 | 13:2:14 | 16:4:10 | 11:1:9,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_00_05_boundary_carrier,00,05,true,6:1,anchor_spoke,1,anchor_spoke_candidate,327,7,0:60 | 5:60 | 10:60 | 14:60 | 1:39 | 6:29 | 4:19,6:1,6:1:125 | 8:1:36 | 13:3:31 | 9:1:27 | 14:2:22 | 14:3:19 | 7:1:18 | 15:4:14 | 14:4:8 | 10:2:5 | 12:3:4 | 16:5:4,60,60,1,4,1:4,false,profile_only_not_law
slot_pair_00_06_boundary_carrier,00,06,false,,,0,outer_or_other_candidate,331,7,0:60 | 6:60 | 12:60 | 13:60 | 1:49 | 5:23 | 4:19,6:1,6:1:122 | 8:1:31 | 15:4:25 | 10:2:21 | 7:1:19 | 13:3:14 | 11:1:13 | 14:3:10 | 17:5:9 | 12:1:8 | 12:3:7 | 16:4:7,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_01_02_boundary_carrier,01,02,false,,,0,outer_or_other_candidate,336,7,1:60 | 2:60 | 3:60 | 7:60 | 8:60 | 6:20 | 0:16,9:1,9:1:70 | 17:4:39 | 7:1:32 | 8:1:30 | 6:1:26 | 12:1:25 | 13:2:19 | 13:3:10 | 16:4:10 | 12:2:9 | 15:4:8 | 10:1:8,0,0,0,1,0:1,false,profile_only_not_law
slot_pair_01_06_boundary_carrier,01,06,false,,,0,outer_or_other_candidate,302,7,1:60 | 6:60 | 12:60 | 13:60 | 0:22 | 2:20 | 7:20,6:1,6:1:126 | 8:1:25 | 13:3:21 | 14:3:20 | 7:1:18 | 16:4:17 | 15:4:14 | 14:4:13 | 10:2:10 | 12:2:8 | 9:1:6 | 10:1:5,0,0,0,1,0:1,false,profile_only_not_law
slot_pair_01_07_boundary_carrier,01,07,false,,,0,outer_or_other_candidate,296,7,1:60 | 7:60 | 10:60 | 11:60 | 2:20 | 6:20 | 0:16,6:1,6:1:138 | 13:3:32 | 10:2:20 | 14:3:17 | 7:1:14 | 12:3:14 | 14:4:14 | 15:4:8 | 11:1:8 | 10:1:8 | 9:1:6 | 8:1:6,0,0,0,1,0:1,false,profile_only_not_law
slot_pair_02_03_boundary_carrier,02,03,false,,,0,outer_or_other_candidate,384,7,2:60 | 3:60 | 4:60 | 7:60 | 8:60 | 9:60 | 1:24,6:1,6:1:125 | 17:4:58 | 15:2:36 | 7:1:35 | 9:1:27 | 8:1:17 | 16:4:15 | 14:2:14 | 18:4:12 | 12:3:10 | 15:4:10 | 13:3:9,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_02_07_boundary_carrier,02,07,false,,,0,outer_or_other_candidate,384,7,2:60 | 3:60 | 7:60 | 8:60 | 10:60 | 11:60 | 1:24,6:1,6:1:128 | 9:1:77 | 17:4:53 | 8:1:27 | 7:1:20 | 14:3:11 | 13:3:10 | 16:3:9 | 9:2:8 | 15:3:7 | 18:4:6 | 14:2:6,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_02_08_boundary_carrier,02,08,true,6:1,anchor_spoke,1,anchor_spoke_candidate,384,7,2:60 | 3:60 | 7:60 | 8:60 | 13:60 | 14:60 | 1:24,6:1,6:1:125 | 17:4:38 | 15:3:36 | 7:1:35 | 9:1:35 | 12:1:32 | 13:3:17 | 14:3:17 | 8:1:17 | 10:1:12 | 12:3:10 | 11:1:8,60,60,1,4,1:4,false,profile_only_not_law
slot_pair_03_04_boundary_carrier,03,04,false,,,0,outer_or_other_candidate,343,6,3:60 | 4:60 | 5:60 | 8:60 | 9:60 | 0:43,8:1,8:1:83 | 10:1:60 | 12:3:49 | 9:1:32 | 7:1:28 | 14:4:26 | 13:3:20 | 6:1:16 | 15:4:10 | 12:2:10 | 14:3:5 | 5:1:3,0,0,1,1,1:1,false,profile_only_not_law
slot_pair_03_08_boundary_carrier,03,08,true,6:1,anchor_spoke,1,anchor_spoke_candidate,360,6,3:60 | 4:60 | 8:60 | 9:60 | 13:60 | 14:60,6:1,6:1:240 | 14:2:50 | 13:3:40 | 14:3:20 | 13:2:10,60,60,1,4,1:4,false,profile_only_not_law
slot_pair_03_09_boundary_carrier,03,09,false,,,0,outer_or_other_candidate,360,6,3:60 | 4:60 | 8:60 | 9:60 | 11:60 | 12:60,7:1,7:1:139 | 12:3:100 | 8:1:91 | 13:3:20 | 6:1:10,0,0,1,0,1:0,false,profile_only_not_law
slot_pair_04_05_boundary_carrier,04,05,true,6:1,anchor_spoke,1,anchor_spoke_candidate,330,6,4:60 | 5:60 | 9:60 | 10:60 | 14:60 | 0:30,6:1,6:1:180 | 12:3:31 | 14:2:21 | 10:2:19 | 15:3:14 | 13:3:10 | 17:4:10 | 16:4:8 | 12:2:6 | 18:4:5 | 13:2:4 | 16:3:4,60,60,1,4,1:4,false,profile_only_not_law
slot_pair_04_09_boundary_carrier,04,09,false,,,0,outer_or_other_candidate,330,6,4:60 | 5:60 | 9:60 | 11:60 | 12:60 | 0:30,7:1,7:1:128 | 12:3:91 | 8:1:33 | 9:1:32 | 9:2:19 | 6:1:17 | 13:3:10,0,0,1,0,1:0,false,profile_only_not_law
