summary_id,summary_name,count,interpretation,promotion_status
049-S1,boundary_carrier_universe_count,30,Distinct boundary carriers observed across the root-smoke universe.,input
049-S2,target_boundary_carrier_count,14,Distinct boundary carriers chosen by slot14.,profile_only
049-S3,target_graph_vertex_count,13,Endpoint slots in the target boundary carrier graph.,profile_only
049-S4,target_graph_connected,1,Whether the chosen 14 carriers form one connected boundary graph.,profile_only
049-S5,degree_profile_1x8_4x5,1,Whether the target graph has eight leaves and five degree-four nodes.,profile_only
049-S6,anchor_count_4,1,Whether target inner ties recover four internal anchors.,profile_only
049-S7,return_hub_count_1,1,Whether the graph has one non-anchor degree-four return hub.,profile_only
049-S8,outer_returns_incident_to_return_hub,1,Whether both outer returns attach to the non-anchor return hub.,profile_only
049-S9,source_law_promotions,0,No source law is promoted.,locked
049-S10,admission_promotions,0,No permission channel or information transport is admitted.,locked
