graph_item,value,interpretation,promotion_status
target_carrier_count,14,Distinct boundary carriers in the 048 slot14 target graph.,profile_only
target_vertex_count,13,Distinct endpoint slots touched by the 14 target boundary carriers.,profile_only
component_count,1,Connected components in the target boundary carrier graph.,profile_only
degree_profile,1:8 | 4:5,Endpoint degree profile inside the target boundary carrier graph.,profile_only
anchor_nodes,05 08 10 14,Internal anchors recovered from target inner ties.,profile_only
degree4_nodes,05 08 10 13 14,Nodes of degree four inside the target carrier graph.,profile_only
return_hub_nodes,13,Degree-four non-anchor node or nodes.,profile_only
leaf_nodes,00 02 03 04 06 07 11 12,Degree-one endpoint slots.,profile_only
inner_tie_carriers,slot_pair_05_10_boundary_carrier slot_pair_05_14_boundary_carrier slot_pair_08_14_boundary_carrier slot_pair_10_14_boundary_carrier,Target class: four inner ties.,profile_only
anchor_spoke_carriers,slot_pair_00_05_boundary_carrier slot_pair_02_08_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_13_14_boundary_carrier,Target class: eight anchor spokes.,profile_only
outer_return_carriers,slot_pair_06_13_boundary_carrier slot_pair_12_13_boundary_carrier,Target class: two outer returns.,profile_only
