slot,row_count,target_surface_count,edge_hit_count_profile,signature_entry_count_profile,internal_entry_count_profile,boundary_entry_count_profile,other_entry_count_profile,internal_plus_boundary_profile,max_pair_profile,edge_hit_equals_entry_count,slot_relation,promotion_status
0,60,0,13:18 | 7:11 | 9:11 | 5:8 | 10:3 | 6:3 | 12:2 | 16:2 | 17:1 | 11:1,13:18 | 7:11 | 9:11 | 5:8 | 10:3 | 6:3 | 12:2 | 16:2 | 17:1 | 11:1,2:26 | 3:16 | 4:9 | 1:8 | 5:1,7:13 | 5:11 | 10:11 | 4:11 | 9:9 | 12:3 | 8:2,0:60,2+5:11 | 2+7:11 | 3+10:11 | 1+4:8 | 4+9:7 | 2+4:3 | 3+9:2 | 4+12:2 | 3+7:2 | 5+12:1 | 2+8:1 | 3+8:1,16:12:13 | 14:7:10 | 13:7:6 | 15:12:5 | 15:11:4 | 17:9:3 | 17:13:3 | 15:8:2 | 17:10:2 | 15:10:2 | 12:5:2 | 16:10:2,60,outside_chamber,profile_only_not_law
1,60,0,9:24 | 13:18 | 6:8 | 5:3 | 16:2 | 14:2 | 17:2 | 10:1,9:24 | 13:18 | 6:8 | 5:3 | 16:2 | 14:2 | 17:2 | 10:1,2:32 | 3:19 | 4:5 | 1:3 | 5:1,7:25 | 10:20 | 4:11 | 12:3 | 13:1,0:60,2+7:24 | 3+10:18 | 2+4:8 | 1+4:3 | 4+12:2 | 4+10:2 | 3+7:1 | 4+13:1 | 5+12:1,13:7:13 | 16:10:9 | 14:7:7 | 12:4:4 | 17:10:4 | 16:12:4 | 15:12:4 | 18:10:3 | 16:9:2 | 17:11:2 | 14:10:2 | 17:13:2,60,outside_chamber,profile_only_not_law
2,60,0,5:40 | 9:20,5:40 | 9:20,1:40 | 2:20,4:40 | 7:20,0:60,1+4:40 | 2+7:20,17:14:38 | 16:10:6 | 15:10:4 | 14:10:4 | 16:11:4 | 17:13:2 | 18:11:1 | 17:11:1,60,outside_chamber,profile_only_not_law
3,60,0,9:60,9:60,2:60,7:60,0:60,2+7:60,17:10:20 | 16:10:13 | 18:10:12 | 15:10:10 | 14:10:5,60,outside_chamber,profile_only_not_law
4,60,0,9:41 | 13:19,9:41 | 13:19,2:41 | 3:19,7:41 | 10:19,0:60,2+7:41 | 3+10:19,14:10:29 | 13:7:16 | 15:10:10 | 14:9:2 | 12:7:2 | 14:7:1,60,outside_chamber,profile_only_not_law
5,60,0,9:37 | 12:23,9:37 | 12:23,2:37 | 3:23,7:37 | 9:23,0:60,2+7:37 | 3+9:23,15:7:13 | 16:10:12 | 17:10:8 | 14:7:8 | 15:10:6 | 18:10:5 | 14:10:4 | 17:9:2 | 13:7:2,60,outside_chamber,profile_only_not_law
6,60,0,9:49 | 5:11,9:49 | 5:11,2:49 | 1:11,7:49 | 4:11,0:60,2+7:49 | 1+4:11,16:10:16 | 15:10:13 | 17:13:10 | 17:10:6 | 17:11:5 | 14:10:5 | 18:10:2 | 16:11:1 | 17:14:1 | 18:11:1,60,outside_chamber,profile_only_not_law
7,60,0,9:40 | 12:20,9:40 | 12:20,2:40 | 3:20,7:40 | 9:20,0:60,2+7:40 | 3+9:20,16:10:12 | 17:10:10 | 14:7:8 | 18:10:6 | 15:7:6 | 13:7:6 | 15:10:6 | 17:9:5 | 14:10:1,60,outside_chamber,profile_only_not_law
8,60,0,12:60,12:60,3:60,9:60,0:60,3+9:60,15:7:36 | 14:7:16 | 13:7:8,60,outside_chamber,profile_only_not_law
9,60,0,12:60,12:60,3:60,9:60,0:60,3+9:60,12:7:60,60,outside_chamber,profile_only_not_law
10,60,0,13:60,13:60,3:60,10:60,0:60,3+10:60,12:7:60,60,outside_chamber,profile_only_not_law
11,60,0,16:60,16:60,4:60,12:60,0:60,4+12:60,11:4:50 | 10:4:10,60,outside_chamber,profile_only_not_law
12,60,0,16:60,16:60,4:60,12:60,0:60,4+12:60,12:4:60,60,outside_chamber,profile_only_not_law
13,60,0,16:60,16:60,4:60,12:60,0:60,4+12:60,10:4:60,60,outside_chamber,profile_only_not_law
14,60,60,18:60,18:60,4:60,14:60,0:60,4+14:60,10:4:60,60,target_chamber,profile_only_not_law
