summary_id,summary_name,count,interpretation,promotion_status
047-S1,root_smoke_universe_row_count,900,Root-smoke rows with parsed carrier-entry anatomy.,input
047-S2,target_surface_row_count,60,Target surface inherited from 046.,input
047-S3,slot14_row_count,60,Rows in slot14 chamber.,not_promoted
047-S4,edge_hit18_row_count,60,Rows with edge_hit_count=18.,not_promoted
047-S5,signature_entry18_row_count,60,Rows with exactly 18 parsed carrier entries.,not_promoted
047-S6,slot14_internal_4_boundary_14_all_rows,1,Slot14 decomposes as 4 internal carriers plus 14 boundary carriers.,not_promoted
047-S7,global_edge_hit_equals_signature_entry_count,1,Whether edge_hit_count equals parsed signature-entry count for every root-smoke row.,diagnostic
047-S8,slot14_signature_part_count,18,Distinct carrier:value parts in the slot14 chamber.,profile_only
047-S9,source_law_promotions,0,No source law is promoted.,locked
047-S10,admission_promotions,0,No permission channel or information transport is admitted.,locked
