slot,full_carrier_degree,target_graph_degree,predicted_graph_degree,is_anchor,is_target_return_hub,is_target_leaf,is_target_omitted,source_role,source_anchor_neighbor_count,source_anchor_neighbors,source_connected_to_return_hub,incident_carriers,incident_target_carriers,incident_predicted_carriers,prediction_matches_target_degree,promotion_status
00,4,1,1,false,false,true,false,source_leaf,1,05,false,slot_pair_00_01_boundary_carrier slot_pair_00_04_boundary_carrier slot_pair_00_05_boundary_carrier slot_pair_00_06_boundary_carrier,slot_pair_00_05_boundary_carrier,slot_pair_00_05_boundary_carrier,true,endpoint_profile_not_law
01,4,0,0,false,false,false,true,omitted,0,,false,slot_pair_00_01_boundary_carrier slot_pair_01_02_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_01_07_boundary_carrier,,,true,endpoint_profile_not_law
02,4,1,1,false,false,true,false,source_leaf,1,08,false,slot_pair_01_02_boundary_carrier slot_pair_02_03_boundary_carrier slot_pair_02_07_boundary_carrier slot_pair_02_08_boundary_carrier,slot_pair_02_08_boundary_carrier,slot_pair_02_08_boundary_carrier,true,endpoint_profile_not_law
03,4,1,1,false,false,true,false,source_leaf,1,08,false,slot_pair_02_03_boundary_carrier slot_pair_03_04_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_03_09_boundary_carrier,slot_pair_03_08_boundary_carrier,slot_pair_03_08_boundary_carrier,true,endpoint_profile_not_law
04,4,1,1,false,false,true,false,source_leaf,1,05,false,slot_pair_00_04_boundary_carrier slot_pair_03_04_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_04_09_boundary_carrier,slot_pair_04_05_boundary_carrier,slot_pair_04_05_boundary_carrier,true,endpoint_profile_not_law
05,4,4,4,true,false,false,false,anchor,2,10 14,false,slot_pair_00_05_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_05_10_boundary_carrier slot_pair_05_14_boundary_carrier,slot_pair_00_05_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_05_10_boundary_carrier slot_pair_05_14_boundary_carrier,slot_pair_00_05_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_05_10_boundary_carrier slot_pair_05_14_boundary_carrier,true,endpoint_profile_not_law
06,4,1,1,false,false,true,false,source_leaf,0,,true,slot_pair_00_06_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_06_12_boundary_carrier slot_pair_06_13_boundary_carrier,slot_pair_06_13_boundary_carrier,slot_pair_06_13_boundary_carrier,true,endpoint_profile_not_law
07,4,1,1,false,false,true,false,source_leaf,1,10,false,slot_pair_01_07_boundary_carrier slot_pair_02_07_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_07_11_boundary_carrier,slot_pair_07_10_boundary_carrier,slot_pair_07_10_boundary_carrier,true,endpoint_profile_not_law
08,4,4,4,true,false,false,false,anchor,1,14,true,slot_pair_02_08_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_08_14_boundary_carrier,slot_pair_02_08_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_08_14_boundary_carrier,slot_pair_02_08_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_08_14_boundary_carrier,true,endpoint_profile_not_law
09,4,0,0,false,false,false,true,omitted,0,,false,slot_pair_03_09_boundary_carrier slot_pair_04_09_boundary_carrier slot_pair_09_11_boundary_carrier slot_pair_09_12_boundary_carrier,,,true,endpoint_profile_not_law
10,4,4,4,true,false,false,false,anchor,2,05 14,false,slot_pair_05_10_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_10_14_boundary_carrier,slot_pair_05_10_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_10_14_boundary_carrier,slot_pair_05_10_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_10_14_boundary_carrier,true,endpoint_profile_not_law
11,4,1,1,false,false,true,false,source_leaf,1,10,false,slot_pair_07_11_boundary_carrier slot_pair_09_11_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_11_12_boundary_carrier,slot_pair_10_11_boundary_carrier,slot_pair_10_11_boundary_carrier,true,endpoint_profile_not_law
12,4,1,1,false,false,true,false,source_leaf,0,,true,slot_pair_06_12_boundary_carrier slot_pair_09_12_boundary_carrier slot_pair_11_12_boundary_carrier slot_pair_12_13_boundary_carrier,slot_pair_12_13_boundary_carrier,slot_pair_12_13_boundary_carrier,true,endpoint_profile_not_law
13,4,4,4,false,true,false,false,source_return_hub,2,08 14,false,slot_pair_06_13_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_12_13_boundary_carrier slot_pair_13_14_boundary_carrier,slot_pair_06_13_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_12_13_boundary_carrier slot_pair_13_14_boundary_carrier,slot_pair_06_13_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_12_13_boundary_carrier slot_pair_13_14_boundary_carrier,true,endpoint_profile_not_law
14,4,4,4,true,false,false,false,anchor,3,05 08 10,true,slot_pair_05_14_boundary_carrier slot_pair_08_14_boundary_carrier slot_pair_10_14_boundary_carrier slot_pair_13_14_boundary_carrier,slot_pair_05_14_boundary_carrier slot_pair_08_14_boundary_carrier slot_pair_10_14_boundary_carrier slot_pair_13_14_boundary_carrier,slot_pair_05_14_boundary_carrier slot_pair_08_14_boundary_carrier slot_pair_10_14_boundary_carrier slot_pair_13_14_boundary_carrier,true,endpoint_profile_not_law
