carrier,left_slot,right_slot,global_row_count,slot_presence_count,dominant_value_pair,is_049_target_carrier,target_incidence_class,is_slot14_incident,is_target_anchor_incident,selected_by_global_ge_180,selected_by_slot_presence_ge_3,selected_by_slot14_local_global_ge_180,selected_by_slot14_local_presence_ge_3,promotion_status
slot_pair_00_01_boundary_carrier,00,01,251,7,8:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_00_04_boundary_carrier,00,04,309,6,6:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_00_05_boundary_carrier,00,05,327,7,6:1,true,anchor_spoke,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_00_06_boundary_carrier,00,06,331,7,6:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_01_02_boundary_carrier,01,02,336,7,9:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_01_06_boundary_carrier,01,06,302,7,6:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_01_07_boundary_carrier,01,07,296,7,6:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_02_03_boundary_carrier,02,03,384,7,6:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_02_07_boundary_carrier,02,07,384,7,6:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_02_08_boundary_carrier,02,08,384,7,6:1,true,anchor_spoke,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_03_04_boundary_carrier,03,04,343,6,8:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_03_08_boundary_carrier,03,08,360,6,6:1,true,anchor_spoke,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_03_09_boundary_carrier,03,09,360,6,7:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_04_05_boundary_carrier,04,05,330,6,6:1,true,anchor_spoke,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_04_09_boundary_carrier,04,09,330,6,7:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_05_10_boundary_carrier,05,10,256,5,12:3,true,inner_tie,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_05_14_boundary_carrier,05,14,196,4,7:1,true,inner_tie,true,true,true,true,true,true,carrier_strength_profile_not_law
slot_pair_06_12_boundary_carrier,06,12,194,5,10:2,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_06_13_boundary_carrier,06,13,254,6,6:1,true,outer_return,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_07_10_boundary_carrier,07,10,242,5,12:2,true,anchor_spoke,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_07_11_boundary_carrier,07,11,242,5,7:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_08_13_boundary_carrier,08,13,180,3,9:2,true,anchor_spoke,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_08_14_boundary_carrier,08,14,180,3,9:2,true,inner_tie,true,true,true,true,true,true,carrier_strength_profile_not_law
slot_pair_09_11_boundary_carrier,09,11,180,3,9:2,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_09_12_boundary_carrier,09,12,240,4,9:2,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_10_11_boundary_carrier,10,11,240,4,9:2,true,anchor_spoke,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_10_14_boundary_carrier,10,14,180,3,9:2,true,inner_tie,true,true,true,true,true,true,carrier_strength_profile_not_law
slot_pair_11_12_boundary_carrier,11,12,180,3,7:1,false,,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_12_13_boundary_carrier,12,13,180,3,6:1,true,outer_return,false,false,true,true,false,false,carrier_strength_profile_not_law
slot_pair_13_14_boundary_carrier,13,14,120,2,6:1,true,anchor_spoke,true,false,false,false,false,false,carrier_strength_profile_not_law
