slot,incident_carriers_by_strength,incident_global_counts_by_strength,top3_incident_carriers,top3_neighbors,weak_incident_carriers,weak_neighbors,top3_handle_self_plus_neighbors,top3_handle_matches_target_anchors,third_global_count,fourth_global_count,rank_gap_third_minus_fourth,strict_top3_gap,has_180_cut_between_third_and_fourth,promotion_status
00,slot_pair_00_06_boundary_carrier slot_pair_00_05_boundary_carrier slot_pair_00_04_boundary_carrier slot_pair_00_01_boundary_carrier,331 327 309 251,slot_pair_00_06_boundary_carrier slot_pair_00_05_boundary_carrier slot_pair_00_04_boundary_carrier,04 05 06,slot_pair_00_01_boundary_carrier,01,00 04 05 06,false,309,251,58,true,false,slot_strength_profile_not_law
01,slot_pair_01_02_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_01_07_boundary_carrier slot_pair_00_01_boundary_carrier,336 302 296 251,slot_pair_01_02_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_01_07_boundary_carrier,02 06 07,slot_pair_00_01_boundary_carrier,00,01 02 06 07,false,296,251,45,true,false,slot_strength_profile_not_law
02,slot_pair_02_03_boundary_carrier slot_pair_02_07_boundary_carrier slot_pair_02_08_boundary_carrier slot_pair_01_02_boundary_carrier,384 384 384 336,slot_pair_02_03_boundary_carrier slot_pair_02_07_boundary_carrier slot_pair_02_08_boundary_carrier,03 07 08,slot_pair_01_02_boundary_carrier,01,02 03 07 08,false,384,336,48,true,false,slot_strength_profile_not_law
03,slot_pair_02_03_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_03_09_boundary_carrier slot_pair_03_04_boundary_carrier,384 360 360 343,slot_pair_02_03_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_03_09_boundary_carrier,02 08 09,slot_pair_03_04_boundary_carrier,04,02 03 08 09,false,360,343,17,true,false,slot_strength_profile_not_law
04,slot_pair_03_04_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_04_09_boundary_carrier slot_pair_00_04_boundary_carrier,343 330 330 309,slot_pair_03_04_boundary_carrier slot_pair_04_05_boundary_carrier slot_pair_04_09_boundary_carrier,03 05 09,slot_pair_00_04_boundary_carrier,00,03 04 05 09,false,330,309,21,true,false,slot_strength_profile_not_law
05,slot_pair_04_05_boundary_carrier slot_pair_00_05_boundary_carrier slot_pair_05_10_boundary_carrier slot_pair_05_14_boundary_carrier,330 327 256 196,slot_pair_04_05_boundary_carrier slot_pair_00_05_boundary_carrier slot_pair_05_10_boundary_carrier,00 04 10,slot_pair_05_14_boundary_carrier,14,00 04 05 10,false,256,196,60,true,false,slot_strength_profile_not_law
06,slot_pair_00_06_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_06_13_boundary_carrier slot_pair_06_12_boundary_carrier,331 302 254 194,slot_pair_00_06_boundary_carrier slot_pair_01_06_boundary_carrier slot_pair_06_13_boundary_carrier,00 01 13,slot_pair_06_12_boundary_carrier,12,00 01 06 13,false,254,194,60,true,false,slot_strength_profile_not_law
07,slot_pair_02_07_boundary_carrier slot_pair_01_07_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_07_11_boundary_carrier,384 296 242 242,slot_pair_02_07_boundary_carrier slot_pair_01_07_boundary_carrier slot_pair_07_10_boundary_carrier,01 02 10,slot_pair_07_11_boundary_carrier,11,01 02 07 10,false,242,242,0,false,false,slot_strength_profile_not_law
08,slot_pair_02_08_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_08_14_boundary_carrier,384 360 180 180,slot_pair_02_08_boundary_carrier slot_pair_03_08_boundary_carrier slot_pair_08_13_boundary_carrier,02 03 13,slot_pair_08_14_boundary_carrier,14,02 03 08 13,false,180,180,0,false,false,slot_strength_profile_not_law
09,slot_pair_03_09_boundary_carrier slot_pair_04_09_boundary_carrier slot_pair_09_12_boundary_carrier slot_pair_09_11_boundary_carrier,360 330 240 180,slot_pair_03_09_boundary_carrier slot_pair_04_09_boundary_carrier slot_pair_09_12_boundary_carrier,03 04 12,slot_pair_09_11_boundary_carrier,11,03 04 09 12,false,240,180,60,true,false,slot_strength_profile_not_law
10,slot_pair_05_10_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_10_14_boundary_carrier,256 242 240 180,slot_pair_05_10_boundary_carrier slot_pair_07_10_boundary_carrier slot_pair_10_11_boundary_carrier,05 07 11,slot_pair_10_14_boundary_carrier,14,05 07 10 11,false,240,180,60,true,false,slot_strength_profile_not_law
11,slot_pair_07_11_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_09_11_boundary_carrier slot_pair_11_12_boundary_carrier,242 240 180 180,slot_pair_07_11_boundary_carrier slot_pair_10_11_boundary_carrier slot_pair_09_11_boundary_carrier,07 09 10,slot_pair_11_12_boundary_carrier,12,07 09 10 11,false,180,180,0,false,false,slot_strength_profile_not_law
12,slot_pair_09_12_boundary_carrier slot_pair_06_12_boundary_carrier slot_pair_11_12_boundary_carrier slot_pair_12_13_boundary_carrier,240 194 180 180,slot_pair_09_12_boundary_carrier slot_pair_06_12_boundary_carrier slot_pair_11_12_boundary_carrier,06 09 11,slot_pair_12_13_boundary_carrier,13,06 09 11 12,false,180,180,0,false,false,slot_strength_profile_not_law
13,slot_pair_06_13_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_12_13_boundary_carrier slot_pair_13_14_boundary_carrier,254 180 180 120,slot_pair_06_13_boundary_carrier slot_pair_08_13_boundary_carrier slot_pair_12_13_boundary_carrier,06 08 12,slot_pair_13_14_boundary_carrier,14,06 08 12 13,false,180,120,60,true,true,slot_strength_profile_not_law
14,slot_pair_05_14_boundary_carrier slot_pair_08_14_boundary_carrier slot_pair_10_14_boundary_carrier slot_pair_13_14_boundary_carrier,196 180 180 120,slot_pair_05_14_boundary_carrier slot_pair_08_14_boundary_carrier slot_pair_10_14_boundary_carrier,05 08 10,slot_pair_13_14_boundary_carrier,13,05 08 10 14,true,180,120,60,true,true,slot_strength_profile_not_law
