summary_id,summary_name,count,interpretation,promotion_status
052-S1,boundary_carrier_universe_count,30,Boundary carrier universe tested for strength native status.,input
052-S2,target_anchor_incident_carrier_count,3,The three slot14 incident carriers that point to anchor neighbors.,evaluation_target
052-S3,global_ge180_selected_count,29,Carriers selected by global threshold 180 without slot14 locality.,not_native
052-S4,slot14_local_ge180_selected_count,3,Slot14 incident carriers selected by global threshold 180.,local_handle
052-S5,slot14_local_top3_selected_count,3,Slot14 top-three incident carriers by global support.,local_handle
052-S6,target_handle_slot14_unique,1,Whether self plus local top3 matches the target anchor set only at slot14.,diagnostic
052-S7,all_slots_strict_top3_gap,0,Whether every slot has a strict local top3/fourth support gap.,diagnostic
052-S8,slots_with_180_cut_count,2,Slots where the 180 threshold falls between local third and fourth incident carrier.,diagnostic
052-S9,source_law_promotions,0,No source law is promoted.,locked
052-S10,admission_promotions,0,No permission channel or information transport is admitted.,locked
