pair_variables,pair_values_ordered,pair_position_class,permission_status,source_class,source_bucket,source_path,matched_tokens,csv_row_hit_count,text_line_hit_count,matched_fields,sample_context,promoted_to_source_law,promoted_to_admission
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,channel_candidate,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv,04_05,12,0,source_evidence source_rail_id target_rail_id,26 boundary_to_slot_internal_incidence endpoint_incidence_handle structural_incidence not_admitted_obvious_handle slot_pair_04_05_boundary_carrier slot_04_internal_carrier slot_pair_boundary_carriers slot_internal_carrie,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,channel_source,labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv,04_05,12,0,evidence source_rail_id target_rail_id,boundary_to_slot_internal_incidence slot_pair_04_05_boundary_carrier slot_04_internal_carrier boundary carrier names one endpoint slot carried by this internal carrier slot_pair=04_05 endpoint_slot=04 False,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,edge_limit_phase,labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv,04_05,79,0,primary_rail_id,5:0 5 0 1 2 1 1 1 4/5 slot_pair_04_05_boundary_carrier slot_pair_boundary_carriers 1 2 True False False,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,other_surface,projection_exception,labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv,04_05,1,0,hit_signature,"slot_0_single_escape_to_4 0:14 0 14 4 slot_04_internal_carrier 4 6 31,30,17,4 31 30 17 4 slot_04_internal_carrier:6:4;slot_05_internal_carrier:6:4;slot_00_internal_carrier:5:4;slot_01_internal_carrier:5:4;slot_pair_04_05",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,root_smoke,labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,04_05,330,0,hit_signature,"0:1 0 1 30 30 9 9 17 30,30,9,9 slot_00_internal_carrier:9:9;slot_pair_00_04_boundary_carrier:17:4;slot_pair_00_01_boundary_carrier:13:4;slot_04_internal_carrier:8:4;slot_pair_00_05_boundary_carrier:13:3;slot_pair_00_06_b",false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,candidate_family_census_014,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,04_05 05_04,176,0,role_pairs,5626 0 4 5 10 7 00_04 04_05 10_05 10_07 23 24 23 24 tuple_edge_2171 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 0:53 4:54 10:23 10:24 4:23 5:24 5:23 7:24 false false,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,construction_surface,candidate_family_census_014,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,04_05 05_04,466,0,role_pairs,13 0 1 2 4 5 00_01 01_02 04_02 04_05 3 DC:missing_target_anchor_edge,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_construction_context_family_census_034_families.v1.csv,04_05 05_04,19,0,family_key sample_role_tokens,F0001 roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921 9 B=5 AND C=4 AND D=3 | B=5 AND C=4 AND E=9 | B=5 AND D=3 | B=5 AND D=3 AND E=9 | B=5 AND E=9 | C=4 AND D=3 | C=4 AND D=3 AND E=9 | C=4,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_construction_context_family_census_034_target_family_rows.v1.csv,04_05 05_04,80,0,family_key sample_role_tokens,S0029 B=4 B 4 12 medium_bucket blocked_by_null_or_marginal_stress construction_context_covisible_no_promotion roles=04_05 :: tuples=tuple_edge_1041 g900_channel_candidate_classifier_001_rows.v1.csv g900_channel_source_in,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_constructive_provenance_search_033_hits.v1.csv,04_05,58,0,token,S0132 A=9 AND D=10 04_05 construction_surface labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv primary_context_token,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_constructive_provenance_search_033_targets.v1.csv,04_05 05_04,80,0,sample_hit_paths sample_tokens,S0029 B=4 B 4 12 medium_bucket blocked_by_null_or_marginal_stress 1 2 3 4 5 6 46 47 48 49 50 51 77698 77701 77704 77743 77745 77748 223691 223693 223696 223736 223737 223740 1 1 2 21 4 17 4 2 construction_context_covisib,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_missing_prefix_edge_probe_037_f0001_edge.v1.csv,05_04,1,0,missing_role_token role_tokens,F0001 03_04 03_09 05_04 tuple_edge_609 tuple_edge_614 tuple_edge_921 B C D E 05 04 03 09 B C 04 05 05_04 true true true false missing_prefix_terminal_edge 43 16 1 false false,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_missing_prefix_edge_probe_037_family_omissions.v1.csv,04_05 05_04,19,0,family_key missing_role_token role_tokens,F0001 roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921 9 03_04 03_09 05_04 tuple_edge_609 tuple_edge_614 tuple_edge_921 03 04 05 09 05 09 B C D E 05 04 03 09 true true true 9 10 B C 04 05  t,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,other,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_missing_prefix_edge_probe_037_source_hits.v1.csv,04_05 05_04,43,0,token,04_05 construction_surface labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv forbidden_prefix_edge_visible,false,false
B C,05 04,prefix_terminal_edge,denied_visible_edge,choice_surface_excluded,permission,labs/g900_observatory/artifacts/csv/g900_transport_choice_f0001_permission_denial_probe_038_pair_profile.v1.csv,04_05 05_04,1,0,direct_edge_token reverse_edge_token,B C 05 04 04 05 1 prefix_terminal_edge true true false false true 05_04 04_05 denied_visible_edge false false,false,false
