summary_id,summary_name,count,interpretation,promotion_status
053-S1,boundary_carrier_universe_count,30,Boundary carrier universe tested for weak incident edge handles.,input
053-S2,slot14_incident_edge_count,4,Full-carrier incident edges at slot14.,input
053-S3,slot14_weak_edge_count,1,Weak local slot14 incident edge from 052.,evaluation_target
053-S4,slot14_return_hub_incident_count,1,Slot14 incident edges whose other endpoint is the 050 return hub.,not_promoted
053-S5,cut_slot_count,2,Slots with a 180 cut between local third and fourth carrier.,diagnostic
053-S6,common_cut_weak_edge_count,1,Edges weak at all 180-cut slots.,not_promoted
053-S7,edges_between_180_cut_slots_count,1,Boundary carriers directly joining the 180-cut slots.,not_promoted
053-S8,double_weak_edge_count,2,Edges weak at both of their endpoints.,diagnostic
053-S9,source_law_promotions,0,No source law is promoted.,locked
053-S10,admission_promotions,0,No permission channel or information transport is admitted.,locked
