family_id,family_key,row_count,member_count,selector_sample,role_token_count,tuple_token_count,role_endpoint_count,role_endpoint_set,selector_value_count,selector_value_union,selector_value_intersection,selector_variables_union,selector_variables_intersection,unique_selector_value_set_count,expected_endpoint_subsets_size_ge2,role_graph_shape,role_graph_connected,role_graph_tree,role_graph_simple_path,role_graph_degree_sequence,selector_values_inside_role_endpoints,role_endpoints_equal_selector_values,every_role_endpoint_used,all_selector_value_sets_nonempty,all_selector_value_sets_subset_endpoints,all_razor,all_small,all_blocked_razor,all_blocked_null,descriptive_handle_score,source_handle_status,promoted_to_source_law,promoted_to_admission
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,9,9,B=5 AND C=4 AND D=3 | B=5 AND C=4 AND E=9 | B=5 AND D=3 | B=5 AND D=3 AND E=9 | B=5 AND E=9 | C=4 AND D=3 | C=4 AND D=3 AND E=9 | C=4 AND E=9,3,3,4,03 04 05 09,4,3 4 5 9,,B C D E,,9,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,9,9,B=8 AND C=3 AND D=4 | B=8 AND C=3 AND E=9 | B=8 AND D=4 | B=8 AND D=4 AND E=9 | B=8 AND E=9 | C=3 AND D=4 | C=3 AND D=4 AND E=9 | C=3 AND E=9,3,3,4,03 04 08 09,4,3 4 8 9,,B C D E,,9,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0003,roles=05_04 09_03 09_04 :: tuples=tuple_edge_614 tuple_edge_920 tuple_edge_921,9,9,B=5 AND C=4 AND D=9 | B=5 AND C=4 AND E=3 | B=5 AND D=9 | B=5 AND D=9 AND E=3 | B=5 AND E=3 | C=4 AND D=9 | C=4 AND D=9 AND E=3 | C=4 AND E=3,3,3,4,03 04 05 09,4,3 4 5 9,,B C D E,,9,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0004,roles=08_03 09_03 09_04 :: tuples=tuple_edge_611 tuple_edge_613 tuple_edge_922,9,9,B=8 AND C=3 AND D=9 | B=8 AND C=3 AND E=4 | B=8 AND D=9 | B=8 AND D=9 AND E=4 | B=8 AND E=4 | C=3 AND D=9 | C=3 AND D=9 AND E=4 | C=3 AND E=4,3,3,4,03 04 08 09,4,3 4 8 9,,B C D E,,9,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0005,roles=04_05 10_05 10_11 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,7,7,B=4 AND C=5 AND E=11 | B=4 AND D=10 AND E=11 | B=4 AND E=11 | C=5 AND D=10 AND E=11 | C=5 AND E=11 | D=10 AND E=11 | E=11,3,3,4,04 05 10 11,4,4 5 10 11,11,B C D E,E,7,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0006,roles=03_08 14_05 14_08 :: tuples=tuple_edge_1205 tuple_edge_2039 tuple_edge_766,6,6,B=3 AND C=8 AND E=5 | B=3 AND D=14 AND E=5 | B=3 AND E=5 | C=8 AND D=14 AND E=5 | C=8 AND E=5 | D=14 AND E=5,3,3,4,03 05 08 14,4,3 5 8 14,5,B C D E,E,6,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0007,roles=04_05 14_05 14_08 :: tuples=tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,6,6,B=4 AND C=5 AND E=8 | B=4 AND D=14 AND E=8 | B=4 AND E=8 | C=5 AND D=14 AND E=8 | C=5 AND E=8 | D=14 AND E=8,3,3,4,04 05 08 14,4,4 5 8 14,8,B C D E,E,6,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0008,roles=03_04 03_09 11_09 :: tuples=tuple_edge_2308 tuple_edge_611 tuple_edge_612,5,5,B=11 AND C=9 AND D=3 | B=11 AND C=9 AND E=4 | B=11 AND D=3 | B=11 AND D=3 AND E=4 | B=11 AND E=4,3,3,4,03 04 09 11,4,3 4 9 11,11,B C D E,B,5,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0009,roles=03_04 03_09 12_09 :: tuples=tuple_edge_2309 tuple_edge_611 tuple_edge_612,5,5,B=12 AND C=9 AND D=3 | B=12 AND C=9 AND E=4 | B=12 AND D=3 | B=12 AND D=3 AND E=4 | B=12 AND E=4,3,3,4,03 04 09 12,4,3 4 9 12,12,B C D E,B,5,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
F0010,roles=03_08 14_08 14_10 :: tuples=tuple_edge_2039 tuple_edge_2587 tuple_edge_766,5,5,B=3 AND C=8 AND E=10 | B=3 AND D=14 AND E=10 | B=3 AND E=10 | C=8 AND D=14 AND E=10 | C=8 AND E=10,3,3,4,03 08 10 14,4,3 8 10 14,10,B C D E,E,5,11,simple_path,true,true,true,2 2 1 1,true,true,true,true,true,true,true,true,false,5,razor_repeated_handle_no_law,false,false
