family_id,family_key,stress_id,selector_expression,selector_variables,selector_values,selector_values_subset_role_endpoints,bucket_size,sharpness,stress_blocker,role_endpoint_set,role_tokens,tuple_tokens
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0258,B=5 AND C=4 AND D=3,B C D,3 4 5,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0285,B=5 AND C=4 AND E=9,B C E,4 5 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0067,B=5 AND D=3,B D,3 5,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0310,B=5 AND D=3 AND E=9,B D E,3 5 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0094,B=5 AND E=9,B E,5 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0104,C=4 AND D=3,C D,3 4,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0320,C=4 AND D=3 AND E=9,C D E,3 4 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0109,C=4 AND E=9,C E,4 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,S0123,D=3 AND E=9,D E,3 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0260,B=8 AND C=3 AND D=4,B C D,3 4 8,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0287,B=8 AND C=3 AND E=9,B C E,3 8 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0069,B=8 AND D=4,B D,4 8,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0312,B=8 AND D=4 AND E=9,B D E,4 8 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0096,B=8 AND E=9,B E,8 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0102,C=3 AND D=4,C D,3 4,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0318,C=3 AND D=4 AND E=9,C D E,3 4 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0107,C=3 AND E=9,C E,3 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,S0124,D=4 AND E=9,D E,4 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 08 09,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922
F0003,roles=05_04 09_03 09_04 :: tuples=tuple_edge_614 tuple_edge_920 tuple_edge_921,S0259,B=5 AND C=4 AND D=9,B C D,4 5 9,true,2,razor_small,blocked_as_razor_small_until_proven,03 04 05 09,05_04 09_03 09_04,tuple_edge_614 tuple_edge_920 tuple_edge_921
