frontier_index,candidate_index,candidate_id,candidate_receipt_id,A,B,C,D,E,role_pairs,q_edge_ids,delta_profile,class_profile,relative_to_C_signature,relative_to_B_signature,slot_delta_signature,gate_audit_status,obligation_pass_count,obligation_total_count,failed_obligations,new_permission_channel_admitted,new_information_transport_admitted,new_flux_witness_declared
1,77698,g900_deferred_gate_candidate_03_04_05_10_07,g900_deferred_gate_receipt_a7f3f5c379cf15bd,3,4,5,10,7,03_04 04_05 10_05 10_07,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,0 30 0 0,same repair same same,13 14 0 5 2,14 0 1 6 3,1 1 10 12,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
2,77701,g900_deferred_gate_candidate_03_04_05_10_11,g900_deferred_gate_receipt_82035c83f0993764,3,4,5,10,11,03_04 04_05 10_05 10_11,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,0 30 0 0,same repair same same,13 14 0 5 6,14 0 1 6 7,1 1 10 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
3,77704,g900_deferred_gate_candidate_03_04_05_10_14,g900_deferred_gate_receipt_f33a1bc209635c43,3,4,5,10,14,03_04 04_05 10_05 10_14,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,0 30 0 0,same repair same same,13 14 0 5 9,14 0 1 6 10,1 1 10 4,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
4,77743,g900_deferred_gate_candidate_03_04_05_14_08,g900_deferred_gate_receipt_e97be3df266ec6a4,3,4,5,14,8,03_04 04_05 14_05 14_08,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,0 30 0 0,same repair same same,13 14 0 9 3,14 0 1 10 4,1 1 6 9,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
5,77745,g900_deferred_gate_candidate_03_04_05_14_10,g900_deferred_gate_receipt_81b99c64a80cceed,3,4,5,14,10,03_04 04_05 14_05 14_10,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,0 30 0 0,same repair same same,13 14 0 9 5,14 0 1 10 6,1 1 6 11,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
6,77748,g900_deferred_gate_candidate_03_04_05_14_13,g900_deferred_gate_receipt_082d31885d65a84b,3,4,5,14,13,03_04 04_05 14_05 14_13,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,0 30 0 0,same repair same same,13 14 0 9 8,14 0 1 10 9,1 1 6 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
7,87062,g900_deferred_gate_candidate_03_09_11_07_10,g900_deferred_gate_receipt_d82685b8b5c04b57,3,9,11,7,10,03_09 09_11 07_11 07_10,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,0 30 0 0,same repair same same,7 13 0 11 14,9 0 2 13 1,6 2 4 3,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
8,87081,g900_deferred_gate_candidate_03_09_11_10_05,g900_deferred_gate_receipt_4a933dd7041c248b,3,9,11,10,5,03_09 09_11 10_11 10_05,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,0 30 0 0,same repair same same,7 13 0 14 9,9 0 2 1 11,6 2 1 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
9,87083,g900_deferred_gate_candidate_03_09_11_10_07,g900_deferred_gate_receipt_bd9ffc176cb0baa9,3,9,11,10,7,03_09 09_11 10_11 10_07,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,0 30 0 0,same repair same same,7 13 0 14 11,9 0 2 1 13,6 2 1 12,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
10,87087,g900_deferred_gate_candidate_03_09_11_10_14,g900_deferred_gate_receipt_7eaf395f6d9afe88,3,9,11,10,14,03_09 09_11 10_11 10_14,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,0 30 0 0,same repair same same,7 13 0 14 3,9 0 2 1 5,6 2 1 4,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
11,87236,g900_deferred_gate_candidate_03_09_12_13_06,g900_deferred_gate_receipt_7b518b3b6deb55a2,3,9,12,13,6,03_09 09_12 13_12 13_06,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,0 30 0 0,same repair same same,6 12 0 1 9,9 0 3 4 12,6 3 14 8,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
12,87238,g900_deferred_gate_candidate_03_09_12_13_08,g900_deferred_gate_receipt_40ed15ce88bcee1f,3,9,12,13,8,03_09 09_12 13_12 13_08,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,0 30 0 0,same repair same same,6 12 0 1 11,9 0 3 4 14,6 3 14 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
13,87241,g900_deferred_gate_candidate_03_09_12_13_14,g900_deferred_gate_receipt_a3516618f4d4cb3e,3,9,12,13,14,03_09 09_12 13_12 13_14,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,0 30 0 0,same repair same same,6 12 0 1 2,9 0 3 4 5,6 3 14 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
14,102151,g900_deferred_gate_candidate_04_03_08_13_06,g900_deferred_gate_receipt_3705c09c641c106b,4,3,8,13,6,04_03 03_08 13_08 13_06,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,0 30 0 0,same repair same same,11 10 0 5 13,1 0 5 10 3,14 5 10 8,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
15,102156,g900_deferred_gate_candidate_04_03_08_13_12,g900_deferred_gate_receipt_327fe0898f84306d,4,3,8,13,12,04_03 03_08 13_08 13_12,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,0 30 0 0,same repair same same,11 10 0 5 4,1 0 5 10 9,14 5 10 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
16,102157,g900_deferred_gate_candidate_04_03_08_13_14,g900_deferred_gate_receipt_4a1053bad3cae533,4,3,8,13,14,04_03 03_08 13_08 13_14,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,0 30 0 0,same repair same same,11 10 0 5 6,1 0 5 10 11,14 5 10 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
17,102161,g900_deferred_gate_candidate_04_03_08_14_05,g900_deferred_gate_receipt_7b2cceef45e43962,4,3,8,14,5,04_03 03_08 14_08 14_05,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,0 30 0 0,same repair same same,11 10 0 6 12,1 0 5 11 2,14 5 9 6,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
18,102165,g900_deferred_gate_candidate_04_03_08_14_10,g900_deferred_gate_receipt_85183e19b57f879a,4,3,8,14,10,04_03 03_08 14_08 14_10,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,0 30 0 0,same repair same same,11 10 0 6 2,1 0 5 11 7,14 5 9 11,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
19,102168,g900_deferred_gate_candidate_04_03_08_14_13,g900_deferred_gate_receipt_01b10739976c56d2,4,3,8,14,13,04_03 03_08 14_08 14_13,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,0 30 0 0,same repair same same,11 10 0 6 5,1 0 5 11 10,14 5 9 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
20,111086,g900_deferred_gate_candidate_04_09_11_07_10,g900_deferred_gate_receipt_450c95c95e0a5da2,4,9,11,7,10,04_09 09_11 07_11 07_10,tuple_edge_920 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,0 30 0 0,same repair same same,8 13 0 11 14,10 0 2 13 1,5 2 4 3,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
21,111105,g900_deferred_gate_candidate_04_09_11_10_05,g900_deferred_gate_receipt_e8be64c96fefe394,4,9,11,10,5,04_09 09_11 10_11 10_05,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,0 30 0 0,same repair same same,8 13 0 14 9,10 0 2 1 11,5 2 1 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
22,111107,g900_deferred_gate_candidate_04_09_11_10_07,g900_deferred_gate_receipt_4a969d3fc7f48f55,4,9,11,10,7,04_09 09_11 10_11 10_07,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,0 30 0 0,same repair same same,8 13 0 14 11,10 0 2 1 13,5 2 1 12,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
23,111111,g900_deferred_gate_candidate_04_09_11_10_14,g900_deferred_gate_receipt_fe55544831c2cb8e,4,9,11,10,14,04_09 09_11 10_11 10_14,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,0 30 0 0,same repair same same,8 13 0 14 3,10 0 2 1 5,5 2 1 4,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
24,111209,g900_deferred_gate_candidate_04_09_12_06_13,g900_deferred_gate_receipt_398b00e76595945e,4,9,12,6,13,04_09 09_12 06_12 06_13,tuple_edge_920 tuple_edge_2425 tuple_edge_1472 tuple_edge_1475,0 30 0 0,same repair same same,7 12 0 9 1,10 0 3 12 4,5 3 6 7,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
25,111260,g900_deferred_gate_candidate_04_09_12_13_06,g900_deferred_gate_receipt_0bf1b28b733ddf63,4,9,12,13,6,04_09 09_12 13_12 13_06,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,0 30 0 0,same repair same same,7 12 0 1 9,10 0 3 4 12,5 3 14 8,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
26,111262,g900_deferred_gate_candidate_04_09_12_13_08,g900_deferred_gate_receipt_6a163340d1c46fea,4,9,12,13,8,04_09 09_12 13_12 13_08,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,0 30 0 0,same repair same same,7 12 0 1 11,10 0 3 4 14,5 3 14 10,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
27,111265,g900_deferred_gate_candidate_04_09_12_13_14,g900_deferred_gate_receipt_d1c10f37dfa85cb2,4,9,12,13,14,04_09 09_12 13_12 13_14,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,0 30 0 0,same repair same same,7 12 0 1 2,10 0 3 4 5,5 3 14 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
28,164113,g900_deferred_gate_candidate_06_12_09_03_04,g900_deferred_gate_receipt_737a2f3a6dc1f2ed,6,12,9,3,4,06_12 12_09 03_09 03_04,tuple_edge_1472 tuple_edge_2309 tuple_edge_611 tuple_edge_612,0 30 0 0,same repair same same,12 3 0 9 10,9 0 12 6 7,6 12 6 1,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
29,164124,g900_deferred_gate_candidate_06_12_09_04_03,g900_deferred_gate_receipt_40269d97889641b7,6,12,9,4,3,06_12 12_09 04_09 04_03,tuple_edge_1472 tuple_edge_2309 tuple_edge_920 tuple_edge_612,0 30 0 0,same repair same same,12 3 0 10 9,9 0 12 7 6,6 12 5 14,candidate_gate_ready_requires_admission_decision,14,14,none,false,false,false
