cluster_kind,signature,count,frontier_indices,representative_frontier_index
canonical_cyclic_reflection,0 1 11 5 14,1,17,17
canonical_cyclic_reflection,0 1 11 5 6,1,19,19
canonical_cyclic_reflection,0 1 11 5 9,1,18,18
canonical_cyclic_reflection,0 1 11 6 13,1,14,14
canonical_cyclic_reflection,0 1 11 6 5,1,16,16
canonical_cyclic_reflection,0 1 11 6 7,1,15,15
canonical_cyclic_reflection,0 1 14 8 9,1,54,54
canonical_cyclic_reflection,0 1 14 9 8,1,55,55
canonical_cyclic_reflection,0 1 2 11 10,1,6,6
canonical_cyclic_reflection,0 1 2 11 3,1,56,56
canonical_cyclic_reflection,0 1 2 11 5,1,4,4
canonical_cyclic_reflection,0 1 2 11 7,1,5,5
canonical_cyclic_reflection,0 1 2 3 11,1,57,57
canonical_cyclic_reflection,0 1 2 3 13,1,58,58
canonical_cyclic_reflection,0 1 2 3 14,1,67,67
canonical_cyclic_reflection,0 1 2 3 4,1,59,59
canonical_cyclic_reflection,0 1 2 3 6,1,66,66
canonical_cyclic_reflection,0 1 2 3 8,1,65,65
canonical_cyclic_reflection,0 1 2 6 3,1,64,64
canonical_cyclic_reflection,0 1 2 7 11,1,3,3
canonical_cyclic_reflection,0 1 2 7 4,1,1,1
canonical_cyclic_reflection,0 1 2 7 8,1,2,2
canonical_cyclic_reflection,0 1 4 10 9,1,62,62
canonical_cyclic_reflection,0 1 4 9 10,1,63,63
canonical_cyclic_reflection,0 4 2 11 12,1,34,34
canonical_cyclic_reflection,0 4 2 12 11,1,35,35
canonical_cyclic_reflection,0 4 5 14 6,1,36,36
canonical_cyclic_reflection,0 4 5 6 1,1,38,38
canonical_cyclic_reflection,0 4 5 6 14,1,37,37
canonical_cyclic_reflection,0 4 5 6 7,1,39,39
canonical_cyclic_reflection,0 5 10 4 9,1,61,61
canonical_cyclic_reflection,0 5 10 9 4,1,60,60
canonical_cyclic_reflection,0 5 4 10 1,1,49,49
canonical_cyclic_reflection,0 5 4 10 11,1,51,51
canonical_cyclic_reflection,0 5 4 10 14,1,50,50
canonical_cyclic_reflection,0 5 4 14 10,1,48,48
canonical_cyclic_reflection,0 5 4 14 13,1,47,47
canonical_cyclic_reflection,0 5 4 14 2,1,46,46
canonical_cyclic_reflection,0 5 6 1 7,1,53,53
canonical_cyclic_reflection,0 5 6 7 1,1,52,52
canonical_cyclic_reflection,0 5 7 3 6,1,20,20
canonical_cyclic_reflection,0 5 7 6 1,1,21,21
canonical_cyclic_reflection,0 5 7 6 10,1,23,23
canonical_cyclic_reflection,0 5 7 6 3,1,22,22
canonical_cyclic_reflection,0 5 8 2 9,1,24,24
canonical_cyclic_reflection,0 5 8 9 10,1,27,27
canonical_cyclic_reflection,0 5 8 9 2,1,25,25
canonical_cyclic_reflection,0 5 8 9 4,1,26,26
canonical_cyclic_reflection,0 6 1 10 11,1,45,45
canonical_cyclic_reflection,0 6 1 10 14,1,44,44
canonical_cyclic_reflection,0 6 1 10 4,1,43,43
canonical_cyclic_reflection,0 6 1 11 10,1,42,42
canonical_cyclic_reflection,0 6 1 11 12,1,41,41
canonical_cyclic_reflection,0 6 1 11 3,1,40,40
canonical_cyclic_reflection,0 6 11 10 5,1,70,70
canonical_cyclic_reflection,0 6 11 5 10,1,71,71
canonical_cyclic_reflection,0 6 3 12 13,1,28,28
canonical_cyclic_reflection,0 6 3 13 12,1,29,29
canonical_cyclic_reflection,0 6 5 1 4,1,30,30
canonical_cyclic_reflection,0 6 5 10 4,1,69,69
canonical_cyclic_reflection,0 6 5 4 1,1,32,32
canonical_cyclic_reflection,0 6 5 4 10,1,68,68
canonical_cyclic_reflection,0 6 5 4 14,1,31,31
canonical_cyclic_reflection,0 6 5 4 8,1,33,33
canonical_cyclic_reflection,0 6 8 4 7,1,7,7
canonical_cyclic_reflection,0 6 8 7 11,1,10,10
canonical_cyclic_reflection,0 6 8 7 2,1,8,8
canonical_cyclic_reflection,0 6 8 7 4,1,9,9
canonical_cyclic_reflection,0 6 9 10 11,1,13,13
canonical_cyclic_reflection,0 6 9 10 3,1,11,11
canonical_cyclic_reflection,0 6 9 10 5,1,12,12
canonical_role_reverse,0 5 6 7 1,2,31 52,31
canonical_role_reverse,0 1 10 5 11,1,45,45
canonical_role_reverse,0 1 10 5 6,1,19,19
canonical_role_reverse,0 1 10 7 13,1,28,28
canonical_role_reverse,0 1 10 8 12,1,34,34
canonical_role_reverse,0 1 10 8 9,1,54,54
canonical_role_reverse,0 1 11 5 14,1,17,17
canonical_role_reverse,0 1 11 5 9,1,18,18
canonical_role_reverse,0 1 11 6 12,1,41,41
canonical_role_reverse,0 1 11 6 13,1,14,14
canonical_role_reverse,0 1 11 6 7,1,15,15
canonical_role_reverse,0 1 2 11 10,1,6,6
canonical_role_reverse,0 1 2 11 3,1,56,56
canonical_role_reverse,0 1 2 11 5,1,4,4
canonical_role_reverse,0 1 2 11 7,1,5,5
canonical_role_reverse,0 1 2 3 11,1,57,57
canonical_role_reverse,0 1 2 3 13,1,58,58
canonical_role_reverse,0 1 2 3 14,1,67,67
canonical_role_reverse,0 1 2 3 4,1,59,59
canonical_role_reverse,0 1 2 3 6,1,66,66
canonical_role_reverse,0 1 2 3 7,1,39,39
canonical_role_reverse,0 1 2 3 8,1,65,65
canonical_role_reverse,0 1 2 5 10,1,27,27
canonical_role_reverse,0 1 2 5 11,1,13,13
canonical_role_reverse,0 1 2 6 3,1,64,64
canonical_role_reverse,0 1 2 7 11,1,3,3
canonical_role_reverse,0 1 2 7 4,1,1,1
canonical_role_reverse,0 1 2 7 8,1,2,2
canonical_role_reverse,0 1 4 10 9,1,62,62
canonical_role_reverse,0 1 4 9 10,1,63,63
canonical_role_reverse,0 1 6 11 10,1,16,16
canonical_role_reverse,0 1 6 11 5,1,42,42
canonical_role_reverse,0 1 6 7 2,1,47,47
canonical_role_reverse,0 1 6 8 4,1,35,35
canonical_role_reverse,0 1 6 8 7,1,55,55
canonical_role_reverse,0 1 6 9 3,1,29,29
canonical_role_reverse,0 1 7 6 11,1,51,51
canonical_role_reverse,0 3 13 12 2,1,46,46
canonical_role_reverse,0 3 14 1 6,1,20,20
canonical_role_reverse,0 3 14 1 7,1,7,7
canonical_role_reverse,0 3 14 13 4,1,30,30
canonical_role_reverse,0 3 4 2 11,1,9,9
canonical_role_reverse,0 3 4 2 12,1,22,22
canonical_role_reverse,0 3 4 5 14,1,32,32
canonical_role_reverse,0 4 10 9 14,1,50,50
canonical_role_reverse,0 4 13 8 14,1,44,44
canonical_role_reverse,0 4 3 2 8,1,33,33
canonical_role_reverse,0 4 3 5 10,1,23,23
canonical_role_reverse,0 4 3 5 11,1,10,10
canonical_role_reverse,0 4 5 14 6,1,36,36
canonical_role_reverse,0 4 5 6 1,1,38,38
canonical_role_reverse,0 4 5 6 14,1,37,37
canonical_role_reverse,0 4 9 10 5,1,48,48
canonical_role_reverse,0 5 10 4 9,1,61,61
canonical_role_reverse,0 5 14 4 10,1,71,71
canonical_role_reverse,0 5 4 1 10,1,12,12
canonical_role_reverse,0 5 4 1 11,1,26,26
canonical_role_reverse,0 5 4 10 1,1,49,49
canonical_role_reverse,0 5 6 1 10,1,70,70
canonical_role_reverse,0 5 6 1 11,1,60,60
canonical_role_reverse,0 5 6 1 7,1,53,53
canonical_role_reverse,0 5 6 4 13,1,8,8
canonical_role_reverse,0 5 6 4 14,1,21,21
canonical_role_reverse,0 5 8 2 9,1,24,24
canonical_role_reverse,0 5 8 9 2,1,25,25
canonical_role_reverse,0 6 1 10 4,1,43,43
canonical_role_reverse,0 6 1 11 3,1,40,40
canonical_role_reverse,0 6 1 2 11,1,69,69
canonical_role_reverse,0 6 5 4 10,1,68,68
canonical_role_reverse,0 6 9 10 3,1,11,11
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (2, 7))",2,31 52,31
canonical_support_graph,"((0, 1), (0, 10), (1, 2), (10, 13))",1,1,1
canonical_support_graph,"((0, 1), (0, 10), (1, 2), (2, 3))",1,65,65
canonical_support_graph,"((0, 1), (0, 10), (1, 2), (6, 10))",1,3,3
canonical_support_graph,"((0, 1), (0, 10), (1, 2), (9, 10))",1,2,2
canonical_support_graph,"((0, 1), (0, 10), (5, 10), (5, 11))",1,42,42
canonical_support_graph,"((0, 1), (0, 10), (6, 7), (7, 10))",1,63,63
canonical_support_graph,"((0, 1), (0, 10), (7, 10), (7, 13))",1,29,29
canonical_support_graph,"((0, 1), (0, 10), (8, 10), (8, 12))",1,35,35
canonical_support_graph,"((0, 1), (0, 11), (1, 2), (11, 14))",1,64,64
canonical_support_graph,"((0, 1), (0, 11), (1, 2), (2, 3))",1,39,39
canonical_support_graph,"((0, 1), (0, 12), (1, 2), (2, 3))",1,66,66
canonical_support_graph,"((0, 1), (0, 12), (1, 2), (6, 12))",1,13,13
canonical_support_graph,"((0, 1), (0, 12), (1, 2), (7, 12))",1,27,27
canonical_support_graph,"((0, 1), (0, 14), (1, 2), (2, 3))",1,59,59
canonical_support_graph,"((0, 1), (0, 2), (1, 12), (2, 7))",1,23,23
canonical_support_graph,"((0, 1), (0, 2), (1, 12), (2, 8))",1,10,10
canonical_support_graph,"((0, 1), (0, 2), (1, 4), (2, 7))",1,22,22
canonical_support_graph,"((0, 1), (0, 2), (1, 4), (2, 8))",1,9,9
canonical_support_graph,"((0, 1), (0, 2), (1, 6), (2, 7))",1,21,21
canonical_support_graph,"((0, 1), (0, 2), (1, 6), (2, 8))",1,8,8
canonical_support_graph,"((0, 1), (0, 2), (2, 7), (7, 8))",1,55,55
canonical_support_graph,"((0, 1), (0, 2), (2, 8), (7, 8))",1,54,54
canonical_support_graph,"((0, 1), (0, 4), (1, 2), (2, 11))",1,33,33
canonical_support_graph,"((0, 1), (0, 4), (1, 2), (2, 3))",1,67,67
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (4, 10))",1,49,49
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (5, 14))",1,69,69
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (6, 10))",1,50,50
canonical_support_graph,"((0, 1), (0, 5), (1, 10), (9, 10))",1,51,51
canonical_support_graph,"((0, 1), (0, 5), (1, 2), (2, 3))",1,58,58
canonical_support_graph,"((0, 1), (0, 5), (1, 2), (2, 6))",1,38,38
canonical_support_graph,"((0, 1), (0, 5), (1, 4), (4, 10))",1,12,12
canonical_support_graph,"((0, 1), (0, 5), (1, 4), (4, 9))",1,26,26
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (3, 6))",1,46,46
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (5, 10))",1,60,60
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (5, 11))",1,70,70
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (5, 14))",1,53,53
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (6, 10))",1,48,48
canonical_support_graph,"((0, 1), (0, 5), (1, 6), (6, 7))",1,47,47
canonical_support_graph,"((0, 1), (0, 5), (2, 11), (5, 11))",1,17,17
canonical_support_graph,"((0, 1), (0, 5), (3, 10), (5, 10))",1,14,14
canonical_support_graph,"((0, 1), (0, 5), (4, 10), (5, 10))",1,41,41
canonical_support_graph,"((0, 1), (0, 5), (5, 10), (10, 11))",1,16,16
canonical_support_graph,"((0, 1), (0, 5), (5, 10), (9, 10))",1,15,15
canonical_support_graph,"((0, 1), (0, 5), (5, 11), (10, 11))",1,19,19
canonical_support_graph,"((0, 1), (0, 5), (5, 11), (7, 11))",1,18,18
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (2, 11))",1,68,68
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (2, 5))",1,32,32
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 10))",1,5,5
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 12))",1,4,4
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 14))",1,56,56
canonical_support_graph,"((0, 1), (0, 6), (1, 2), (6, 7))",1,6,6
canonical_support_graph,"((0, 1), (0, 6), (1, 5), (2, 5))",1,30,30
