frontier_index,candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,structural_replay_pass,gate_receipt_status,canonical_cyclic_reflection,canonical_role_reverse,canonical_support_graph,relative_to_C,relative_to_B,slot_delta_signature,edge_delta_signature
1,77698,3,4,5,10,7,03_04 04_05 10_05 10_07,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,true,requires_own_future_gate_receipt,0 1 2 7 4,0 1 2 7 4,"((0, 1), (0, 10), (1, 2), (10, 13))",13 14 0 5 2,14 0 1 6 3,1 1 10 12,432 161 558
2,77701,3,4,5,10,11,03_04 04_05 10_05 10_11,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,true,requires_own_future_gate_receipt,0 1 2 7 8,0 1 2 7 8,"((0, 1), (0, 10), (1, 2), (9, 10))",13 14 0 5 6,14 0 1 6 7,1 1 10 1,432 161 1384
3,77704,3,4,5,10,14,03_04 04_05 10_05 10_14,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,true,requires_own_future_gate_receipt,0 1 2 7 11,0 1 2 7 11,"((0, 1), (0, 10), (1, 2), (6, 10))",13 14 0 5 9,14 0 1 6 10,1 1 10 4,432 161 1385
4,77743,3,4,5,14,8,03_04 04_05 14_05 14_08,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,true,requires_own_future_gate_receipt,0 1 2 11 5,0 1 2 11 5,"((0, 1), (0, 6), (1, 2), (6, 12))",13 14 0 9 3,14 0 1 10 4,1 1 6 9,432 162 838
5,77745,3,4,5,14,10,03_04 04_05 14_05 14_10,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,true,requires_own_future_gate_receipt,0 1 2 11 7,0 1 2 11 7,"((0, 1), (0, 6), (1, 2), (6, 10))",13 14 0 9 5,14 0 1 10 6,1 1 6 11,432 162 1384
6,77748,3,4,5,14,13,03_04 04_05 14_05 14_13,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,true,requires_own_future_gate_receipt,0 1 2 11 10,0 1 2 11 10,"((0, 1), (0, 6), (1, 2), (6, 7))",13 14 0 9 8,14 0 1 10 9,1 1 6 14,432 162 2089
7,87062,3,9,11,7,10,03_09 09_11 07_11 07_10,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,true,requires_own_future_gate_receipt,0 6 8 4 7,0 3 14 1 7,"((0, 2), (0, 4), (1, 4), (2, 8))",7 13 0 11 14,9 0 2 13 1,6 2 4 3,1813 -665 1
8,87081,3,9,11,10,5,03_09 09_11 10_11 10_05,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,true,requires_own_future_gate_receipt,0 6 8 7 2,0 5 6 4 13,"((0, 1), (0, 2), (1, 6), (2, 8))",7 13 0 14 9,9 0 2 1 11,6 2 1 10,1813 160 -1380
9,87083,3,9,11,10,7,03_09 09_11 10_11 10_07,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,true,requires_own_future_gate_receipt,0 6 8 7 4,0 3 4 2 11,"((0, 1), (0, 2), (1, 4), (2, 8))",7 13 0 14 11,9 0 2 1 13,6 2 1 12,1813 160 -824
10,87087,3,9,11,10,14,03_09 09_11 10_11 10_14,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,true,requires_own_future_gate_receipt,0 6 8 7 11,0 4 3 5 11,"((0, 1), (0, 2), (1, 12), (2, 8))",7 13 0 14 3,9 0 2 1 5,6 2 1 4,1813 160 3
