cluster_kind,signature,count,example_frontier_indices
relative_to_C_signature,13 14 0 5 2,1,1
relative_to_C_signature,13 14 0 5 6,1,2
relative_to_C_signature,13 14 0 5 9,1,3
relative_to_C_signature,13 14 0 9 3,1,4
relative_to_C_signature,13 14 0 9 5,1,5
relative_to_C_signature,13 14 0 9 8,1,6
relative_to_C_signature,7 13 0 11 14,1,7
relative_to_C_signature,7 13 0 14 9,1,8
relative_to_C_signature,7 13 0 14 11,1,9
relative_to_C_signature,7 13 0 14 3,1,10
relative_to_C_signature,6 12 0 1 9,1,11
relative_to_C_signature,6 12 0 1 11,1,12
relative_to_C_signature,6 12 0 1 2,1,13
relative_to_C_signature,11 10 0 5 13,1,14
relative_to_C_signature,11 10 0 5 4,1,15
relative_to_C_signature,11 10 0 5 6,1,16
relative_to_C_signature,11 10 0 6 12,1,17
relative_to_C_signature,11 10 0 6 2,1,18
relative_to_C_signature,11 10 0 6 5,1,19
relative_to_C_signature,8 13 0 11 14,1,20
relative_to_C_signature,8 13 0 14 9,1,21
relative_to_C_signature,8 13 0 14 11,1,22
relative_to_C_signature,8 13 0 14 3,1,23
relative_to_C_signature,7 12 0 9 1,1,24
relative_to_C_signature,7 12 0 1 9,1,25
relative_to_C_signature,7 12 0 1 11,1,26
relative_to_C_signature,7 12 0 1 2,1,27
relative_to_C_signature,12 3 0 9 10,1,28
relative_to_C_signature,12 3 0 10 9,1,29
relative_to_C_signature,10 1 0 11 14,1,30
relative_to_C_signature,10 1 0 14 9,1,31
relative_to_C_signature,10 1 0 14 11,1,32
relative_to_C_signature,10 1 0 14 3,1,33
relative_to_C_signature,13 2 0 9 10,1,34
relative_to_C_signature,13 2 0 10 9,1,35
relative_to_C_signature,10 14 0 9 1,1,36
relative_to_C_signature,10 14 0 1 9,1,37
relative_to_C_signature,10 14 0 1 11,1,38
relative_to_C_signature,10 14 0 1 2,1,39
relative_to_C_signature,1 10 0 5 13,1,40
relative_to_C_signature,1 10 0 5 4,1,41
relative_to_C_signature,1 10 0 5 6,1,42
relative_to_C_signature,1 10 0 6 12,1,43
relative_to_C_signature,1 10 0 6 2,1,44
relative_to_C_signature,1 10 0 6 5,1,45
relative_to_C_signature,4 14 0 5 2,1,46
relative_to_C_signature,4 14 0 5 6,1,47
relative_to_C_signature,4 14 0 5 9,1,48
relative_to_C_signature,4 14 0 9 3,1,49
relative_to_C_signature,4 14 0 9 5,1,50
relative_to_C_signature,4 14 0 9 8,1,51
relative_to_C_signature,6 1 0 14 5,1,52
relative_to_C_signature,6 1 0 5 14,1,53
relative_to_C_signature,1 2 0 9 10,1,54
relative_to_C_signature,1 2 0 10 9,1,55
relative_to_C_signature,13 14 0 9 1,1,56
relative_to_C_signature,13 14 0 1 9,1,57
relative_to_C_signature,13 14 0 1 11,1,58
relative_to_C_signature,13 14 0 1 2,1,59
relative_to_C_signature,10 5 0 1 6,1,60
relative_to_C_signature,10 5 0 6 1,1,61
relative_to_C_signature,4 3 0 9 10,1,62
relative_to_C_signature,4 3 0 10 9,1,63
