field,normalized_field,category,usability,coverage_count,candidate_count,distinct_count,value_03_09_count,value_13_count,examples
frontier_index,frontier_index,identity_index,guarded_identity_index,71,71,71,0,1,1 | 2 | 3 | 4 | 5 | 6
candidate_index,candidate_index,identity_index,guarded_identity_index,71,71,71,0,0,77698 | 77701 | 77704 | 77743 | 77745 | 77748
A,a,candidate_tuple,candidate_choice_variable,71,71,8,0,8,3 | 4 | 6 | 7 | 9 | 10
B,b,candidate_tuple,candidate_choice_variable,71,71,7,0,0,4 | 9 | 3 | 12 | 11 | 5
C,c,candidate_tuple,candidate_choice_variable,71,71,7,0,0,5 | 11 | 12 | 8 | 9 | 4
D,d,candidate_tuple,candidate_choice_variable,71,71,8,0,18,10 | 14 | 7 | 13 | 6 | 3
E,e,candidate_tuple,candidate_choice_variable,71,71,12,0,7,7 | 11 | 14 | 8 | 10 | 13
role_pairs,role_pairs,role,candidate_choice_variable,71,71,71,13,0,03_04 04_05 10_05 10_07 | 03_04 04_05 10_05 10_11 | 03_04 04_05 10_05 10_14 | 03_04 04_05 14_05 14_08 | 03_04 04_05 14_05 14_10 | 03_04 04_05 14_05 14_13
q_edge_ids,q_edge_ids,carrier_incidence,candidate_choice_variable,71,71,71,0,0,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760 | tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586 | tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587 | tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041 | tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587 | tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292
expected_role_pairs,expected_role_pairs,result_or_label_guarded,guarded_result_or_label_like,71,71,71,13,0,03_04 04_05 10_05 10_07 | 03_04 04_05 10_05 10_11 | 03_04 04_05 10_05 10_14 | 03_04 04_05 14_05 14_08 | 03_04 04_05 14_05 14_10 | 03_04 04_05 14_05 14_13
expected_sources,expected_sources,result_or_label_guarded,guarded_result_or_label_like,71,71,39,0,0,3:23 4:54 10:23 10:24 | 3:23 4:54 14:23 14:24 | 3:23 9:54 7:23 7:24 | 3:23 9:54 10:23 10:24 | 3:23 9:54 13:23 13:24 | 4:23 3:54 13:23 13:24
expected_targets,expected_targets,result_or_label_guarded,guarded_result_or_label_like,71,71,36,0,0,4:23 5:24 5:23 7:24 | 4:23 5:24 5:23 11:24 | 4:23 5:24 5:23 14:24 | 4:23 5:24 5:23 8:24 | 4:23 5:24 5:23 10:24 | 4:23 5:24 5:23 13:24
delta_profile,delta_profile,phase_transition,candidate_choice_variable,71,71,1,0,0,0 30 0 0
expected_delta_profile,expected_delta_profile,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,0 30 0 0
class_profile,class_profile,support_package,candidate_choice_variable,71,71,1,0,0,same repair same same
expected_class_profile,expected_class_profile,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,same repair same same
relative_to_C_signature,relative_to_c_signature,source_transport,candidate_choice_variable,71,71,71,0,22,13 14 0 5 2 | 13 14 0 5 6 | 13 14 0 5 9 | 13 14 0 9 3 | 13 14 0 9 5 | 13 14 0 9 8
relative_to_B_signature,relative_to_b_signature,source_transport,candidate_choice_variable,71,71,71,0,20,14 0 1 6 3 | 14 0 1 6 7 | 14 0 1 6 10 | 14 0 1 10 4 | 14 0 1 10 6 | 14 0 1 10 9
slot_delta_signature,slot_delta_signature,carrier_incidence,candidate_choice_variable,71,71,71,0,4,1 1 10 12 | 1 1 10 1 | 1 1 10 4 | 1 1 6 9 | 1 1 6 11 | 1 1 6 14
role_pair_replay,role_pair_replay,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,true
q_edge_count_ok,q_edge_count_ok,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,true
q_edge_unique,q_edge_unique,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,true
body_edge_replay,body_edge_replay,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,true
direct_edge_replay_count,direct_edge_replay_count,result_or_label_guarded,guarded_result_or_label_like,71,71,5,0,0,2 | 3 | 4 | 1 | 0
undirected_edge_replay_count,undirected_edge_replay_count,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,4
successor_signature_replay,successor_signature_replay,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,true
deferred_candidate,deferred_candidate,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,true
current_gate_backed,current_gate_backed,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,false
structural_replay_pass,structural_replay_pass,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,true
gate_receipt_status,gate_receipt_status,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,requires_own_future_gate_receipt
failure_reasons,failure_reasons,result_or_label_guarded,guarded_result_or_label_like,71,71,1,0,0,none
