path,field_count,structural_field_count,guarded_field_count,candidate_tuple,role,source_transport,carrier_incidence,endpoint_limit,root_anchor_boundary,phase_transition,support_package,computed_signature,result_or_label_guarded,identity_index,unknown,fields
labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv,18,17,0,0,1,11,2,2,0,0,0,1,0,0,1,selected | segment_role | from_vertex | to_vertex | from_slot | to_slot | from_limit | to_limit | anchor_limit | same_anchor_limit | target_endpoint_anchored | source_endpoint_anchored | source_limit_distance | target_limit_distance | total_limit_distance | edge_id | edge_index | selection_score
labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_edges.v1.csv,18,17,0,0,1,11,2,2,0,0,0,1,0,0,1,selected | segment_role | from_vertex | to_vertex | from_slot | to_slot | from_limit | to_limit | anchor_limit | same_anchor_limit | target_endpoint_anchored | source_endpoint_anchored | source_limit_distance | target_limit_distance | total_limit_distance | edge_id | edge_index | selection_score
labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_target_packet.v1.csv,18,17,0,0,1,11,2,2,0,0,0,1,0,0,1,q_index | segment_role | edge_id | edge_index | from_vertex | to_vertex | from_slot | to_slot | from_limit | to_limit | anchor_limit | same_anchor_limit | target_endpoint_anchored | source_endpoint_anchored | source_limit_distance | target_limit_distance | total_limit_distance | selection_score
labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv,18,16,1,0,0,2,7,0,1,4,2,0,1,0,1,pair_key | package_kind | transition | root | root_slot | root_local | from_limit | to_limit | has_boundary_carrier | boundary_carrier_id | support_rails | delta_edge_count | delta_vertex_count | delta_edge_hits | has_delta_support | direct_boundary_delta_hit | internal_delta_hits | channels_admitted
labs/g900_observatory/artifacts/csv/g900_transport_selector_coupling_law_audit_024_hit_classes.v1.csv,25,16,3,0,2,1,1,2,3,3,4,0,3,0,6,path | artifact_number | construction_class | left_pair_03_09 | right_exit_pair_06_13 | exact_selector | role_ab_named | role_e_named | relation_claim_language | return_cell | channel | admission | permission | provenance | source | carrier | endpoint | root | phase | ladder | transition | package | support | anchor | fork
labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv,17,15,1,0,0,4,5,0,1,4,1,0,1,0,1,pair_key | package_kind | full60_transition_count | full60_transitions | full60_transition_kinds | full60_root_slot_counts | has_boundary_carrier | boundary_carrier_id | boundary_vertex_count | boundary_edge_count | pair_total_transition_count | pair_total_root_count | pair_total_direction_counts | pair_total_transition_kind_counts | reciprocal_single_transition_count | sample_roots | channels_admitted
labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_rule_rows.v1.csv,17,14,1,0,1,7,1,2,0,0,0,3,1,0,2,p_index | segment_role | from_slot | to_slot | anchor_limit | candidate_count | min_score | min_hit_count | unique_min | q_edge_id | q_from_vertex | q_to_vertex | q_from_limit | q_to_limit | q_same_anchor_limit | q_target_endpoint_anchored | rule
labs/g900_observatory/artifacts/csv/g900_transport_pair_selector_admission_hypothesis_audit_022_hypotheses.v1.csv,28,14,7,0,2,0,0,0,3,0,3,6,7,0,7,hypothesis_id | hypothesis_status | feature_a | feature_b | seed_value_a | seed_value_b | selector_expression | bucket_count | negative_bucket_count | exact_selects_seed | feature_a_kind | feature_b_kind | feature_a_side | feature_b_side | feature_a_seed_bucket_count | feature_b_seed_bucket_count | feature_a_distinct_count | feature_b_distinct_count | individual_bucket_product | individual_bucket_sum | crosses_sides | uses_support_set | uses_role_pair | uses_role_vertex | admission_effect | new_permission_channel_admitted | new_information_transport_admitted | new_flux_witness_declared
labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv,18,13,2,0,0,7,2,0,0,0,4,0,1,1,3,row_index | candidate_kind | candidate_class | visibility_tier | channel_readiness | source_rail_id | target_rail_id | source_carrier_set_id | target_carrier_set_id | source_kind | target_kind | family_pair | kind_pair | vertex_overlap | edge_overlap | admitted_as_channel | classification_reason | source_evidence
labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv,16,13,1,0,0,0,11,0,2,0,0,0,1,0,2,root | root_slot | root_local | edge_limit | vertex_count | edge_count | edge_hit_count | max_edge_overlap | primary_slot_label | primary_rail_id | primary_set_id | primary_edge_overlap | primary_vertex_overlap | primary_aligns_with_root_slot | is_projection_exception_root | channels_admitted
labs/g900_observatory/artifacts/csv/g900_slot12_composite_triangle_anatomy_001_roots.v1.csv,18,13,1,0,0,4,4,0,1,1,0,3,1,0,4,root | root_local | label_at_30 | dominant_label | dominant_label_count | distinct_label_count | switch_count | compressed_sequence | has_12_to_6 | has_6_to_9 | has_9_to_12 | has_6_12_to_12 | has_core_triangle | transition_positions | direct_6_9_boundary_carrier_exists | flanking_6_12_boundary_carrier_exists | flanking_9_12_boundary_carrier_exists | channels_admitted
labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,23,13,10,5,1,3,2,0,0,1,1,0,6,4,0,frontier_index | candidate_index | candidate_id | candidate_receipt_id | A | B | C | D | E | role_pairs | q_edge_ids | delta_profile | class_profile | relative_to_C_signature | relative_to_B_signature | slot_delta_signature | gate_audit_status | obligation_pass_count | obligation_total_count | failed_obligations | new_permission_channel_admitted | new_information_transport_admitted | new_flux_witness_declared
labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv,18,13,4,5,2,2,3,0,0,0,1,0,2,2,1,frontier_index | candidate_index | A | B | C | D | E | role_pairs | q_edge_ids | structural_replay_pass | gate_receipt_status | canonical_cyclic_reflection | canonical_role_reverse | canonical_support_graph | relative_to_C | relative_to_B | slot_delta_signature | edge_delta_signature
labs/g900_observatory/artifacts/csv/g900_transport_permission_sharpness_audit_021_closest_candidates.v1.csv,15,13,2,5,2,0,4,0,0,0,1,1,1,1,0,candidate_index | A | B | C | D | E | role_pairs | q_edge_ids | slot_position_match | slot_set_overlap | role_pair_overlap | support_pair_overlap | q_edge_overlap | distance_score | gate_status
labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv,14,12,1,0,0,0,6,0,0,3,3,0,1,0,1,pair_key | package_kind | full60_transition_count | full60_transitions | has_boundary_carrier | boundary_carrier_id | support_rails | step_count | supported_delta_edge_count | unsupported_delta_edge_count | direct_boundary_delta_edge_count | internal_delta_edge_count | unsupported_rate | channels_admitted
labs/g900_observatory/artifacts/csv/g900_return_cell_conserved_packet_scout_001_edges.v1.csv,12,12,0,0,1,6,3,2,0,0,0,0,0,0,0,segment_role | from_vertex | to_vertex | from_slot | to_slot | from_limit | to_limit | limit_delta | same_limit | body_edge | edge_id | edge_index
labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv,31,12,19,5,1,2,2,0,0,1,1,0,17,2,0,frontier_index | candidate_index | A | B | C | D | E | role_pairs | q_edge_ids | expected_role_pairs | expected_sources | expected_targets | delta_profile | expected_delta_profile | class_profile | expected_class_profile | relative_to_C_signature | relative_to_B_signature | slot_delta_signature | role_pair_replay | q_edge_count_ok | q_edge_unique | body_edge_replay | direct_edge_replay_count | undirected_edge_replay_count | successor_signature_replay | deferred_candidate | current_gate_backed | structural_replay_pass | gate_receipt_status | failure_reasons
