candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,delta_profile,class_profile,gate_status,current_gate_backed,known_return_cell_slots,known_return_cell_edges,known_return_cell_role_pairs
77698,3,4,5,10,7,03_04 04_05 10_05 10_07,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
77701,3,4,5,10,11,03_04 04_05 10_05 10_11,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
77704,3,4,5,10,14,03_04 04_05 10_05 10_14,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
77743,3,4,5,14,8,03_04 04_05 14_05 14_08,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
77745,3,4,5,14,10,03_04 04_05 14_05 14_10,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
77748,3,4,5,14,13,03_04 04_05 14_05 14_13,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
87062,3,9,11,7,10,03_09 09_11 07_11 07_10,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
87081,3,9,11,10,5,03_09 09_11 10_11 10_05,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
87083,3,9,11,10,7,03_09 09_11 10_11 10_07,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
87087,3,9,11,10,14,03_09 09_11 10_11 10_14,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
87185,3,9,12,6,13,03_09 09_12 06_12 06_13,tuple_edge_611 tuple_edge_2425 tuple_edge_1472 tuple_edge_1475,0 30 0 0,same repair same same,current_gate_receipt_backed,true,true,true,true
87236,3,9,12,13,6,03_09 09_12 13_12 13_06,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
87238,3,9,12,13,8,03_09 09_12 13_12 13_08,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
87241,3,9,12,13,14,03_09 09_12 13_12 13_14,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
102151,4,3,8,13,6,04_03 03_08 13_08 13_06,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
102156,4,3,8,13,12,04_03 03_08 13_08 13_12,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
102157,4,3,8,13,14,04_03 03_08 13_08 13_14,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
102161,4,3,8,14,5,04_03 03_08 14_08 14_05,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,0 30 0 0,same repair same same,needs_new_gate_receipt,false,false,false,false
