candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,slot_position_match,slot_set_overlap,role_pair_overlap,support_pair_overlap,q_edge_overlap,distance_score,gate_status
111209,4,9,12,6,13,04_09 09_12 06_12 06_13,tuple_edge_920 tuple_edge_2425 tuple_edge_1472 tuple_edge_1475,4,4,3,3,3,24,needs_new_gate_receipt
87236,3,9,12,13,6,03_09 09_12 13_12 13_06,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,3,5,2,3,3,33,needs_new_gate_receipt
87238,3,9,12,13,8,03_09 09_12 13_12 13_08,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,3,4,2,2,2,43,needs_new_gate_receipt
87241,3,9,12,13,14,03_09 09_12 13_12 13_14,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,3,4,2,2,2,43,needs_new_gate_receipt
186724,7,11,12,6,13,07_11 11_12 06_12 06_13,tuple_edge_1759 tuple_edge_2945 tuple_edge_1472 tuple_edge_1475,3,3,2,2,2,48,needs_new_gate_receipt
258796,10,11,12,6,13,10_11 11_12 06_12 06_13,tuple_edge_2584 tuple_edge_2945 tuple_edge_1472 tuple_edge_1475,3,3,2,2,2,48,needs_new_gate_receipt
111260,4,9,12,13,6,04_09 09_12 13_12 13_06,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,2,4,1,2,2,57,needs_new_gate_receipt
111262,4,9,12,13,8,04_09 09_12 13_12 13_08,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,2,3,1,1,1,67,needs_new_gate_receipt
111265,4,9,12,13,14,04_09 09_12 13_12 13_14,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,2,3,1,1,1,67,needs_new_gate_receipt
164113,6,12,9,3,4,06_12 12_09 03_09 03_04,tuple_edge_1472 tuple_edge_2309 tuple_edge_611 tuple_edge_612,0,4,2,3,2,70,needs_new_gate_receipt
87062,3,9,11,7,10,03_09 09_11 07_11 07_10,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,2,2,1,1,1,72,needs_new_gate_receipt
87081,3,9,11,10,5,03_09 09_11 10_11 10_05,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,2,2,1,1,1,72,needs_new_gate_receipt
87083,3,9,11,10,7,03_09 09_11 10_11 10_07,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,2,2,1,1,1,72,needs_new_gate_receipt
87087,3,9,11,10,14,03_09 09_11 10_11 10_14,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,2,2,1,1,1,72,needs_new_gate_receipt
164124,6,12,9,4,3,06_12 12_09 04_09 04_03,tuple_edge_1472 tuple_edge_2309 tuple_edge_920 tuple_edge_612,0,4,1,2,1,79,needs_new_gate_receipt
334129,13,12,9,3,4,13_12 12_09 03_09 03_04,tuple_edge_3070 tuple_edge_2309 tuple_edge_611 tuple_edge_612,0,4,1,2,1,79,needs_new_gate_receipt
77748,3,4,5,14,13,03_04 04_05 14_05 14_13,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,2,2,0,0,0,81,needs_new_gate_receipt
186765,7,11,12,13,6,07_11 11_12 13_12 13_06,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_1475,1,3,0,1,1,81,needs_new_gate_receipt
222420,9,3,8,14,13,09_03 03_08 14_08 14_13,tuple_edge_611 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,1,3,0,1,1,81,needs_new_gate_receipt
258837,10,11,12,13,6,10_11 11_12 13_12 13_06,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_1475,1,3,0,1,1,81,needs_new_gate_receipt
222404,9,3,8,13,6,09_03 03_08 13_08 13_06,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,0,4,0,2,2,81,needs_new_gate_receipt
222408,9,3,8,13,12,09_03 03_08 13_08 13_12,tuple_edge_611 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,0,4,0,1,1,86,needs_new_gate_receipt
334140,13,12,9,4,3,13_12 12_09 04_09 04_03,tuple_edge_3070 tuple_edge_2309 tuple_edge_920 tuple_edge_612,0,4,0,1,0,88,needs_new_gate_receipt
102168,4,3,8,14,13,04_03 03_08 14_08 14_13,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,1,2,0,0,0,91,needs_new_gate_receipt
186766,7,11,12,13,8,07_11 11_12 13_12 13_08,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,1,2,0,0,0,91,needs_new_gate_receipt
186769,7,11,12,13,14,07_11 11_12 13_12 13_14,tuple_edge_1759 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,1,2,0,0,0,91,needs_new_gate_receipt
223740,9,4,5,14,13,09_04 04_05 14_05 14_13,tuple_edge_920 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,1,2,0,0,0,91,needs_new_gate_receipt
