feature_name,leakage_class,seed_value,distinct_value_count,seed_bucket_count,negative_bucket_count,exact_selects_seed,usable_as_admission_principle,frontier_indices_in_seed_bucket
identity.candidate_tuple,identity_like,3 9 12 6 13,72,1,0,true,false,87185
identity.q_edge_ids_exact,identity_like,tuple_edge_611 tuple_edge_2425 tuple_edge_1472 tuple_edge_1475,72,1,0,true,false,87185
identity.role_pairs_exact,identity_like,03_09 09_12 06_12 06_13,72,1,0,true,false,87185
receipt.current_gate_backed,receipt_status_forbidden,true,2,1,0,true,false,87185
receipt.gate_status,receipt_status_forbidden,current_gate_receipt_backed,2,1,0,true,false,87185
canonical.cyclic_reflection,too_sharp_singleton_like,0 6 9 3 10,72,1,0,true,false,87185
canonical.role_reverse,too_sharp_singleton_like,0 6 9 3 10,71,1,0,true,false,87185
delta.edge_delta,too_sharp_singleton_like,1814 -953 3,72,1,0,true,false,87185
delta.slot_delta,too_sharp_singleton_like,6 3 6 7,72,1,0,true,false,87185
relative.to_A,too_sharp_singleton_like,0 6 9 3 10,72,1,0,true,false,87185
relative.to_B,too_sharp_singleton_like,9 0 3 12 4,72,1,0,true,false,87185
relative.to_C,too_sharp_singleton_like,6 12 0 9 1,72,1,0,true,false,87185
relative.to_D,too_sharp_singleton_like,12 3 6 0 7,72,1,0,true,false,87185
relative.to_E,too_sharp_singleton_like,5 11 14 8 0,72,1,0,true,false,87185
support.unordered_pairs,too_sharp_singleton_like,03_09 06_12 06_13 09_12,72,1,0,true,false,87185
support.slot_set,structural_candidate,3 6 9 12 13,48,2,1,false,false,87185 87236
role.D,structural_candidate,6,8,4,3,false,false,87185 111209 186724 258796
role.DC,structural_candidate,06_12,14,4,3,false,false,87185 111209 186724 258796
role.DE,structural_candidate,06_13,20,4,3,false,false,87185 111209 186724 258796
role.AB,structural_candidate,03_09,14,8,7,false,false,87062 87081 87083 87087 87185 87236 87238 87241
role.BC_repair_pair,structural_candidate,09_12,10,8,7,false,false,87185 87236 87238 87241 111209 111260 111262 111265
role.E,structural_candidate,13,12,8,7,false,false,77748 87185 102168 111209 186724 222420 223740 258796
role.A,structural_candidate,3,8,14,13,false,false,77698 77701 77704 77743 77745 77748 87062 87081 87083 87087 87185 87236 87238 87241
role.B,structural_candidate,9,7,16,15,false,false,87062 87081 87083 87087 87185 87236 87238 87241 111086 111105 111107 111111 111209 111260 111262 111265
role.C,structural_candidate,12,7,16,15,false,false,87185 87236 87238 87241 111209 111260 111262 111265 186724 186765 186766 186769 258796 258837 258839 258841
