path,artifact_number,construction_class,left_pair_03_09,right_exit_pair_06_13,exact_selector,role_ab_named,role_e_named,relation_claim_language,return_cell,channel,admission,permission,provenance,source,carrier,endpoint,root,phase,ladder,transition,package,support,anchor,fork
labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,true,true,true,true,true,false,false,false,false,true,false,false
labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,true,true,true,true,true,false,false,false,false,true,false,false
labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false
labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,true,true,false,false
labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,true,true,false,false
labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,true,false,false,false
labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false
labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv,7,return_cell,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv,2,return_cell,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_edges.v1.csv,2,return_cell,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/csv/g900_return_cell_conserved_packet_scout_001_edges.v1.csv,1,return_cell,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
labs/g900_observatory/artifacts/csv/g900_return_cell_one_step_information_transport_support_audit_006_history.v1.csv,6,return_cell,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_rule_rows.v1.csv,3,return_cell,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_source_packet.v1.csv,3,return_cell,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_target_packet.v1.csv,3,return_cell,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false
labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false
labs/g900_observatory/artifacts/json/g900_all_phase_ladder_spectrum_audit_001.v1.json,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true
