summary_kind,profile,count
delta_profile,30 30 0 0,132
delta_profile,0 0 30 30,132
delta_profile,30 30 30 0,88
delta_profile,30 0 0 0,88
delta_profile,0 30 30 30,88
delta_profile,0 0 0 30,88
delta_profile,30 30 30 30,80
delta_profile,30 0 0 30,80
delta_profile,0 30 30 0,80
delta_profile,0 0 0 0,80
delta_profile,30 30 0 30,72
delta_profile,30 0 30 30,72
delta_profile,0 30 0 0,72
delta_profile,0 0 30 0,72
delta_profile,30 0 30 0,48
delta_profile,0 30 0 30,48
class_profile,repair repair same same,132
class_profile,same same repair repair,132
class_profile,repair repair repair same,88
class_profile,repair same same same,88
class_profile,same repair repair repair,88
class_profile,same same same repair,88
class_profile,repair repair repair repair,80
class_profile,repair same same repair,80
class_profile,same repair repair same,80
class_profile,same same same same,80
class_profile,repair repair same repair,72
class_profile,repair same repair repair,72
class_profile,same repair same same,72
class_profile,same same repair same,72
class_profile,repair same repair same,48
class_profile,same repair same repair,48
